Tim Quartz Clear,,
Tim Quartz Clear 1,"Date : 21/07/2021, 16:20:17",
Wavelength (nm),ABS,%T
380,0.339,45.8
381,0.338,45.9
382,0.338,45.9
383,0.338,45.9
384,0.338,45.9
385,0.338,46
386,0.338,46
387,0.338,46
388,0.34,45.7
389,0.34,45.7
390,0.329,46.8
391,0.322,47.6
392,0.321,47.8
393,0.321,47.8
394,0.32,47.8
395,0.321,47.8
396,0.321,47.7
397,0.321,47.8
398,0.321,47.8
399,0.321,47.8
400,0.319,48
401,0.318,48.1
402,0.317,48.2
403,0.315,48.4
404,0.315,48.4
405,0.316,48.3
406,0.317,48.2
407,0.317,48.2
408,0.317,48.2
409,0.316,48.3
410,0.315,48.4
411,0.316,48.3
412,0.315,48.4
413,0.314,48.5
414,0.313,48.7
415,0.313,48.6
416,0.312,48.7
417,0.312,48.8
418,0.31,49
419,0.308,49.2
420,0.306,49.4
421,0.305,49.5
422,0.306,49.5
423,0.306,49.4
424,0.306,49.4
425,0.306,49.4
426,0.306,49.4
427,0.306,49.4
428,0.307,49.4
429,0.306,49.4
430,0.306,49.4
431,0.306,49.4
432,0.306,49.4
433,0.306,49.4
434,0.306,49.5
435,0.305,49.5
436,0.305,49.5
437,0.304,49.6
438,0.304,49.7
439,0.303,49.8
440,0.302,49.9
441,0.3,50.1
442,0.3,50.1
443,0.301,50
444,0.302,49.9
445,0.301,50
446,0.301,50
447,0.301,50
448,0.301,50.1
449,0.301,50.1
450,0.301,50.1
451,0.3,50.1
452,0.3,50.1
453,0.3,50.1
454,0.299,50.2
455,0.299,50.2
456,0.299,50.2
457,0.299,50.3
458,0.297,50.4
459,0.295,50.7
460,0.294,50.8
461,0.296,50.6
462,0.299,50.2
463,0.3,50.1
464,0.3,50.1
465,0.298,50.3
466,0.297,50.5
467,0.296,50.6
468,0.296,50.6
469,0.296,50.5
470,0.297,50.4
471,0.297,50.4
472,0.297,50.4
473,0.297,50.5
474,0.296,50.6
475,0.296,50.6
476,0.296,50.6
477,0.294,50.8
478,0.294,50.8
479,0.293,50.9
480,0.293,50.9
481,0.292,51.1
482,0.287,51.6
483,0.283,52.2
484,0.28,52.5
485,0.286,51.7
486,0.293,50.9
487,0.291,51.2
488,0.288,51.5
489,0.289,51.4
490,0.29,51.3
491,0.287,51.6
492,0.287,51.7
493,0.293,50.9
494,0.296,50.6
495,0.295,50.6
496,0.294,50.8
497,0.293,51
498,0.293,50.9
499,0.294,50.9
500,0.294,50.8
501,0.294,50.8
502,0.293,50.9
503,0.292,51
504,0.291,51.1
505,0.291,51.2
506,0.29,51.3
507,0.288,51.5
508,0.287,51.7
509,0.286,51.7
510,0.286,51.8
511,0.285,51.9
512,0.285,51.9
513,0.285,51.9
514,0.285,51.8
515,0.285,51.8
516,0.284,52
517,0.282,52.2
518,0.282,52.2
519,0.284,52
520,0.286,51.8
521,0.286,51.7
522,0.285,51.9
523,0.283,52.2
524,0.28,52.5
525,0.279,52.6
526,0.278,52.7
527,0.275,53
528,0.275,53
529,0.285,51.9
530,0.289,51.4
531,0.287,51.6
532,0.282,52.2
533,0.283,52.2
534,0.287,51.7
535,0.285,51.9
536,0.284,52
537,0.285,51.9
538,0.284,51.9
539,0.28,52.4
540,0.277,52.9
541,0.277,52.9
542,0.283,52.1
543,0.287,51.6
544,0.289,51.4
545,0.287,51.6
546,0.285,51.9
547,0.286,51.8
548,0.288,51.5
549,0.289,51.4
550,0.287,51.7
551,0.284,52
552,0.282,52.2
553,0.282,52.2
554,0.284,52
555,0.284,52
556,0.283,52.1
557,0.283,52.2
558,0.282,52.2
559,0.281,52.3
560,0.268,54
561,0.259,55
562,0.258,55.2
563,0.256,55.4
564,0.256,55.5
565,0.254,55.8
566,0.255,55.6
567,0.256,55.4
568,0.256,55.4
569,0.256,55.5
570,0.255,55.6
571,0.255,55.6
572,0.255,55.6
573,0.256,55.5
574,0.256,55.5
575,0.256,55.4
576,0.256,55.4
577,0.257,55.4
578,0.257,55.3
579,0.258,55.3
580,0.257,55.3
581,0.257,55.3
582,0.257,55.3
583,0.256,55.4
584,0.256,55.5
585,0.256,55.5
586,0.255,55.6
587,0.255,55.6
588,0.254,55.8
589,0.253,55.8
590,0.253,55.9
591,0.253,55.8
592,0.254,55.8
593,0.253,55.8
594,0.252,56
595,0.251,56.1
596,0.251,56.1
597,0.251,56.1
598,0.253,55.9
599,0.254,55.7
600,0.254,55.7
601,0.254,55.7
602,0.251,56.1
603,0.248,56.4
604,0.248,56.5
605,0.248,56.5
606,0.251,56.1
607,0.252,56
608,0.252,56
609,0.25,56.3
610,0.25,56.2
611,0.252,56
612,0.253,55.9
613,0.253,55.9
614,0.253,55.9
615,0.252,56
616,0.252,56
617,0.251,56.1
618,0.251,56.2
619,0.251,56.2
620,0.25,56.2
621,0.25,56.2
622,0.249,56.3
623,0.249,56.4
624,0.248,56.5
625,0.247,56.7
626,0.246,56.7
627,0.246,56.7
628,0.246,56.7
629,0.248,56.5
630,0.248,56.5
631,0.248,56.5
632,0.248,56.5
633,0.248,56.5
634,0.247,56.7
635,0.247,56.6
636,0.247,56.6
637,0.247,56.6
638,0.247,56.6
639,0.247,56.6
640,0.247,56.6
641,0.247,56.7
642,0.247,56.7
643,0.247,56.7
644,0.247,56.7
645,0.246,56.7
646,0.245,56.9
647,0.245,56.9
648,0.244,57
649,0.244,57
650,0.244,57
651,0.243,57.1
652,0.243,57.1
653,0.243,57.1
654,0.244,57.1
655,0.244,57.1
656,0.243,57.1
657,0.242,57.3
658,0.241,57.5
659,0.239,57.7
660,0.239,57.7
661,0.242,57.3
662,0.244,57
663,0.245,56.9
664,0.245,56.9
665,0.244,57
666,0.243,57.2
667,0.242,57.2
668,0.242,57.3
669,0.241,57.4
670,0.241,57.5
671,0.241,57.5
672,0.241,57.4
673,0.241,57.4
674,0.241,57.4
675,0.24,57.5
676,0.24,57.5
677,0.24,57.6
678,0.239,57.6
679,0.238,57.7
680,0.238,57.8
681,0.238,57.9
682,0.239,57.7
683,0.24,57.6
684,0.24,57.5
685,0.24,57.5
686,0.24,57.5
687,0.24,57.5
688,0.24,57.6
689,0.24,57.6
690,0.239,57.7
691,0.239,57.7
692,0.239,57.7
693,0.239,57.7
694,0.239,57.7
695,0.238,57.8
696,0.237,57.9
697,0.236,58.1
698,0.232,58.6
699,0.231,58.7
700,0.233,58.5
701,0.237,57.9
702,0.24,57.5
703,0.241,57.4
704,0.24,57.6
705,0.24,57.6
706,0.238,57.8
707,0.237,57.9
708,0.237,58
709,0.237,58
710,0.237,58
711,0.237,58
712,0.236,58
713,0.236,58
714,0.236,58
715,0.236,58
716,0.236,58
717,0.237,57.9
718,0.238,57.9
719,0.239,57.7
720,0.241,57.4
721,0.241,57.4
722,0.24,57.5
723,0.24,57.6
724,0.24,57.6
725,0.239,57.7
726,0.238,57.9
727,0.235,58.2
728,0.233,58.5
729,0.232,58.6
730,0.231,58.7
731,0.231,58.8
732,0.23,58.9
733,0.229,59
734,0.229,59
735,0.23,58.9
736,0.232,58.7
737,0.232,58.6
738,0.233,58.5
739,0.233,58.5
740,0.233,58.5
741,0.232,58.6
742,0.232,58.6
743,0.232,58.6
744,0.232,58.6
745,0.232,58.6
746,0.232,58.6
747,0.232,58.7
748,0.231,58.7
749,0.231,58.7
750,0.231,58.7
751,0.231,58.7
752,0.229,59
753,0.229,59
754,0.229,59
755,0.23,58.9
756,0.229,59
757,0.23,58.9
758,0.23,58.9
759,0.229,59.1
760,0.228,59.1
761,0.228,59.1
762,0.228,59.2
763,0.228,59.2
764,0.225,59.6
765,0.222,60
766,0.222,59.9
767,0.228,59.1
768,0.232,58.6
769,0.232,58.6
770,0.232,58.6
771,0.23,58.8
772,0.23,58.8
773,0.23,58.8
774,0.231,58.7
775,0.229,59
776,0.227,59.2
777,0.227,59.3
778,0.227,59.3
779,0.227,59.3
780,0.227,59.3
781,0.226,59.4
782,0.226,59.4
783,0.226,59.4
784,0.226,59.4
785,0.226,59.4
786,0.227,59.2
787,0.228,59.1
788,0.233,58.4
789,0.236,58.1
790,0.238,57.8
791,0.241,57.4
792,0.242,57.3
793,0.243,57.2
794,0.243,57.2
795,0.24,57.6
796,0.235,58.2
797,0.233,58.5
798,0.227,59.2
799,0.223,59.9
800,0.222,60
801,0.222,60
802,0.221,60.1
803,0.219,60.4
804,0.218,60.5
805,0.217,60.6
806,0.216,60.8
807,0.216,60.9
808,0.216,60.9
809,0.216,60.9
810,0.216,60.9
811,0.216,60.9
812,0.215,61
813,0.215,60.9
814,0.215,60.9
815,0.216,60.8
816,0.216,60.8
817,0.216,60.8
818,0.214,61
819,0.213,61.2
820,0.211,61.5
821,0.21,61.7
822,0.205,62.4
823,0.193,64.1
824,0.187,65
825,0.187,65
826,0.204,62.5
827,0.226,59.4
828,0.231,58.7
829,0.223,59.9
830,0.217,60.7
831,0.224,59.7
832,0.234,58.4
833,0.237,58
834,0.224,59.6
835,0.211,61.5
836,0.205,62.3
837,0.21,61.7
838,0.222,59.9
839,0.229,59
840,0.231,58.7
841,0.227,59.3
842,0.222,60
843,0.218,60.6
844,0.219,60.4
845,0.221,60.1
846,0.221,60.1
847,0.221,60.1
848,0.221,60.1
849,0.22,60.2
850,0.22,60.3
851,0.217,60.6
852,0.216,60.8
853,0.216,60.8
854,0.216,60.8
855,0.217,60.6
856,0.217,60.6
857,0.217,60.7
858,0.217,60.7
859,0.217,60.7
860,0.217,60.7
861,0.215,60.9
862,0.214,61.1
863,0.214,61.1
864,0.213,61.2
865,0.213,61.2
866,0.213,61.3
867,0.213,61.3
868,0.213,61.3
869,0.213,61.3
870,0.212,61.3
871,0.212,61.3
872,0.211,61.5
873,0.211,61.6
874,0.21,61.6
875,0.209,61.7
876,0.209,61.8
877,0.209,61.8
878,0.208,61.9
879,0.206,62.2
880,0.205,62.3
881,0.198,63.4
882,0.186,65.2
883,0.18,66
884,0.179,66.2
885,0.185,65.3
886,0.217,60.7
887,0.239,57.6
888,0.245,56.8
889,0.238,57.9
890,0.23,58.9
891,0.226,59.5
892,0.221,60.1
893,0.219,60.4
894,0.216,60.8
895,0.21,61.7
896,0.202,62.8
897,0.192,64.3
898,0.193,64.1
899,0.209,61.8
900,0.223,59.8
901,0.229,59.1
902,0.227,59.2
903,0.222,59.9
904,0.214,61.1
905,0.198,63.3
906,0.196,63.7
907,0.193,64.1
908,0.207,62.1
909,0.229,59
910,0.238,57.9
911,0.232,58.6
912,0.224,59.7
913,0.218,60.6
914,0.213,61.3
915,0.206,62.2
916,0.197,63.5
917,0.184,65.5
918,0.183,65.7
919,0.185,65.3
920,0.206,62.2
921,0.229,59.1
922,0.237,58
923,0.233,58.5
924,0.226,59.5
925,0.225,59.6
926,0.222,60
927,0.22,60.3
928,0.218,60.5
929,0.213,61.2
930,0.213,61.2
931,0.212,61.4
932,0.211,61.5
933,0.211,61.5
934,0.21,61.6
935,0.21,61.6
936,0.209,61.8
937,0.204,62.5
938,0.198,63.3
939,0.195,63.8
940,0.196,63.7
941,0.199,63.2
942,0.204,62.5
943,0.208,61.9
944,0.21,61.7
945,0.209,61.8
946,0.207,62.1
947,0.205,62.3
948,0.205,62.3
949,0.205,62.3
950,0.213,61.2
951,0.223,59.8
952,0.226,59.4
953,0.228,59.2
954,0.235,58.3
955,0.242,57.3
956,0.247,56.6
957,0.248,56.4
958,0.25,56.3
959,0.248,56.4
960,0.248,56.4
961,0.247,56.6
962,0.247,56.6
963,0.246,56.8
964,0.245,56.9
965,0.244,57
966,0.244,57.1
967,0.243,57.1
968,0.242,57.3
969,0.239,57.7
970,0.236,58.1
971,0.236,58.1
972,0.236,58.1
973,0.24,57.5
974,0.24,57.5
975,0.241,57.4
976,0.244,57
977,0.244,57
978,0.241,57.4
979,0.237,57.9
980,0.226,59.5
981,0.21,61.7
982,0.206,62.3
983,0.211,61.5
984,0.248,56.5
985,0.276,53
986,0.287,51.7
987,0.278,52.7
988,0.267,54.1
989,0.259,55.1
990,0.253,55.9
991,0.246,56.8
992,0.239,57.7
993,0.234,58.4
994,0.212,61.4
995,0.2,63.2
996,0.2,63.1
997,0.226,59.4
998,0.262,54.7
999,0.28,52.4
"1,000.00",0.282,52.2
"1,001.00",0.271,53.6
"1,002.00",0.26,55
"1,003.00",0.253,55.8
"1,004.00",0.251,56.2
"1,005.00",0.248,56.4
"1,006.00",0.248,56.5
"1,007.00",0.248,56.5
"1,008.00",0.247,56.7
"1,009.00",0.247,56.7
"1,010.00",0.246,56.8
"1,011.00",0.245,56.9
"1,012.00",0.242,57.3
"1,013.00",0.239,57.6
"1,014.00",0.239,57.7
"1,015.00",0.24,57.5
"1,016.00",0.248,56.5
"1,017.00",0.251,56.2
"1,018.00",0.251,56.1
"1,019.00",0.251,56.1
"1,020.00",0.251,56.1
"1,021.00",0.251,56.1
"1,022.00",0.252,55.9
"1,023.00",0.253,55.9
"1,024.00",0.252,55.9
"1,025.00",0.253,55.9
"1,026.00",0.253,55.9
"1,027.00",0.252,55.9
"1,028.00",0.253,55.9
"1,029.00",0.253,55.9
"1,030.00",0.253,55.8
"1,031.00",0.254,55.8
"1,032.00",0.255,55.6
"1,033.00",0.257,55.4
"1,034.00",0.257,55.4
"1,035.00",0.258,55.2
"1,036.00",0.259,55.1
"1,037.00",0.259,55.1
"1,038.00",0.259,55.1
"1,039.00",0.259,55
"1,040.00",0.26,55
"1,041.00",0.262,54.7
"1,042.00",0.264,54.4
"1,043.00",0.266,54.1
"1,044.00",0.267,54.1
"1,045.00",0.268,53.9
"1,046.00",0.27,53.7
"1,047.00",0.273,53.4
"1,048.00",0.273,53.4
"1,049.00",0.273,53.4
"1,050.00",0.273,53.4
"1,051.00",0.273,53.4
"1,052.00",0.274,53.3
"1,053.00",0.274,53.3
"1,054.00",0.271,53.5
"1,055.00",0.272,53.5
"1,056.00",0.272,53.4
"1,057.00",0.275,53.1
"1,058.00",0.279,52.6
"1,059.00",0.28,52.4
"1,060.00",0.281,52.4
"1,061.00",0.284,52
"1,062.00",0.294,50.8
"1,063.00",0.298,50.4
"1,064.00",0.303,49.8
"1,065.00",0.303,49.8
"1,066.00",0.303,49.8
"1,067.00",0.302,49.9
"1,068.00",0.302,49.9
"1,069.00",0.301,50
"1,070.00",0.301,50
"1,071.00",0.301,50
"1,072.00",0.303,49.8
"1,073.00",0.303,49.7
"1,074.00",0.304,49.7
"1,075.00",0.306,49.4
"1,076.00",0.307,49.3
"1,077.00",0.308,49.2
"1,078.00",0.308,49.2
"1,079.00",0.308,49.2
"1,080.00",0.309,49.1
"1,081.00",0.312,48.7
"1,082.00",0.313,48.6
"1,083.00",0.314,48.6
"1,084.00",0.317,48.1
"1,085.00",0.315,48.5
"1,086.00",0.307,49.3
"1,087.00",0.31,49
"1,088.00",0.325,47.3
"1,089.00",0.334,46.4
"1,090.00",0.336,46.1
"1,091.00",0.338,45.9
"1,092.00",0.336,46.1
"1,093.00",0.337,46.1
"1,094.00",0.337,46
"1,095.00",0.337,46
"1,096.00",0.337,46
"1,097.00",0.338,45.9
"1,098.00",0.339,45.8
"1,099.00",0.342,45.5
"1,100.00",0.257,55.3
,,
,,
Tim Quartz Clear,,
Tim Quartz Clear 2,"Date : 21/07/2021, 16:21:50",
Wavelength (nm),ABS,%T
190,1.165,6.8
191,1.18,6.6
192,1.186,6.5
193,1.194,6.4
194,1.202,6.3
195,1.204,6.3
196,1.206,6.2
197,1.208,6.2
198,1.213,6.1
199,1.214,6.1
200,1.212,6.1
201,1.209,6.2
202,1.201,6.3
203,1.192,6.4
204,1.184,6.5
205,1.17,6.8
206,1.152,7.1
207,1.129,7.4
208,1.102,7.9
209,1.068,8.5
210,1.036,9.2
211,1.004,9.9
212,0.97,10.7
213,0.936,11.6
214,0.906,12.4
215,0.889,12.9
216,0.868,13.5
217,0.844,14.3
218,0.818,15.2
219,0.797,16
220,0.777,16.7
221,0.756,17.5
222,0.738,18.3
223,0.716,19.2
224,0.7,20
225,0.687,20.6
226,0.675,21.1
227,0.666,21.6
228,0.661,21.8
229,0.657,22
230,0.657,22
231,0.656,22.1
232,0.656,22.1
233,0.655,22.1
234,0.655,22.1
235,0.655,22.1
236,0.655,22.2
237,0.655,22.1
238,0.656,22.1
239,0.655,22.1
240,0.654,22.2
241,0.648,22.5
242,0.645,22.6
243,0.64,22.9
244,0.634,23.2
245,0.626,23.7
246,0.613,24.4
247,0.601,25
248,0.59,25.7
249,0.58,26.3
250,0.571,26.8
251,0.56,27.5
252,0.545,28.5
253,0.531,29.5
254,0.519,30.3
255,0.508,31.1
256,0.497,31.9
257,0.485,32.7
258,0.473,33.6
259,0.461,34.6
260,0.453,35.2
261,0.446,35.8
262,0.442,36.1
263,0.439,36.4
264,0.434,36.8
265,0.431,37.1
266,0.424,37.6
267,0.42,38
268,0.416,38.3
269,0.414,38.5
270,0.412,38.7
271,0.409,39
272,0.407,39.2
273,0.405,39.3
274,0.406,39.3
275,0.406,39.3
276,0.406,39.2
277,0.405,39.4
278,0.404,39.5
279,0.404,39.5
280,0.404,39.5
281,0.404,39.5
282,0.403,39.6
283,0.399,39.9
284,0.398,40
285,0.398,40
286,0.396,40.2
287,0.393,40.4
288,0.392,40.5
289,0.388,40.9
290,0.384,41.3
291,0.381,41.6
292,0.378,41.9
293,0.376,42.1
294,0.373,42.4
295,0.367,43
296,0.366,43.1
297,0.363,43.4
298,0.362,43.5
299,0.362,43.5
300,0.362,43.5
301,0.362,43.5
302,0.362,43.5
303,0.361,43.5
304,0.361,43.6
305,0.36,43.6
306,0.357,44
307,0.355,44.1
308,0.351,44.5
309,0.351,44.6
310,0.35,44.7
311,0.348,44.9
312,0.348,44.9
313,0.347,44.9
314,0.346,45.1
315,0.344,45.3
316,0.344,45.3
317,0.345,45.2
318,0.345,45.2
319,0.344,45.3
320,0.343,45.4
321,0.343,45.4
322,0.34,45.7
323,0.336,46.1
324,0.335,46.2
325,0.337,46.1
326,0.337,46
327,0.338,45.9
328,0.338,46
329,0.337,46
330,0.336,46.1
331,0.334,46.3
332,0.332,46.5
333,0.332,46.5
334,0.332,46.5
335,0.332,46.5
336,0.332,46.5
337,0.332,46.5
338,0.332,46.6
339,0.332,46.6
340,0.332,46.6
341,0.33,46.8
342,0.328,47
343,0.328,47
344,0.327,47
345,0.33,46.8
346,0.332,46.5
347,0.332,46.5
348,0.33,46.8
349,0.33,46.8
350,0.33,46.8
351,0.329,46.9
352,0.329,46.9
353,0.329,46.9
354,0.329,46.9
355,0.326,47.2
356,0.326,47.2
357,0.327,47.1
358,0.329,46.9
359,0.329,46.9
360,0.329,46.9
361,0.333,46.5
362,0.336,46.1
363,0.337,46.1
364,0.337,46.1
365,0.337,46.1
366,0.337,46.1
367,0.337,46.1
368,0.337,46.1
369,0.337,46.1
370,0.335,46.2
371,0.335,46.2
372,0.336,46.1
373,0.336,46.1
374,0.335,46.2
375,0.335,46.3
376,0.335,46.3
377,0.339,45.8
378,0.341,45.6
379,0.342,45.4
380,0.343,45.4
381,0.343,45.4
382,0.343,45.4
383,0.342,45.5
384,0.344,45.3
385,0.345,45.2
386,0.344,45.2
387,0.345,45.2
388,0.345,45.2
389,0.345,45.2
390,0.334,46.4
391,0.33,46.8
392,0.329,46.9
393,0.329,46.8
394,0.329,46.9
395,0.329,46.9
396,0.329,46.9
397,0.327,47
398,0.327,47.2
399,0.326,47.2
400,0.325,47.3
401,0.324,47.5
402,0.321,47.7
403,0.321,47.8
404,0.321,47.7
405,0.322,47.6
406,0.323,47.5
407,0.323,47.6
408,0.322,47.6
409,0.322,47.6
410,0.322,47.7
411,0.322,47.7
412,0.322,47.7
413,0.32,47.8
414,0.318,48
415,0.318,48.1
416,0.318,48.1
417,0.316,48.3
418,0.313,48.6
419,0.312,48.7
420,0.311,48.8
421,0.31,49
422,0.31,48.9
423,0.311,48.9
424,0.311,48.9
425,0.311,48.9
426,0.311,48.9
427,0.311,48.8
428,0.312,48.8
429,0.312,48.8
430,0.312,48.8
431,0.312,48.8
432,0.31,49
433,0.31,49
434,0.31,49
435,0.31,49
436,0.31,49
437,0.309,49
438,0.309,49.1
439,0.308,49.3
440,0.306,49.4
441,0.306,49.5
442,0.306,49.5
443,0.306,49.4
444,0.306,49.4
445,0.305,49.5
446,0.304,49.6
447,0.303,49.7
448,0.304,49.7
449,0.304,49.6
450,0.304,49.6
451,0.304,49.6
452,0.304,49.6
453,0.304,49.7
454,0.304,49.7
455,0.305,49.6
456,0.304,49.6
457,0.303,49.8
458,0.301,50
459,0.299,50.2
460,0.298,50.4
461,0.299,50.2
462,0.304,49.7
463,0.304,49.6
464,0.304,49.7
465,0.303,49.7
466,0.303,49.8
467,0.301,49.9
468,0.302,49.9
469,0.302,49.9
470,0.303,49.8
471,0.302,49.8
472,0.302,49.9
473,0.301,50
474,0.301,50
475,0.301,50
476,0.3,50.1
477,0.299,50.3
478,0.298,50.3
479,0.298,50.4
480,0.297,50.4
481,0.295,50.7
482,0.291,51.2
483,0.287,51.7
484,0.284,52
485,0.29,51.3
486,0.297,50.4
487,0.296,50.5
488,0.293,50.9
489,0.295,50.7
490,0.296,50.6
491,0.293,50.9
492,0.292,51.1
493,0.298,50.3
494,0.301,50
495,0.301,50
496,0.299,50.3
497,0.297,50.4
498,0.299,50.2
499,0.3,50.2
500,0.301,50
501,0.301,50
502,0.299,50.2
503,0.298,50.3
504,0.297,50.5
505,0.296,50.5
506,0.295,50.7
507,0.295,50.7
508,0.292,51
509,0.292,51.1
510,0.291,51.2
511,0.29,51.2
512,0.29,51.2
513,0.29,51.3
514,0.291,51.2
515,0.29,51.3
516,0.289,51.4
517,0.287,51.6
518,0.287,51.7
519,0.29,51.3
520,0.292,51
521,0.292,51.1
522,0.29,51.3
523,0.288,51.6
524,0.285,51.9
525,0.282,52.2
526,0.282,52.3
527,0.28,52.4
528,0.279,52.6
529,0.289,51.4
530,0.295,50.7
531,0.293,51
532,0.288,51.6
533,0.287,51.6
534,0.292,51
535,0.292,51.1
536,0.29,51.2
537,0.291,51.1
538,0.291,51.2
539,0.286,51.7
540,0.281,52.4
541,0.283,52.2
542,0.289,51.5
543,0.292,51
544,0.293,50.9
545,0.292,51
546,0.291,51.2
547,0.292,51
548,0.294,50.8
549,0.294,50.8
550,0.292,51.1
551,0.289,51.4
552,0.288,51.5
553,0.289,51.4
554,0.29,51.3
555,0.29,51.3
556,0.289,51.4
557,0.288,51.5
558,0.288,51.5
559,0.287,51.7
560,0.272,53.4
561,0.263,54.5
562,0.262,54.7
563,0.26,55
564,0.259,55
565,0.258,55.3
566,0.258,55.2
567,0.26,54.9
568,0.26,54.9
569,0.26,55
570,0.259,55.1
571,0.258,55.2
572,0.258,55.2
573,0.259,55.1
574,0.259,55.1
575,0.259,55.1
576,0.26,55
577,0.261,54.8
578,0.262,54.7
579,0.262,54.7
580,0.261,54.8
581,0.261,54.8
582,0.261,54.9
583,0.26,55
584,0.259,55
585,0.259,55
586,0.259,55.1
587,0.258,55.2
588,0.257,55.3
589,0.257,55.3
590,0.257,55.4
591,0.257,55.3
592,0.257,55.3
593,0.256,55.4
594,0.256,55.5
595,0.254,55.8
596,0.253,55.8
597,0.253,55.8
598,0.256,55.4
599,0.258,55.2
600,0.258,55.2
601,0.257,55.3
602,0.254,55.7
603,0.251,56.1
604,0.25,56.2
605,0.252,56
606,0.255,55.6
607,0.255,55.5
608,0.254,55.7
609,0.252,55.9
610,0.253,55.9
611,0.254,55.7
612,0.256,55.5
613,0.256,55.4
614,0.256,55.4
615,0.256,55.5
616,0.255,55.6
617,0.254,55.7
618,0.254,55.7
619,0.254,55.8
620,0.253,55.8
621,0.253,55.8
622,0.253,55.9
623,0.252,56
624,0.251,56.2
625,0.25,56.3
626,0.249,56.4
627,0.248,56.4
628,0.25,56.2
629,0.251,56.1
630,0.251,56.1
631,0.251,56.1
632,0.251,56.1
633,0.251,56.1
634,0.25,56.3
635,0.25,56.2
636,0.25,56.2
637,0.251,56.1
