wavelength,S6 Irrad 1 1,S6 Irrad 1 10,S6 Irrad 1 2,S6 Irrad 1 3,S6 Irrad 1 4,S6 Irrad 1 5,S6 Irrad 1 6,S6 Irrad 1 7,S6 Irrad 1 8,S6 Irrad 1 9,S6 Irrad 2,S6 Irrad 3,S6 Irrad 4,S6 Irrad 5,S6 Irrad 6,S6 Irrad 7,S6 Irrad 8,S6 Irrad 9,S6 Post Heat,S6 Preheat,blank
216,0.1,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35,5.900000000000001,98.1
217,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,6.5,98.3
218,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.325,7.166666666666667,98.2
219,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.825,7.8999999999999995,98.5
220,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.325,8.6,98.6
221,0.07500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,9.4,98.6
222,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,10.1,98.7
223,0.42500000000000004,0.0,0.1,0.1,0.07500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.05,11.0,98.7
224,0.6499999999999999,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,0.07500000000000001,0.0,0.1,0.025,0.0,0.1,8.6,11.633333333333333,98.6
225,0.875,0.1,0.275,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.025,0.1,0.1,0.0,0.1,8.95,12.133333333333333,98.6
226,1.05,0.1,0.375,0.2,0.15000000000000002,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.1,0.1,0.0,0.1,9.25,12.533333333333333,98.6
227,1.2249999999999999,0.1,0.45,0.22500000000000003,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.1,0.1,0.0,0.1,9.475,12.833333333333334,98.7
228,1.4,0.1,0.5,0.275,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.025,0.1,0.1,0.0,0.1,9.5,12.866666666666667,98.8
229,1.5,0.1,0.5750000000000001,0.3,0.2,0.175,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.1,9.3,12.733333333333334,98.8
230,1.6,0.1,0.6499999999999999,0.35,0.25,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.1,9.125,12.5,98.9
231,1.7249999999999999,0.1,0.75,0.4,0.3,0.2,0.15000000000000002,0.1,0.1,0.1,0.1,0.1,0.1,0.025,0.1,0.1,0.0,0.1,8.924999999999999,12.266666666666666,99.0
232,1.9,0.1,0.85,0.475,0.375,0.25,0.2,0.125,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,8.775,12.066666666666668,99.0
233,2.025,0.1,0.975,0.5750000000000001,0.42500000000000004,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,8.625,11.766666666666666,98.9
234,2.1500000000000004,0.1,1.1,0.6749999999999999,0.5,0.375,0.3,0.2,0.2,0.175,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,8.424999999999999,11.466666666666667,98.8
235,2.3,0.1,1.2249999999999999,0.7749999999999999,0.6,0.4,0.3,0.275,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.17500000000000002,8.2,11.200000000000001,98.8
236,2.4,0.2,1.35,0.875,0.6749999999999999,0.5,0.4,0.3,0.22500000000000003,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.2,7.949999999999999,10.933333333333332,98.8
237,2.525,0.2,1.475,0.975,0.7749999999999999,0.5750000000000001,0.45,0.375,0.3,0.25,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.2,7.75,10.633333333333333,98.6
238,2.625,0.22500000000000003,1.6,1.0750000000000002,0.875,0.6749999999999999,0.5,0.4,0.35,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.2,7.6,10.366666666666667,98.5
239,2.75,0.3,1.75,1.25,1.025,0.7749999999999999,0.6,0.5,0.4,0.375,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.2,7.475,10.233333333333333,98.5
240,2.9,0.4,1.925,1.375,1.175,0.9,0.7249999999999999,0.6,0.5,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.2,7.425000000000001,10.166666666666666,98.5
241,3.025,0.42500000000000004,2.0999999999999996,1.5499999999999998,1.3250000000000002,1.025,0.85,0.7,0.6,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.2,7.425000000000001,10.166666666666666,98.6
242,3.1500000000000004,0.5,2.2,1.675,1.45,1.1500000000000001,0.95,0.8,0.6749999999999999,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.2,7.4,10.133333333333333,98.7
