wavelength,S9 Irrad 1,S9 Irrad 10,S9 Irrad 11,S9 Irrad 12,S9 Irrad 13,S9 Irrad 14,S9 Irrad 15,S9 Irrad 2,S9 Irrad 3,S9 Irrad 4,S9 Irrad 5,S9 Irrad 6,S9 Irrad 6 Redo,S9 Irrad 7,S9 Irrad 8,S9 Irrad 9,S9 Postheat,S9 Postheat Day 1,S9 Preheat,blank
217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,5.066666666666666,6.475,5.2
218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.140000000000001,5.666666666666667,7.199999999999999,5.8
219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.76,6.233333333333333,7.9,6.4
220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.459999999999999,6.766666666666667,8.7,7.0
221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.059999999999999,7.433333333333334,9.45,7.7
222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.72,8.033333333333333,10.175,8.2
223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.52,8.733333333333333,11.15,8.9
224,0.07500000000000001,0.07500000000000001,0.1,0.025,0.1,0.025,0.07500000000000001,0.1,0.04,0.05,0.1,0.05,0.07500000000000001,0.0,0.0,0.025,10.120000000000001,9.233333333333333,11.825,9.4
225,0.1,0.1,0.1,0.1,0.1,0.07500000000000001,0.1,0.1,0.1,0.07500000000000001,0.1,0.1,0.1,0.1,0.07500000000000001,0.1,10.559999999999999,9.633333333333333,12.325,9.9
226,0.1,0.1,0.1,0.1,0.1,0.07500000000000001,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.07500000000000001,0.1,10.919999999999998,10.0,12.700000000000001,10.2
227,0.1,0.1,0.1,0.1,0.1,0.07500000000000001,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.07500000000000001,0.1,11.16,10.200000000000001,13.025,10.4
228,0.1,0.1,0.1,0.1,0.1,0.07500000000000001,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.025,0.1,11.260000000000002,10.233333333333333,13.1,10.5
229,0.1,0.1,0.1,0.1,0.1,0.07500000000000001,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,11.260000000000002,10.166666666666666,13.05,10.4
230,0.1,0.1,0.1,0.1,0.1,0.05,0.1,0.1,0.08,0.1,0.1,0.1,0.1,0.1,0.0,0.1,11.059999999999999,10.066666666666666,12.925,10.2
231,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.08,0.1,0.1,0.1,0.1,0.1,0.0,0.1,10.919999999999998,10.0,12.8,10.1
232,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,10.72,9.833333333333334,12.575000000000001,10.0
233,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,10.499999999999998,9.533333333333333,12.350000000000001,9.7
234,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,10.200000000000001,9.333333333333334,12.025,9.5
235,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,9.959999999999999,9.1,11.75,9.3
236,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,9.74,8.833333333333334,11.425,9.0
237,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,9.459999999999999,8.6,11.15,8.8
238,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,9.180000000000001,8.333333333333334,10.850000000000001,8.5
239,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,8.98,8.166666666666666,10.625,8.4
240,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,8.88,8.033333333333333,10.45,8.3
241,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,8.86,8.033333333333333,10.375,8.2
242,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,8.86,8.033333333333333,10.375,8.2
243,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,8.8,8.033333333333333,10.350000000000001,8.2
244,0.25,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,8.76,8.033333333333333,10.350000000000001,8.1
245,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,8.94,8.033333333333333,10.549999999999999,8.2
246,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,9.26,8.433333333333332,10.899999999999999,8.6
247,0.475,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,9.719999999999999,8.766666666666667,11.399999999999999,8.9
248,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,10.02,9.033333333333333,11.775000000000002,9.2
249,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,10.280000000000001,9.333333333333334,12.15,9.5
250,0.7,0.1,0.1,0.1,0.1,0.1,0.1,0.25,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,10.700000000000001,9.733333333333333,12.65,9.9
251,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,11.260000000000002,10.200000000000001,13.325,10.4
252,0.925,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.1,11.9,10.800000000000002,14.15,11.0
253,1.1,0.1,0.1,0.1,0.1,0.1,0.1,0.45,0.3,0.22500000000000003,0.2,0.2,0.2,0.1,0.1,0.1,12.48,11.433333333333332,15.0,11.7
254,1.2249999999999999,0.1,0.1,0.1,0.1,0.1,0.125,0.5,0.4,0.3,0.2,0.2,0.2,0.2,0.1,0.1,13.180000000000001,12.033333333333333,15.725,12.3
255,1.375,0.2,0.2,0.175,0.1,0.2,0.2,0.6,0.44000000000000006,0.375,0.3,0.3,0.2,0.2,0.2,0.2,13.86,12.633333333333333,16.45,12.9
256,1.5499999999999998,0.2,0.2,0.2,0.2,0.2,0.2,0.7,0.52,0.4,0.3,0.3,0.3,0.2,0.2,0.2,14.6,13.266666666666666,17.174999999999997,13.6
257,1.7249999999999999,0.25,0.275,0.2,0.2,0.2,0.3,0.8250000000000001,0.64,0.5,0.4,0.4,0.375,0.3,0.3,0.275,15.320000000000002,13.966666666666667,18.15,14.3
258,1.9249999999999998,0.3,0.3,0.3,0.3,0.3,0.3,1.0,0.8,0.6,0.5,0.5,0.4,0.375,0.3,0.3,16.119999999999997,14.633333333333333,19.0,15.0
259,2.1500000000000004,0.4,0.4,0.4,0.3,0.4,0.4,1.1,0.9,0.7249999999999999,0.6,0.6,0.5,0.45,0.4,0.4,16.939999999999998,15.366666666666667,19.9,15.7
260,2.35,0.5,0.5,0.42500000000000004,0.4,0.5,0.5,1.275,1.02,0.875,0.7,0.7,0.6,0.525,0.5,0.5,17.76,16.066666666666666,20.674999999999997,16.4
