wavelength,blank,S8 Postheat,S8 Preheat,S8 Irrad 1,S8 Irrad 2,S8 Irrad 3,S8 Irrad 4,S8 Irrad 5,S8 Irrad 6,S8 Irrad 7,S8 Irrad 8,S8 Irrad 10,S8 Irrad 11,S8 Irrad 12,S8 Irrad 13,S8 Irrad 14,S8 Irrad 15
236,99,27.74,9.95,2.7,1.325,0.875,0.6,0.35,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
237,98.9,27.5,9.7,2.86,1.425,0.975,0.675,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
238,98.8,27.26,9.45,2.98,1.6,1.15,0.8,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
239,98.8,27.12,9.275,3.14,1.75,1.275,0.9,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
240,98.8,27.02,9.15,3.28,1.925,1.45,1.05,0.7,0.125,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
241,98.9,27.04,9.1,3.46,2.125,1.625,1.225,0.825,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
242,99.1,27.08,9.075,3.6,2.325,1.8,1.375,0.95,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
243,99.1,27.02,9.075,3.74,2.45,1.95,1.525,1.05,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
244,99.1,27,9.025,3.88,2.6,2.1,1.65,1.15,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
245,99.1,27.08,9.15,4.08,2.8,2.3,1.85,1.3,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1
246,99.1,27.4,9.525,4.38,3.075,2.525,2.075,1.5,0.4,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1
247,99.3,27.8,9.925,4.66,3.35,2.825,2.3,1.7,0.5,0.26,0.2,0.1,0.1,0.1,0.1,0.1,0.1
248,99.2,28.02,10.2,4.88,3.55,3.025,2.5,1.85,0.575,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1
249,99.2,28.22,10.525,5.1,3.725,3.225,2.675,2,0.625,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1
250,99.5,28.56,10.875,5.34,3.925,3.425,2.85,2.175,0.7,0.4,0.2,0.2,0.1,0.1,0.1,0.1,0.1
251,99.5,29.04,11.5,5.68,4.175,3.7,3.1,2.375,0.825,0.48,0.3,0.2,0.1,0.1,0.1,0.1,0.1
252,99.3,29.56,12.2,6.02,4.525,4,3.375,2.625,0.975,0.56,0.35,0.2,0.15,0.1,0.1,0.1,0.1
253,99.4,30.18,12.875,6.4,4.825,4.275,3.65,2.85,1.125,0.68,0.4,0.3,0.2,0.175,0.1,0.1,0.1
254,99.3,30.68,13.525,6.78,5.05,4.55,3.9,3.05,1.275,0.78,0.5,0.3,0.2,0.2,0.15,0.1,0.1
255,99.2,31.16,14.175,7.1,5.35,4.825,4.15,3.275,1.425,0.88,0.6,0.4,0.25,0.2,0.2,0.2,0.2
256,99.1,31.68,14.85,7.46,5.65,5.125,4.4,3.5,1.6,1.02,0.7,0.5,0.3,0.275,0.2,0.2,0.2
257,99.1,32.36,15.65,7.8,6,5.4,4.7,3.75,1.775,1.16,0.8,0.575,0.4,0.3,0.3,0.2,0.225
258,99.1,33.02,16.425,8.2,6.325,5.725,5,4,2,1.36,0.9,0.7,0.45,0.4,0.3,0.3,0.3
259,99.1,33.7,17.25,8.64,6.65,6.05,5.3,4.25,2.2,1.54,1.075,0.8,0.55,0.475,0.4,0.375,0.4
260,99.4,34.38,18.05,9.02,6.95,6.325,5.6,4.525,2.425,1.68,1.2,0.9,0.65,0.55,0.5,0.4,0.45
261,99.4,34.78,18.5,9.2,7.15,6.525,5.775,4.625,2.6,1.84,1.325,1.025,0.75,0.6,0.55,0.5,0.5
262,99.4,34.9,18.7,9.4,7.225,6.675,5.9,4.775,2.725,1.96,1.45,1.125,0.825,0.7,0.6,0.575,0.6
263,99.3,35,18.975,9.6,7.35,6.85,5.975,4.875,2.85,2.1,1.55,1.225,0.925,0.8,0.7,0.65,0.7
264,99.3,35.34,19.35,9.8,7.55,7.025,6.15,5.025,2.975,2.22,1.675,1.35,1.05,0.9,0.8,0.75,0.8
265,99.3,35.72,19.775,9.98,7.725,7.15,6.3,5.125,3.15,2.36,1.8,1.5,1.175,1,0.9,0.875,0.9
266,98.9,36.02,20.125,10.18,7.85,7.325,6.45,5.3,3.3,2.54,1.975,1.65,1.325,1.125,1.05,1,1.075
267,98.8,36.42,20.55,10.34,8.05,7.45,6.6,5.425,3.45,2.66,2.075,1.8,1.475,1.275,1.2,1.125,1.2
268,98.6,36.58,20.85,10.42,8.125,7.55,6.725,5.525,3.575,2.8,2.2,1.9,1.575,1.4,1.3,1.25,1.35
269,98.6,36.78,21.05,10.52,8.15,7.625,6.775,5.6,3.675,2.9,2.3,2.025,1.725,1.5,1.425,1.375,1.475
270,98.6,36.92,21.25,10.62,8.25,7.725,6.85,5.625,3.75,3,2.375,2.125,1.825,1.6,1.525,1.475,1.6
271,98.6,37.12,21.55,10.72,8.35,7.825,6.95,5.725,3.85,3.08,2.475,2.225,1.95,1.7,1.65,1.575,1.725
272,98.6,37.34,21.75,10.8,8.425,7.85,6.975,5.775,3.925,3.16,2.575,2.325,2.075,1.825,1.75,1.725,1.85
273,98.6,37.38,21.775,10.76,8.35,7.85,6.975,5.75,3.95,3.24,2.6,2.4,2.15,1.9,1.85,1.825,1.95
274,98.5,37.36,21.65,10.72,8.35,7.825,6.95,5.75,3.975,3.26,2.65,2.45,2.2,1.95,1.9,1.875,2.05
275,98.6,37.38,21.725,10.74,8.35,7.825,6.95,5.75,3.975,3.28,2.7,2.525,2.275,2.025,1.975,1.975,2.15
276,98.3,37.38,21.825,10.74,8.35,7.85,6.95,5.75,4.025,3.34,2.775,2.575,2.375,2.1,2.075,2.05,2.25
277,98.2,37.52,21.925,10.8,8.35,7.875,6.95,5.75,4.05,3.36,2.8,2.625,2.45,2.2,2.15,2.15,2.35
278,98.2,37.62,22,10.78,8.35,7.875,6.95,5.75,4.075,3.42,2.8,2.7,2.5,2.275,2.225,2.225,2.425
279,98.2,37.68,22,10.78,8.35,7.825,6.925,5.7,4.075,3.44,2.85,2.725,2.575,2.3,2.275,2.275,2.5
280,98.2,37.7,22.025,10.8,8.35,7.825,6.925,5.7,4.075,3.44,2.9,2.75,2.6,2.325,2.35,2.35,2.575
281,98.2,37.86,22.1,10.8,8.35,7.825,6.9,5.7,4.075,3.46,2.9,2.775,2.675,2.4,2.4,2.425,2.625
282,98.2,37.98,22.325,10.8,8.35,7.85,6.9,5.7,4.075,3.46,2.9,2.8,2.725,2.45,2.45,2.475,2.725
283,98.1,37.96,22.375,10.8,8.325,7.8,6.875,5.675,4.075,3.46,2.9,2.825,2.725,2.475,2.45,2.525,2.75
284,98.1,37.96,22.35,10.76,8.3,7.775,6.825,5.65,4.075,3.46,2.9,2.825,2.725,2.475,2.5,2.55,2.775
285,98.3,38.04,22.4,10.74,8.3,7.75,6.75,5.625,4.075,3.46,2.9,2.85,2.75,2.5,2.5,2.575,2.825
286,98.5,38.2,22.575,10.74,8.3,7.75,6.75,5.625,4.075,3.46,2.925,2.9,2.8,2.55,2.575,2.6,2.85
287,98.5,38.28,22.65,10.72,8.275,7.725,6.75,5.575,4.05,3.46,2.925,2.9,2.825,2.575,2.575,2.65,2.925
288,98.4,38.26,22.65,10.66,8.2,7.725,6.7,5.55,4.05,3.46,2.925,2.9,2.825,2.575,2.6,2.65,2.925
289,98.2,38.22,22.725,10.64,8.2,7.675,6.675,5.5,4.05,3.46,2.95,2.9,2.825,2.575,2.6,2.65,2.95
290,98.3,38.42,22.875,10.64,8.2,7.675,6.675,5.475,4.05,3.46,2.95,2.9,2.875,2.6,2.65,2.7,2.975
291,97.8,38.42,23.05,10.66,8.2,7.65,6.675,5.475,4.05,3.46,2.975,2.95,2.9,2.625,2.675,2.725,3
292,97.7,38.4,23.075,10.62,8.125,7.6,6.625,5.45,4.05,3.46,2.95,2.95,2.9,2.625,2.675,2.725,3.025
293,97.6,38.4,23.1,10.6,8.125,7.6,6.625,5.425,4.05,3.46,2.975,2.95,2.9,2.65,2.675,2.75,3.05
294,97.7,38.58,23.15,10.6,8.15,7.6,6.625,5.425,4.05,3.46,2.975,2.975,2.925,2.675,2.7,2.775,3.05
295,97.6,38.66,23.375,10.62,8.15,7.6,6.625,5.425,4.05,3.5,3,3,2.975,2.7,2.725,2.775,3.125
296,97.6,38.74,23.375,10.62,8.15,7.6,6.625,5.45,4.05,3.5,3,3,2.975,2.7,2.725,2.8,3.125
297,97.8,38.86,23.55,10.66,8.125,7.6,6.6,5.425,4.05,3.56,3,3.025,2.975,2.7,2.775,2.825,3.125
298,97.8,38.88,23.575,10.62,8.125,7.575,6.6,5.4,4.05,3.56,3,3.025,3,2.725,2.775,2.85,3.15
299,97.7,38.84,23.55,10.6,8.125,7.525,6.6,5.375,4.05,3.56,3,3.025,3,2.725,2.8,2.875,3.175
300,97.5,38.76,23.55,10.6,8.125,7.525,6.55,5.375,4.05,3.56,3,3.05,3.025,2.75,2.8,2.875,3.2
301,97.5,38.82,23.575,10.6,8.125,7.575,6.55,5.4,4.075,3.56,3.1,3.1,3.1,2.8,2.825,2.9,3.225
302,97.5,38.88,23.6,10.62,8.15,7.6,6.575,5.425,4.1,3.64,3.1,3.125,3.1,2.825,2.875,2.975,3.275
303,97.7,39.04,23.775,10.62,8.15,7.625,6.6,5.45,4.15,3.66,3.125,3.2,3.175,2.85,2.9,2.975,3.325
304,97.7,39.1,23.85,10.62,8.15,7.675,6.625,5.5,4.175,3.7,3.175,3.225,3.225,2.9,2.95,3.025,3.375
305,97.8,39.18,24.025,10.72,8.25,7.725,6.7,5.55,4.25,3.78,3.25,3.3,3.275,2.95,3.025,3.075,3.45
306,97.8,39.32,24.25,10.8,8.375,7.8,6.8,5.625,4.325,3.86,3.3,3.35,3.325,3.025,3.075,3.15,3.5
307,97.9,39.64,24.525,10.84,8.45,7.95,6.875,5.7,4.425,3.96,3.375,3.425,3.425,3.075,3.125,3.25,3.55
308,97.8,39.78,24.775,10.98,8.575,8.05,7.025,5.8,4.55,4.04,3.475,3.525,3.5,3.175,3.225,3.325,3.65
309,97.8,39.88,25,11.04,8.65,8.15,7.15,5.925,4.625,4.14,3.55,3.6,3.575,3.225,3.275,3.375,3.725
310,98.1,40,25.025,11.06,8.725,8.2,7.2,5.975,4.7,4.18,3.6,3.675,3.65,3.275,3.325,3.45,3.775
311,98.2,40.08,25.05,11.1,8.75,8.25,7.25,6.05,4.775,4.28,3.675,3.775,3.725,3.35,3.375,3.5,3.85
312,98.2,40.1,25.175,11.14,8.85,8.35,7.35,6.125,4.875,4.38,3.775,3.85,3.8,3.425,3.45,3.575,3.925
313,98.3,40.26,25.375,11.26,8.95,8.475,7.5,6.225,5,4.48,3.875,3.95,3.925,3.525,3.55,3.675,4
314,98.3,40.5,25.675,11.36,9.125,8.65,7.65,6.4,5.125,4.66,3.975,4.075,4.05,3.625,3.675,3.8,4.15
315,98.3,40.5,25.65,11.4,9.125,8.725,7.75,6.5,5.25,4.76,4.075,4.2,4.15,3.675,3.75,3.875,4.2
316,98.3,40.36,25.55,11.42,9.15,8.75,7.8,6.525,5.325,4.86,4.175,4.275,4.225,3.75,3.775,3.9,4.3
317,98.4,40.46,25.6,11.54,9.275,8.925,7.9,6.675,5.475,5,4.35,4.425,4.325,3.875,3.9,4,4.4
318,98.4,40.62,25.85,11.66,9.475,9.1,8.125,6.875,5.675,5.18,4.475,4.575,4.5,4.025,4.05,4.175,4.55
319,98.4,40.76,26,11.76,9.625,9.225,8.325,7.025,5.825,5.34,4.625,4.725,4.65,4.125,4.15,4.3,4.7
320,98.2,40.74,26.05,11.82,9.725,9.35,8.45,7.125,6,5.5,4.775,4.85,4.8,4.25,4.275,4.4,4.8
321,98.1,40.86,26.325,12.02,9.925,9.55,8.65,7.35,6.175,5.72,4.975,5.05,4.975,4.4,4.45,4.525,4.975
322,98.1,41.24,26.875,12.26,10.225,9.825,8.925,7.625,6.475,5.98,5.175,5.3,5.2,4.6,4.65,4.8,5.2
323,98.2,41.56,27.15,12.42,10.425,10.05,9.175,7.85,6.7,6.22,5.375,5.55,5.4,4.8,4.8,4.925,5.375
324,98.2,41.56,27.15,12.46,10.45,10.15,9.325,7.95,6.85,6.4,5.5,5.675,5.55,4.9,4.9,5.075,5.475
325,98.2,41.42,27.05,12.46,10.5,10.3,9.425,8.05,7.025,6.5,5.675,5.8,5.7,5,5,5.2,5.6
