wavelength,Tim Quartz Clear,Tim Quartz Dark
190,6.8999999999999995,1.9249999999999998
191,6.674999999999999,1.9
192,6.525,1.875
193,6.425000000000001,1.875
194,6.325,1.8
195,6.325,1.8
196,6.25,1.8
197,6.225,1.8
198,6.1499999999999995,1.8
199,6.1499999999999995,1.8
200,6.175,1.8
201,6.2250000000000005,1.9
202,6.324999999999999,1.9
203,6.45,1.9
204,6.574999999999999,1.9
205,6.8,1.9
206,7.1,1.9
207,7.45,1.9
208,7.95,1.975
209,8.55,2.0
210,9.225,2.0
211,9.95,2.025
212,10.75,2.1
213,11.6,2.1
214,12.424999999999999,2.125
215,12.925,1.9500000000000002
216,13.55,1.825
217,14.325,1.825
218,15.225000000000001,1.825
219,15.975,1.8499999999999999
220,16.75,1.9
221,17.55,1.975
222,18.275000000000002,2.05
223,19.275,2.3499999999999996
224,20.025,2.55
225,20.650000000000002,2.7
226,21.150000000000002,2.9
227,21.625,3.05
228,21.9,3.125
229,22.0,3.175
230,22.1,3.175
231,22.150000000000002,3.2
232,22.150000000000002,3.3
233,22.175,3.4
234,22.2,3.6
235,22.2,3.75
236,22.224999999999998,3.9
237,22.2,4.1
238,22.174999999999997,4.25
239,22.2,4.5
240,22.3,4.7749999999999995
241,22.549999999999997,5.05
242,22.725,5.3500000000000005
243,22.95,5.5
244,23.200000000000003,5.7
245,23.724999999999998,5.9
246,24.424999999999997,6.3500000000000005
247,25.150000000000002,6.7749999999999995
248,25.775,7.0
249,26.300000000000004,7.175000000000001
250,26.825000000000003,7.425000000000001
251,27.574999999999996,7.75
252,28.525,8.174999999999999
253,29.525,8.55
254,30.35,8.899999999999999
255,31.150000000000002,9.15
256,31.95,9.525
257,32.825,9.9
258,33.7,10.275
259,34.724999999999994,10.675
260,35.35,11.025
261,35.825,11.200000000000001
262,36.175,11.25
263,36.5,11.325
264,36.95,11.475
265,37.35,11.65
266,37.8,11.775000000000002
267,38.2,11.975
268,38.5,12.15
269,38.7,12.175
270,38.9,12.200000000000001
271,39.1,12.3
272,39.3,12.375
273,39.425,12.425
274,39.425,12.399999999999999
275,39.4,12.325
276,39.375,12.325
277,39.449999999999996,12.325
278,39.575,12.325
279,39.6,12.325
280,39.6,12.3
281,39.7,12.3
282,39.825,12.3
283,40.0,12.3
284,40.125,12.275000000000002
285,40.15,12.275000000000002
286,40.225,12.275000000000002
287,40.5,12.275000000000002
288,40.724999999999994,12.275000000000002
289,41.0,12.275000000000002
290,41.375,12.325
291,41.7,12.399999999999999
292,42.05,12.5
293,42.2,12.5
294,42.6,12.524999999999999
295,43.025,12.65
296,43.125,12.725000000000001
297,43.35,12.725000000000001
298,43.475,12.750000000000002
299,43.475,12.775
300,43.5,12.8
301,43.525,12.8
302,43.55,12.825000000000001
303,43.699999999999996,12.900000000000002
304,43.9,13.024999999999999
305,43.95,13.1
306,44.199999999999996,13.200000000000001
307,44.349999999999994,13.350000000000001
308,44.65,13.524999999999999
309,44.8,13.700000000000001
310,44.925,13.8
311,44.975,13.899999999999999
312,45.0,14.049999999999999
313,45.050000000000004,14.175
314,45.25,14.399999999999999
315,45.425,14.575
316,45.449999999999996,14.625
317,45.400000000000006,14.65
318,45.400000000000006,14.900000000000002
319,45.49999999999999,15.15
320,45.574999999999996,15.350000000000001
321,45.625,15.5
322,45.875,15.850000000000001
323,46.275000000000006,16.125
324,46.375,16.325
325,46.275000000000006,16.35
326,46.075,16.475
327,46.025,16.65
328,46.050000000000004,16.85
329,46.12499999999999,17.1
330,46.25,17.35
331,46.449999999999996,17.6
332,46.62499999999999,17.825
333,46.64999999999999,17.95
334,46.64999999999999,18.049999999999997
335,46.64999999999999,18.200000000000003
336,46.64999999999999,18.425
337,46.675,18.625
338,46.724999999999994,18.775000000000002
339,46.75,18.925
340,46.8,19.125
341,46.949999999999996,19.35
342,47.15,19.625
343,47.224999999999994,19.799999999999997
344,47.224999999999994,19.85
345,46.925,19.85
346,46.724999999999994,19.85
347,46.724999999999994,19.925
348,46.875,20.200000000000003
349,46.95,20.325
350,46.95,20.5
351,47.074999999999996,20.700000000000003
352,47.125,20.825000000000003
353,47.125,21.0
354,47.125,21.025
355,47.25,21.125
356,47.25,21.15
357,47.175,21.225
358,47.0,21.225
359,47.05,21.3
360,47.05,21.375
361,46.8,21.325000000000003
362,46.325,21.049999999999997
363,46.05,21.0
364,46.025000000000006,21.0
365,45.974999999999994,21.05
366,46.075,21.125
367,46.1,21.125
368,46.1,21.174999999999997
369,46.125,21.200000000000003
370,46.3,21.25
371,46.3,21.325000000000003
372,46.25,21.325
373,46.25,21.35
374,46.325,21.400000000000002
375,46.325,21.400000000000002
376,46.349999999999994,21.45
377,46.099999999999994,21.299999999999997
378,45.925000000000004,21.075000000000003
379,45.575,20.974999999999998
380,45.55,20.974999999999998
381,45.599999999999994,21.025000000000002
382,45.650000000000006,21.075
383,45.650000000000006,21.075
384,45.525,21.075
385,45.525,21.075
386,45.525,21.075
387,45.5,21.025
388,45.4,20.974999999999998
389,45.325,21.0
390,46.49999999999999,21.525
391,47.099999999999994,21.675
392,47.2,21.725
393,47.175,21.725
394,47.224999999999994,21.725
395,47.2,21.675000000000004
396,47.175,21.625
397,47.224999999999994,21.625
398,47.325,21.625
399,47.375,21.625
400,47.525,21.625
401,47.65,21.625
402,47.725,21.625
403,47.875,21.625
404,47.9,21.6
405,47.85,21.499999999999996
406,47.7,21.400000000000002
407,47.7,21.325000000000003
408,47.7,21.325000000000003
409,47.825,21.35
410,47.925000000000004,21.35
411,47.9,21.299999999999997
412,47.925000000000004,21.225
413,48.050000000000004,21.200000000000003
414,48.2,21.200000000000003
415,48.225,21.200000000000003
416,48.275000000000006,21.200000000000003
417,48.400000000000006,21.15
418,48.599999999999994,21.15
419,48.825,21.15
420,48.974999999999994,21.125
421,49.125,21.125
422,49.074999999999996,20.95
423,48.975,20.85
424,49.0,20.85
425,49.0,20.775
426,48.975,20.65
427,48.925,20.55
428,48.925,20.525
429,48.89999999999999,20.475
430,48.949999999999996,20.425
431,48.949999999999996,20.425
432,49.025000000000006,20.400000000000002
433,49.025000000000006,20.375
434,49.075,20.375
435,49.1,20.299999999999997
436,49.125,20.275
437,49.175,20.225
438,49.325,20.174999999999997
439,49.425000000000004,20.200000000000003
440,49.525,20.174999999999997
441,49.7,20.174999999999997
442,49.7,20.125
443,49.650000000000006,20.049999999999997
444,49.574999999999996,19.975
445,49.625,19.95
446,49.675,19.95
447,49.75,19.925
448,49.775000000000006,19.900000000000002
449,49.75,19.85
450,49.724999999999994,19.825
451,49.724999999999994,19.725
452,49.75,19.725
453,49.8,19.725
454,49.825,19.625
455,49.775000000000006,19.55
456,49.775000000000006,19.525
457,49.9,19.525
458,50.025,19.55
459,50.35,19.65
460,50.474999999999994,19.674999999999997
461,50.3,19.525
462,49.85000000000001,19.299999999999997
463,49.724999999999994,19.275
464,49.775000000000006,19.275
465,49.875,19.299999999999997
466,50.0,19.299999999999997
467,50.075,19.299999999999997
468,50.1,19.299999999999997
469,50.074999999999996,19.299999999999997
470,50.025,19.25
471,50.025,19.225
472,50.05,19.200000000000003
473,50.125,19.200000000000003
474,50.2,19.200000000000003
475,50.2,19.174999999999997
476,50.224999999999994,19.174999999999997
477,50.425,19.200000000000003
478,50.425,19.200000000000003
479,50.525,19.200000000000003
480,50.525,19.200000000000003
481,50.775000000000006,19.299999999999997
482,51.325,19.5
483,51.85,19.700000000000003
484,52.175,19.725
485,51.425,19.35
486,50.599999999999994,19.0
487,50.800000000000004,19.075000000000003
488,51.150000000000006,19.15
489,50.975,19.0
490,50.85,18.95
491,51.175,19.1
492,51.325,19.1
493,50.525,18.75
494,50.175,18.6
495,50.2,18.6
496,50.474999999999994,18.700000000000003
497,50.6,18.725
498,50.475,18.700000000000003
499,50.4,18.625
500,50.325,18.6
501,50.3,18.6
502,50.45,18.625
503,50.574999999999996,18.625
504,50.7,18.65
505,50.75,18.675
506,50.875,18.700000000000003
507,51.025,18.725
508,51.2,18.775
509,51.275000000000006,18.799999999999997
510,51.375,18.799999999999997
511,51.45,18.799999999999997
512,51.45,18.799999999999997
513,51.474999999999994,18.75
514,51.375,18.725
515,51.49999999999999,18.75
516,51.625,18.799999999999997
517,51.825,18.85
518,51.85000000000001,18.825000000000003
519,51.55,18.625
520,51.275000000000006,18.55
521,51.275000000000006,18.575
522,51.425,18.625
523,51.72500000000001,18.700000000000003
524,52.050000000000004,18.825000000000003
525,52.35,18.875
526,52.425,18.900000000000002
527,52.675,18.925
528,52.775,18.900000000000002
529,51.574999999999996,18.5
530,50.974999999999994,18.299999999999997
531,51.2,18.424999999999997
532,51.775000000000006,18.625
533,51.775000000000006,18.55
534,51.25,18.375
535,51.375,18.375
536,51.525,18.45
537,51.45,18.425
538,51.5,18.475
539,51.925000000000004,18.725
540,52.45,18.900000000000002
541,52.425000000000004,18.85
542,51.7,18.55
543,51.2,18.45
544,51.074999999999996,18.35
545,51.175,18.4
546,51.425000000000004,18.475
547,51.3,18.475
548,51.099999999999994,18.425
549,51.025,18.425
550,51.275000000000006,18.525000000000002
551,51.550000000000004,18.625
552,51.7,18.675
553,51.675,18.700000000000003
554,51.525,18.625
555,51.525,18.65
556,51.65,18.700000000000003
557,51.699999999999996,18.725
558,51.75,18.775
559,51.9,18.900000000000002
560,53.625,19.25
561,54.675,19.45
562,54.87500000000001,19.5
563,55.074999999999996,19.549999999999997
564,55.125,19.65
565,55.400000000000006,19.775
566,55.3,19.799999999999997
567,55.074999999999996,19.75
568,55.074999999999996,19.75
569,55.175,19.825
570,55.25,19.925
571,55.375,20.025
572,55.400000000000006,20.049999999999997
573,55.25,20.025
574,55.25,20.025
575,55.224999999999994,20.025
576,55.125,20.049999999999997
577,55.0,20.049999999999997
578,54.95,20.049999999999997
579,54.95,20.075000000000003
580,54.974999999999994,20.225
581,54.974999999999994,20.3
582,55.05,20.325
583,55.150000000000006,20.425
584,55.175,20.525
585,55.224999999999994,20.625
586,55.300000000000004,20.65
587,55.375,20.75
588,55.525,20.85
589,55.55,20.9
590,55.6,20.975
591,55.5,21.0
592,55.5,21.049999999999997
593,55.575,21.225
594,55.675,21.400000000000002
595,55.9,21.549999999999997
596,55.9,21.6
597,55.87500000000001,21.625
598,55.599999999999994,21.6
599,55.375,21.575
600,55.425,21.65
601,55.475,21.85
602,55.87500000000001,22.075
603,56.224999999999994,22.35
604,56.275000000000006,22.35
605,56.15,22.35
606,55.825,22.275
607,55.675,22.325
608,55.775000000000006,22.5
609,56.025,22.699999999999996
610,55.99999999999999,22.699999999999996
611,55.724999999999994,22.65
612,55.6,22.65
613,55.574999999999996,22.75
614,55.599999999999994,22.95
615,55.7,23.075
616,55.800000000000004,23.225
617,55.85,23.35
618,55.9,23.45
619,55.925000000000004,23.6
620,55.925000000000004,23.725
621,55.925000000000004,23.8
622,56.05,23.975
623,56.150000000000006,24.15
624,56.325,24.3
625,56.45,24.5
626,56.525,24.625
627,56.525,24.625
628,56.425,24.625
629,56.25,24.700000000000003
630,56.224999999999994,24.85
631,56.224999999999994,25.0
632,56.25,25.200000000000003
633,56.275000000000006,25.35
634,56.425000000000004,25.525
635,56.37500000000001,25.549999999999997
636,56.35,25.625
637,56.325,25.75
638,56.325,25.900000000000002
639,56.35,25.999999999999996
640,56.35,26.15
641,56.4,26.325
642,56.425000000000004,26.474999999999998
643,56.45,26.625
644,56.5,26.775
645,56.55,26.974999999999998
646,56.650000000000006,27.049999999999997
647,56.7,27.175
648,56.724999999999994,27.375
649,56.75,27.575000000000003
650,56.8,27.725
651,56.85,27.95
652,56.85,28.025
653,56.87500000000001,28.174999999999997
654,56.87500000000001,28.25
655,56.87500000000001,28.4
656,56.87500000000001,28.625
657,57.074999999999996,28.9
658,57.25,29.174999999999997
659,57.475,29.4
660,57.5,29.525
661,57.125,29.45
662,56.775000000000006,29.400000000000002
663,56.675,29.45
664,56.675,29.6
665,56.775000000000006,29.799999999999997
666,56.9,30.050000000000004
667,56.975,30.25
668,57.074999999999996,30.45
669,57.2,30.65
670,57.275000000000006,30.825
671,57.224999999999994,30.925
672,57.175,31.0
673,57.175,31.200000000000003
674,57.175,31.375
675,57.2,31.5
676,57.224999999999994,31.750000000000004
677,57.325,31.975
678,57.37500000000001,32.275
679,57.525,32.525000000000006
680,57.650000000000006,32.8
681,57.7,32.825
682,57.55,32.85
683,57.35,32.85
684,57.300000000000004,32.95
685,57.25,33.075
686,57.25,33.275
687,57.275000000000006,33.5
688,57.37500000000001,33.699999999999996
689,57.400000000000006,33.8
690,57.475,34.0
691,57.475,34.25
692,57.475,34.4
693,57.475,34.625
694,57.5,34.75
695,57.6,35.025000000000006
696,57.800000000000004,35.325
697,58.075,35.724999999999994
698,58.4,36.125
699,58.525,36.3
700,58.45,36.25
701,57.825,36.0
702,57.3,35.8
703,57.22500000000001,35.85
704,57.35000000000001,36.050000000000004
705,57.375,36.325
706,57.525,36.575
707,57.65,36.85
708,57.724999999999994,37.075
709,57.775,37.275
710,57.825,37.425
711,57.825,37.575
712,57.825,37.675000000000004
713,57.825,37.825
714,57.825,37.974999999999994
715,57.825,38.224999999999994
716,57.825,38.375
717,57.775,38.425
718,57.675,38.4
719,57.425000000000004,38.35
720,57.300000000000004,38.375
721,57.300000000000004,38.525000000000006
722,57.35,38.65
723,57.37500000000001,38.875
724,57.475,39.025000000000006
725,57.625,39.224999999999994
726,57.85,39.425
727,58.074999999999996,39.675
728,58.375,40.0
729,58.55,40.175
730,58.625,40.45
731,58.75,40.75
732,58.849999999999994,41.05
733,58.949999999999996,41.199999999999996
734,58.925,41.324999999999996
735,58.849999999999994,41.400000000000006
736,58.675,41.4
737,58.525,41.5
738,58.4,41.699999999999996
739,58.425,41.85
740,58.4,42.15
741,58.5,42.375
742,58.55,42.475
743,58.5,42.55
744,58.475,42.7
745,58.475,42.875
746,58.45,43.175
747,58.525,43.325
