Wavelength,PreheatTrans,PostheatTrans,Irrad1Trans,Irrad2Trans,Irrad3Trans,Irrad4Trans,Irrad5Trans,Irrad6Trans,Irrad7Trans,Irrad8Trans,Irrad9Trans,Irrad10Trans,Irrad11Trans,Irrad12Trans,Irrad13Trans,Irrad14Trans,Irrad15Trans
211,3.28,3.3,0.26,0.26,0.2,0.2,0.13,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
212,3.68,3.73,0.26,0.26,0.2,0.2,0.13,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
213,4.15,4.15,0.26,0.26,0.18,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
214,4.65,4.65,0.28,0.28,0.18,0.15,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
215,4.8,4.8,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.08,0.1,0.1
216,5.13,5.15,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
217,5.73,5.73,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0
218,6.35,6.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,7,6.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,7.65,7.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,8.35,8.33,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
222,8.95,8.95,0.06,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0
223,9.85,9.8,0.4,0.4,0.08,0,0,0,0,0,0,0,0,0,0,0,0
224,10.45,10.43,0.66,0.66,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.08,0.1,0.1,0.08,0.03,0.1
225,10.93,10.88,0.86,0.86,0.13,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.08,0.1
226,11.3,11.25,1.06,1.06,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.08,0.1
227,11.55,11.53,1.26,1.26,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.08,0.1
228,11.63,11.6,1.44,1.44,0.25,0.15,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
229,11.55,11.55,1.58,1.58,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
230,11.4,11.35,1.7,1.7,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
