wavelength,blank,S6 Preheat,S6 Post Heat,S6 Irrad 1 1,S6 Irrad 1 2,S6 Irrad 1 3,S6 Irrad 1 4,S6 Irrad 1 5,S6 Irrad 1 6,S6 Irrad 1 7,S6 Irrad 1 8,S6 Irrad 1 9,S6 Irrad 1 10
248,99,11.6,8.55,4.225,3.3,2.7,2.5,2.075,1.825,1.6,1.375,1.275,1.15
249,99.1,11.86666667,8.75,4.4,3.45,2.825,2.625,2.25,1.95,1.7,1.5,1.375,1.225
250,99.1,12.33333333,9.125,4.625,3.7,3.025,2.8,2.4,2.1,1.85,1.65,1.5,1.35
251,99,13.1,9.625,4.9,3.925,3.25,3.05,2.6,2.325,2.075,1.825,1.675,1.525
252,98.8,13.93333333,10.225,5.225,4.225,3.525,3.3,2.85,2.55,2.275,2.025,1.875,1.7
253,98.8,14.7,10.825,5.55,4.425,3.75,3.525,3.05,2.75,2.475,2.225,2.05,1.875
254,98.8,15.4,11.325,5.825,4.7,4,3.75,3.275,2.95,2.675,2.375,2.2,2.025
255,98.8,16.13333333,11.925,6.125,5,4.225,4,3.5,3.15,2.85,2.575,2.375,2.2
256,98.8,17,12.525,6.45,5.225,4.5,4.25,3.75,3.375,3.05,2.775,2.575,2.375
257,98.7,17.9,13.225,6.825,5.525,4.75,4.525,4,3.6,3.275,2.975,2.775,2.575
258,98.6,18.9,13.95,7.225,5.875,5.025,4.8,4.25,3.85,3.525,3.225,3,2.8
259,98.6,19.8,14.675,7.6,6.2,5.3,5.1,4.525,4.1,3.775,3.45,3.2,3
260,98.6,20.56666667,15.25,7.9,6.4,5.525,5.3,4.725,4.275,3.95,3.625,3.375,3.175
261,98.7,20.93333333,15.525,7.975,6.525,5.65,5.425,4.875,4.4,4.05,3.7,3.475,3.275
262,98.8,21,15.675,8.025,6.6,5.725,5.525,4.925,4.5,4.075,3.8,3.575,3.375
263,98.8,21.26666667,15.9,8.175,6.725,5.8,5.625,5.05,4.6,4.175,3.875,3.675,3.45
264,98.7,21.73333333,16.175,8.35,6.875,5.95,5.775,5.15,4.7,4.275,3.975,3.775,3.55
265,98.7,22.26666667,16.575,8.5,7,6.1,5.9,5.3,4.825,4.45,4.125,3.9,3.675
266,98.7,22.76666667,16.975,8.7,7.2,6.225,6.075,5.45,5,4.575,4.25,4.025,3.8
267,98.5,23.16666667,17.325,8.9,7.3,6.35,6.2,5.575,5.1,4.675,4.35,4.125,3.9
268,98.5,23.43333333,17.525,9,7.375,6.4,6.25,5.65,5.15,4.775,4.425,4.175,3.975
269,98.5,23.56666667,17.675,9.025,7.45,6.475,6.3,5.7,5.2,4.825,4.45,4.225,4
270,98.4,23.83333333,17.9,9.125,7.5,6.55,6.4,5.775,5.3,4.875,4.525,4.3,4.075
271,98.2,24.13333333,18.2,9.25,7.6,6.65,6.475,5.85,5.325,4.95,4.6,4.35,4.125
272,98.2,24.33333333,18.325,9.3,7.65,6.65,6.5,5.875,5.375,4.975,4.625,4.375,4.15
273,98.2,24.33333333,18.3,9.25,7.6,6.65,6.475,5.875,5.325,4.95,4.575,4.35,4.125
274,98.2,24.23333333,18.225,9.2,7.6,6.6,6.45,5.825,5.3,4.925,4.55,4.325,4.1
275,98.2,24.23333333,18.25,9.2,7.575,6.6,6.45,5.825,5.3,4.925,4.55,4.325,4.1
276,98.2,24.4,18.4,9.25,7.575,6.625,6.45,5.825,5.3,4.925,4.575,4.325,4.1
277,98.2,24.5,18.525,9.25,7.6,6.65,6.45,5.85,5.3,4.925,4.575,4.325,4.1
278,98.2,24.6,18.55,9.25,7.6,6.625,6.45,5.85,5.3,4.925,4.55,4.3,4.1
279,98.1,24.63333333,18.6,9.25,7.55,6.625,6.45,5.85,5.3,4.9,4.525,4.3,4.1
