S8 Irrad 1,,
S8 Irrad 1 1,"Date : 22/07/2021, 12:14:01",
Wavelength (nm),ABS,%T
712.00,0.368,42.9
713.00,0.368,42.9
714.00,0.367,43
715.00,0.366,43.1
716.00,0.365,43.1
717.00,0.365,43.2
718.00,0.365,43.2
719.00,0.365,43.2
720.00,0.365,43.2
721.00,0.364,43.2
722.00,0.363,43.4
723.00,0.362,43.5
724.00,0.361,43.5
725.00,0.361,43.6
726.00,0.36,43.7
727.00,0.359,43.8
728.00,0.358,43.8
729.00,0.358,43.8
730.00,0.356,44
731.00,0.356,44.1
732.00,0.354,44.3
733.00,0.352,44.5
734.00,0.352,44.5
735.00,0.351,44.6
736.00,0.351,44.6
737.00,0.349,44.7
738.00,0.349,44.8
739.00,0.348,44.9
740.00,0.347,45
741.00,0.346,45.1
742.00,0.346,45.1
743.00,0.344,45.3
744.00,0.343,45.4
745.00,0.341,45.6
746.00,0.34,45.7
747.00,0.34,45.7
748.00,0.338,45.9
749.00,0.337,46
750.00,0.337,46.1
751.00,0.337,46.1
752.00,0.336,46.1
753.00,0.336,46.1
754.00,0.336,46.1
755.00,0.335,46.2
756.00,0.333,46.5
757.00,0.332,46.5
758.00,0.332,46.6
759.00,0.332,46.6
760.00,0.329,46.8
761.00,0.328,47
762.00,0.327,47.1
763.00,0.325,47.3
764.00,0.325,47.3
765.00,0.325,47.3
766.00,0.324,47.4
767.00,0.324,47.5
768.00,0.323,47.5
769.00,0.322,47.6
770.00,0.322,47.6
771.00,0.321,47.7
772.00,0.321,47.8
773.00,0.321,47.8
774.00,0.321,47.8
775.00,0.32,47.8
776.00,0.319,48
777.00,0.317,48.2
778.00,0.317,48.2
779.00,0.316,48.3
780.00,0.315,48.4
781.00,0.315,48.4
782.00,0.314,48.5
783.00,0.313,48.6
784.00,0.313,48.7
785.00,0.312,48.7
786.00,0.311,48.9
787.00,0.308,49.2
788.00,0.307,49.3
789.00,0.306,49.4
790.00,0.306,49.5
791.00,0.304,49.6
792.00,0.304,49.7
793.00,0.303,49.7
794.00,0.303,49.7
795.00,0.304,49.7
796.00,0.304,49.7
797.00,0.303,49.7
798.00,0.303,49.7
799.00,0.303,49.8
800.00,0.302,49.9
801.00,0.3,50.1
802.00,0.299,50.2
803.00,0.298,50.3
804.00,0.297,50.5
805.00,0.296,50.6
806.00,0.294,50.8
807.00,0.293,51
808.00,0.292,51.1
809.00,0.29,51.2
810.00,0.29,51.3
811.00,0.289,51.3
812.00,0.287,51.6
813.00,0.287,51.6
814.00,0.287,51.6
815.00,0.287,51.7
816.00,0.287,51.7
817.00,0.285,51.8
818.00,0.284,52.1
819.00,0.283,52.1
820.00,0.281,52.4
821.00,0.28,52.5
822.00,0.276,53
823.00,0.273,53.4
824.00,0.274,53.2
825.00,0.276,53
826.00,0.276,53
827.00,0.276,52.9
828.00,0.276,52.9
829.00,0.278,52.8
830.00,0.278,52.7
831.00,0.278,52.8
832.00,0.278,52.8
833.00,0.275,53
834.00,0.274,53.3
835.00,0.272,53.5
836.00,0.273,53.3
837.00,0.274,53.3
838.00,0.273,53.3
839.00,0.273,53.4
840.00,0.272,53.5
841.00,0.272,53.5
842.00,0.272,53.4
843.00,0.273,53.4
844.00,0.272,53.5
845.00,0.272,53.5
846.00,0.271,53.5
847.00,0.27,53.7
848.00,0.27,53.7
849.00,0.27,53.7
850.00,0.27,53.7
851.00,0.268,54
852.00,0.268,54
853.00,0.268,54
854.00,0.268,54
855.00,0.268,54
856.00,0.267,54.1
857.00,0.266,54.2
858.00,0.265,54.3
859.00,0.265,54.3
860.00,0.265,54.3
861.00,0.263,54.5
862.00,0.263,54.5
863.00,0.265,54.3
864.00,0.264,54.5
865.00,0.264,54.5
866.00,0.263,54.5
867.00,0.263,54.5
868.00,0.262,54.7
869.00,0.262,54.7
870.00,0.261,54.8
871.00,0.261,54.8
872.00,0.259,55
873.00,0.259,55.1
874.00,0.259,55.1
875.00,0.259,55.1
876.00,0.259,55.1
877.00,0.257,55.3
878.00,0.257,55.3
879.00,0.255,55.6
880.00,0.254,55.7
881.00,0.252,56
882.00,0.246,56.7
883.00,0.243,57.1
884.00,0.246,56.8
885.00,0.247,56.7
886.00,0.246,56.7
887.00,0.247,56.6
888.00,0.247,56.6
889.00,0.247,56.6
890.00,0.247,56.6
891.00,0.247,56.6
892.00,0.248,56.5
893.00,0.248,56.5
894.00,0.248,56.5
895.00,0.247,56.7
896.00,0.247,56.7
897.00,0.247,56.6
898.00,0.247,56.6
899.00,0.247,56.7
900.00,0.245,56.8
901.00,0.245,56.9
902.00,0.245,56.9
903.00,0.245,56.9
904.00,0.244,57
905.00,0.244,57
906.00,0.244,57
907.00,0.244,57
908.00,0.244,57
909.00,0.243,57.1
910.00,0.242,57.2
911.00,0.241,57.4
912.00,0.241,57.4
913.00,0.241,57.4
914.00,0.241,57.4
915.00,0.241,57.4
916.00,0.24,57.5
917.00,0.239,57.6
918.00,0.239,57.6
919.00,0.239,57.6
920.00,0.239,57.7
921.00,0.239,57.6
922.00,0.238,57.9
923.00,0.237,57.9
924.00,0.237,57.9
925.00,0.237,57.9
926.00,0.237,57.9
927.00,0.238,57.8
928.00,0.238,57.8
929.00,0.237,57.9
930.00,0.237,57.9
931.00,0.239,57.7
932.00,0.239,57.7
933.00,0.238,57.8
934.00,0.238,57.8
935.00,0.238,57.7
936.00,0.238,57.8
937.00,0.238,57.8
938.00,0.238,57.9
939.00,0.237,58
940.00,0.237,58
941.00,0.236,58.1
942.00,0.236,58.1
943.00,0.236,58.1
944.00,0.235,58.2
945.00,0.235,58.3
946.00,0.233,58.4
947.00,0.233,58.4
948.00,0.233,58.5
949.00,0.233,58.4
950.00,0.241,57.5
951.00,0.251,56.1
952.00,0.255,55.6
953.00,0.255,55.6
954.00,0.256,55.5
955.00,0.258,55.2
956.00,0.259,55.1
957.00,0.261,54.9
958.00,0.264,54.4
959.00,0.267,54.1
960.00,0.268,53.9
961.00,0.27,53.8
962.00,0.27,53.7
963.00,0.271,53.5
964.00,0.273,53.4
965.00,0.273,53.3
966.00,0.274,53.2
967.00,0.276,53
968.00,0.279,52.6
969.00,0.282,52.3
970.00,0.283,52.1
971.00,0.285,51.9
972.00,0.285,51.9
973.00,0.285,51.9
974.00,0.281,52.3
975.00,0.281,52.4
976.00,0.279,52.6
977.00,0.278,52.8
978.00,0.277,52.8
979.00,0.277,52.9
980.00,0.274,53.2
981.00,0.269,53.9
982.00,0.261,54.8
983.00,0.253,55.9
984.00,0.248,56.4
985.00,0.249,56.3
986.00,0.255,55.6
987.00,0.262,54.7
988.00,0.268,53.9
989.00,0.272,53.4
990.00,0.273,53.4
991.00,0.273,53.3
992.00,0.271,53.6
993.00,0.271,53.6
994.00,0.258,55.2
995.00,0.256,55.5
996.00,0.249,56.3
997.00,0.246,56.8
998.00,0.245,56.9
999.00,0.245,56.9
"1,000.00",0.246,56.8
"1,001.00",0.252,56
"1,002.00",0.254,55.7
"1,003.00",0.257,55.3
"1,004.00",0.258,55.2
"1,005.00",0.258,55.2
"1,006.00",0.258,55.2
"1,007.00",0.259,55.1
"1,008.00",0.259,55.1
"1,009.00",0.259,55.1
"1,010.00",0.259,55.1
"1,011.00",0.259,55.1
"1,012.00",0.257,55.3
"1,013.00",0.257,55.4
"1,014.00",0.252,55.9
"1,015.00",0.252,55.9
"1,016.00",0.251,56.1
"1,017.00",0.251,56.1
"1,018.00",0.253,55.9
"1,019.00",0.254,55.7
"1,020.00",0.26,54.9
"1,021.00",0.262,54.7
"1,022.00",0.263,54.6
"1,023.00",0.266,54.2
"1,024.00",0.267,54.1
"1,025.00",0.268,54
"1,026.00",0.27,53.7
"1,027.00",0.273,53.4
"1,028.00",0.273,53.4
"1,029.00",0.273,53.3
"1,030.00",0.273,53.3
"1,031.00",0.275,53.1
"1,032.00",0.277,52.9
"1,033.00",0.277,52.8
"1,034.00",0.278,52.7
"1,035.00",0.278,52.7
"1,036.00",0.278,52.7
"1,037.00",0.279,52.6
"1,038.00",0.28,52.5
"1,039.00",0.283,52.2
"1,040.00",0.283,52.1
"1,041.00",0.286,51.7
"1,042.00",0.29,51.3
"1,043.00",0.29,51.2
"1,044.00",0.291,51.2
"1,045.00",0.293,51
"1,046.00",0.293,50.9
"1,047.00",0.293,50.9
"1,048.00",0.293,50.9
"1,049.00",0.294,50.8
"1,050.00",0.295,50.7
"1,051.00",0.295,50.7
"1,052.00",0.293,51
"1,053.00",0.293,50.9
"1,054.00",0.296,50.6
"1,055.00",0.296,50.6
"1,056.00",0.296,50.6
"1,057.00",0.298,50.3
"1,058.00",0.303,49.8
"1,059.00",0.314,48.5
"1,060.00",0.318,48.1
"1,061.00",0.322,47.6
"1,062.00",0.322,47.6
"1,063.00",0.322,47.6
"1,064.00",0.323,47.5
"1,065.00",0.323,47.5
"1,066.00",0.324,47.4
"1,067.00",0.327,47.1
"1,068.00",0.33,46.7
"1,069.00",0.337,46
"1,070.00",0.338,45.9
"1,071.00",0.338,45.9
"1,072.00",0.338,46
"1,073.00",0.334,46.4
"1,074.00",0.334,46.4
"1,075.00",0.334,46.3
"1,076.00",0.337,46
"1,077.00",0.339,45.8
"1,078.00",0.339,45.8
"1,079.00",0.34,45.7
"1,080.00",0.34,45.7
"1,081.00",0.339,45.8
"1,082.00",0.34,45.7
"1,083.00",0.34,45.7
"1,084.00",0.341,45.6
"1,085.00",0.343,45.4
"1,086.00",0.342,45.5
"1,087.00",0.342,45.5
"1,088.00",0.342,45.5
"1,089.00",0.344,45.3
"1,090.00",0.345,45.1
"1,091.00",0.352,44.4
"1,092.00",0.351,44.5
"1,093.00",0.353,44.4
"1,094.00",0.351,44.6
"1,095.00",0.35,44.6
"1,096.00",0.349,44.8
"1,097.00",0.348,44.9
"1,098.00",0.35,44.6
"1,099.00",0.35,44.7
"1,100.00",0.2,63.2
,,
,,
S8 Irrad 2,,
S8 Irrad 2 2,"Date : 22/07/2021, 12:26:50",
Wavelength (nm),ABS,%T
190.00,2.202,0.6
191.00,2.243,0.6
192.00,2.303,0.5
193.00,2.391,0.4
194.00,2.414,0.4
195.00,2.465,0.3
196.00,2.523,0.3
197.00,2.535,0.3
198.00,2.566,0.3
199.00,2.605,0.2
200.00,2.64,0.2
201.00,2.651,0.2
202.00,2.676,0.2
203.00,2.71,0.2
204.00,2.718,0.2
205.00,2.748,0.2
206.00,2.77,0.2
207.00,2.771,0.2
208.00,2.772,0.2
209.00,2.773,0.2
210.00,2.775,0.2
211.00,2.794,0.2
212.00,2.796,0.2
213.00,2.839,0.1
214.00,2.837,0.1
215.00,3,0.1
216.00,3,0
217.00,3,0
218.00,3,0
219.00,3,0
220.00,3,0
221.00,3,0
222.00,3,0
223.00,3,0.1
224.00,2.773,0.2
225.00,2.635,0.2
226.00,2.535,0.3
227.00,2.444,0.4
228.00,2.366,0.4
229.00,2.304,0.5
230.00,2.247,0.6
231.00,2.191,0.6
232.00,2.122,0.8
233.00,2.055,0.9
234.00,1.996,1
235.00,1.938,1.2
236.00,1.888,1.3
237.00,1.843,1.4
238.00,1.802,1.6
239.00,1.759,1.7
240.00,1.718,1.9
241.00,1.677,2.1
242.00,1.642,2.3
243.00,1.614,2.4
244.00,1.589,2.6
245.00,1.558,2.8
246.00,1.516,3.1
247.00,1.481,3.3
248.00,1.457,3.5
249.00,1.436,3.7
250.00,1.41,3.9
251.00,1.381,4.2
252.00,1.35,4.5
253.00,1.322,4.8
254.00,1.299,5
255.00,1.274,5.3
256.00,1.249,5.6
257.00,1.225,6
258.00,1.201,6.3
259.00,1.178,6.6
260.00,1.158,6.9
261.00,1.147,7.1
262.00,1.144,7.2
263.00,1.137,7.3
264.00,1.125,7.5
265.00,1.115,7.7
266.00,1.105,7.8
267.00,1.098,8
268.00,1.092,8.1
269,1.089,8.1
270,1.085,8.2
271,1.08,8.3
272,1.077,8.4
273,1.079,8.3
274,1.082,8.3
275,1.081,8.3
276,1.08,8.3
277,1.079,8.3
278,1.079,8.3
279,1.08,8.3
280,1.08,8.3
281,1.079,8.3
282,1.08,8.3
283,1.081,8.3
284,1.083,8.3
285,1.083,8.3
286,1.083,8.3
287,1.085,8.2
288,1.087,8.2
289,1.087,8.2
290,1.088,8.2
291,1.088,8.2
292,1.092,8.1
293,1.092,8.1
294,1.092,8.1
295,1.092,8.1
296,1.093,8.1
297,1.093,8.1
298,1.093,8.1
299,1.093,8.1
300,1.093,8.1
301,1.093,8.1
302,1.091,8.1
303,1.09,8.1
304,1.089,8.1
305,1.084,8.2
306,1.079,8.3
307,1.074,8.4
308,1.067,8.6
309,1.064,8.6
310,1.063,8.7
311,1.059,8.7
312,1.055,8.8
313,1.05,8.9
314,1.042,9.1
315,1.041,9.1
316,1.04,9.1
317,1.034,9.2
318,1.025,9.4
319,1.018,9.6
320,1.014,9.7
321,1.006,9.9
322,0.993,10.2
323,0.985,10.4
324,0.982,10.4
325,0.982,10.4
326,0.978,10.5
327,0.97,10.7
328,0.961,10.9
329,0.952,11.2
330,0.943,11.4
331,0.933,11.7
332,0.926,11.9
333,0.921,12
334,0.917,12.1
335,0.909,12.3
336,0.901,12.5
337,0.894,12.8
338,0.888,12.9
339,0.881,13.2
340,0.872,13.4
341,0.863,13.7
342,0.854,14
343,0.848,14.2
344,0.847,14.2
345,0.846,14.3
346,0.842,14.4
347,0.832,14.7
348,0.822,15.1
349,0.816,15.3
350,0.808,15.5
351,0.799,15.9
352,0.792,16.1
353,0.787,16.3
354,0.786,16.4
355,0.782,16.5
356,0.777,16.7
357,0.777,16.7
358,0.772,16.9
359,0.762,17.3
360,0.759,17.4
361,0.759,17.4
362,0.759,17.4
363,0.756,17.5
364,0.75,17.8
365,0.745,18
366,0.74,18.2
367,0.734,18.5
368,0.729,18.7
369,0.723,18.9
370,0.719,19.1
371,0.716,19.2
372,0.711,19.5
373,0.704,19.8
374,0.698,20
375,0.698,20.1
376,0.698,20.1
377,0.699,20
378,0.699,20
379,0.695,20.2
380,0.693,20.3
381,0.686,20.6
382,0.681,20.8
383,0.681,20.8
384,0.679,20.9
385,0.676,21.1
386,0.676,21.1
387,0.673,21.2
388,0.67,21.4
389,0.665,21.6
390,0.652,22.3
391,0.646,22.6
392,0.64,22.9
393,0.638,23
394,0.636,23.1
395,0.633,23.3
396,0.631,23.4
397,0.629,23.5
398,0.624,23.8
399,0.622,23.9
400,0.618,24.1
401,0.616,24.2
402,0.613,24.4
403,0.61,24.5
404,0.608,24.7
405,0.607,24.7
406,0.606,24.8
407,0.604,24.9
408,0.601,25.1
409,0.6,25.1
410,0.598,25.2
411,0.597,25.3
412,0.595,25.4
413,0.593,25.5
414,0.588,25.8
415,0.587,25.9
416,0.585,26
417,0.583,26.1
418,0.579,26.3
419,0.577,26.5
420,0.575,26.6
421,0.574,26.7
422,0.573,26.7
423,0.571,26.8
424,0.57,26.9
425,0.569,27
426,0.568,27.1
427,0.568,27.1
428,0.565,27.2
429,0.564,27.3
430,0.562,27.4
431,0.561,27.5
432,0.561,27.5
433,0.559,27.6
434,0.559,27.6
435,0.555,27.9
436,0.554,27.9
437,0.552,28
438,0.551,28.1
439,0.55,28.2
440,0.547,28.4
441,0.546,28.5
442,0.545,28.5
443,0.543,28.6
444,0.541,28.7
445,0.539,28.9
446,0.537,29
447,0.536,29.1
448,0.536,29.1
449,0.535,29.2
450,0.534,29.2
451,0.532,29.3
452,0.53,29.5
453,0.53,29.5
454,0.529,29.6
455,0.528,29.7
456,0.526,29.8
457,0.523,30
458,0.521,30.1
459,0.519,30.3
460,0.518,30.4
461,0.518,30.4
462,0.518,30.4
463,0.516,30.5
464,0.515,30.5
465,0.513,30.7
466,0.512,30.8
467,0.511,30.8
468,0.51,30.9
469,0.509,31
470,0.508,31
471,0.505,31.2
472,0.504,31.4
473,0.502,31.5
474,0.501,31.6
475,0.499,31.7
476,0.499,31.7
477,0.497,31.8
478,0.495,32
479,0.493,32.1
480,0.491,32.3
481,0.486,32.7
482,0.481,33
483,0.479,33.2
484,0.48,33.1
485,0.481,33
486,0.481,33
487,0.479,33.2
488,0.479,33.2
489,0.479,33.2
490,0.476,33.4
491,0.474,33.5
492,0.475,33.5
493,0.476,33.4
494,0.473,33.6
495,0.471,33.8
496,0.469,33.9
497,0.468,34
498,0.468,34
499,0.468,34
500,0.466,34.2
501,0.465,34.3
502,0.462,34.5
503,0.461,34.6
504,0.46,34.7
505,0.459,34.8
506,0.456,35
507,0.455,35.1
508,0.453,35.2
509,0.453,35.3
510,0.451,35.4
511,0.451,35.4
512,0.449,35.5
513,0.449,35.5
514,0.449,35.6
515,0.446,35.8
516,0.444,36
517,0.443,36.1
518,0.443,36.1
519,0.443,36
520,0.443,36.1
521,0.442,36.1
522,0.439,36.4
523,0.437,36.5
524,0.435,36.7
525,0.433,36.9
526,0.43,37.1
527,0.43,37.1
528,0.433,36.9
529,0.436,36.6
530,0.434,36.8
531,0.432,37
532,0.431,37
533,0.432,37
534,0.432,37
535,0.43,37.2
536,0.429,37.3
537,0.428,37.3
538,0.425,37.6
539,0.42,38
540,0.42,38
541,0.422,37.9
542,0.424,37.7
543,0.425,37.6
544,0.424,37.7
545,0.423,37.8
546,0.423,37.8
547,0.423,37.8
548,0.423,37.8
549,0.421,37.9
550,0.419,38.1
551,0.417,38.3
552,0.417,38.3
553,0.417,38.3
554,0.417,38.3
555,0.417,38.3
556,0.416,38.4
557,0.414,38.5
558,0.413,38.6
559,0.413,38.7
560,0.407,39.2
561,0.404,39.4
562,0.402,39.6
563,0.401,39.8
564,0.399,39.9
565,0.399,39.9
566,0.4,39.9
567,0.4,39.8
568,0.4,39.9
569,0.399,39.9
570,0.398,40
571,0.398,40
572,0.399,39.9
573,0.399,39.9
574,0.399,39.9
575,0.399,39.9
576,0.4,39.8
577,0.401,39.8
578,0.401,39.7
579,0.4,39.8
580,0.4,39.8
581,0.399,39.9
582,0.399,39.9
583,0.398,40
584,0.398,40
585,0.398,40
586,0.397,40
587,0.397,40.1
588,0.397,40.1
589,0.396,40.2
590,0.396,40.2
591,0.396,40.1
592,0.396,40.1
593,0.396,40.2
594,0.395,40.3
595,0.395,40.3
596,0.395,40.3
597,0.396,40.2
598,0.399,39.9
599,0.399,39.9
600,0.398,40
601,0.396,40.2
602,0.394,40.3
603,0.393,40.4
604,0.394,40.4
605,0.395,40.3
606,0.396,40.2
607,0.397,40.1
608,0.396,40.1
609,0.396,40.2
610,0.396,40.2
611,0.397,40.1
612,0.397,40.1
613,0.397,40.1
614,0.397,40.1
615,0.397,40.1
616,0.397,40.1
617,0.397,40.1
618,0.397,40.1
619,0.396,40.2
620,0.396,40.2
621,0.396,40.2
622,0.396,40.2
623,0.396,40.2
624,0.395,40.3
625,0.395,40.3
626,0.395,40.3
627,0.395,40.2
628,0.397,40.1
629,0.397,40
630,0.397,40.1
631,0.397,40.1
632,0.397,40.1
633,0.397,40.1
634,0.397,40.1
635,0.397,40.1
636,0.397,40.1
637,0.397,40.1
638,0.397,40.1
639,0.397,40.1
640,0.397,40.1
641,0.397,40.1
642,0.397,40.1
643,0.396,40.2
644,0.396,40.2
645,0.396,40.2
646,0.395,40.2
647,0.395,40.2
648,0.395,40.3
649,0.395,40.3
650,0.395,40.3
651,0.394,40.4
652,0.394,40.4
653,0.394,40.4
654,0.394,40.4
655,0.394,40.4
656,0.393,40.4
657,0.392,40.5
658,0.391,40.6
659,0.391,40.6
660,0.391,40.6
661,0.392,40.6
662,0.393,40.5
663,0.393,40.5
664,0.392,40.5
665,0.392,40.5
666,0.392,40.6
667,0.392,40.6
668,0.39,40.7
669,0.39,40.8
670,0.39,40.8
671,0.389,40.8
672,0.388,40.9
673,0.388,40.9
674,0.388,40.9
675,0.387,41
676,0.387,41
677,0.386,41.1
678,0.385,41.2
679,0.384,41.3
680,0.384,41.3
681,0.384,41.3
682,0.384,41.3
683,0.384,41.3
684,0.384,41.3
685,0.383,41.4
686,0.382,41.5
687,0.381,41.5
688,0.381,41.6
689,0.38,41.6
690,0.38,41.7
691,0.379,41.8
692,0.378,41.9
693,0.377,42
694,0.376,42.1
695,0.375,42.2
696,0.373,42.4
697,0.371,42.5
698,0.37,42.7
699,0.37,42.7
700,0.37,42.7
701,0.372,42.5
702,0.372,42.5
703,0.371,42.5
704,0.37,42.7
705,0.37,42.7
706,0.368,42.9
707,0.366,43
708,0.366,43.1
709,0.366,43.1
710,0.365,43.1
711,0.365,43.1
712,0.365,43.2
713,0.364,43.3
714,0.362,43.4
715,0.361,43.5
716,0.361,43.6
717,0.361,43.6
718,0.361,43.6
719,0.361,43.6
720,0.36,43.7
721,0.359,43.7
722,0.359,43.8
723,0.358,43.9
724,0.355,44.1
725,0.355,44.2
726,0.354,44.2
727,0.354,44.3
728,0.353,44.4
729,0.352,44.4
730,0.351,44.6
731,0.351,44.6
732,0.35,44.7
733,0.349,44.8
734,0.348,44.9
735,0.347,44.9
736,0.346,45.1
737,0.345,45.2
738,0.343,45.4
739,0.343,45.4
740,0.342,45.5
741,0.342,45.5
742,0.342,45.5
743,0.341,45.6
744,0.341,45.6
745,0.339,45.8
746,0.338,46
747,0.336,46.1
748,0.335,46.2
749,0.335,46.3
750,0.334,46.3
751,0.334,46.4
752,0.333,46.5
753,0.332,46.6
754,0.331,46.7
755,0.33,46.7
756,0.33,46.8
757,0.329,46.9
758,0.329,46.9
759,0.329,46.9
760,0.329,46.9
761,0.329,46.9
762,0.328,47
763,0.325,47.3
764,0.324,47.4
765,0.323,47.5
766,0.323,47.5
767,0.323,47.5
768,0.323,47.5
769,0.323,47.5
770,0.323,47.6
771,0.321,47.7
772,0.321,47.8
773,0.319,48
774,0.319,48
775,0.319,48
776,0.318,48.1
777,0.314,48.5
778,0.314,48.5
779,0.314,48.5
780,0.314,48.5
781,0.314,48.5
782,0.314,48.5
783,0.313,48.6
784,0.314,48.6
785,0.314,48.6
786,0.313,48.7
787,0.311,48.8
788,0.31,49
789,0.309,49.1
790,0.306,49.4
791,0.306,49.4
792,0.306,49.4
793,0.305,49.5
794,0.305,49.6
795,0.304,49.6
796,0.304,49.7
797,0.304,49.7
798,0.303,49.8
799,0.302,49.9
800,0.301,50
801,0.3,50.1
802,0.298,50.4
803,0.296,50.6
804,0.294,50.8
805,0.294,50.8
806,0.292,51
807,0.292,51.1
808,0.291,51.2
809,0.29,51.2
810,0.29,51.2
811,0.29,51.2
812,0.289,51.4
813,0.289,51.4
814,0.289,51.4
815,0.288,51.5
816,0.288,51.5
817,0.287,51.6
818,0.286,51.8
819,0.285,51.8
820,0.284,52
821,0.281,52.4
822,0.276,53
823,0.272,53.4
824,0.269,53.9
825,0.27,53.7
826,0.273,53.4
827,0.273,53.3
828,0.275,53.1
829,0.275,53.1
830,0.276,52.9
831,0.276,52.9
832,0.277,52.8
833,0.277,52.9
834,0.275,53.1
835,0.273,53.3
836,0.273,53.3
837,0.273,53.3
838,0.275,53.1
839,0.274,53.2
840,0.274,53.2
841,0.274,53.2
842,0.274,53.2
843,0.274,53.2
844,0.274,53.2
845,0.274,53.2
846,0.274,53.2
847,0.272,53.5
848,0.274,53.2
849,0.274,53.3
850,0.274,53.3
851,0.273,53.3
852,0.273,53.3
853,0.273,53.4
854,0.273,53.4
855,0.271,53.6
856,0.271,53.6
857,0.271,53.6
858,0.271,53.6
859,0.27,53.7
860,0.27,53.6
861,0.27,53.7
862,0.268,53.9
863,0.267,54.1
864,0.266,54.2
865,0.266,54.2
866,0.265,54.3
867,0.265,54.3
868,0.261,54.8
869,0.262,54.8
870,0.262,54.7
871,0.261,54.8
872,0.261,54.9
873,0.261,54.9
874,0.261,54.9
875,0.26,55
876,0.259,55.1
877,0.258,55.2
878,0.258,55.1
879,0.256,55.4
880,0.256,55.5
881,0.252,55.9
882,0.249,56.4
883,0.248,56.4
884,0.248,56.4
885,0.248,56.5
886,0.247,56.6
887,0.247,56.6
888,0.248,56.5
889,0.248,56.5
890,0.248,56.5
891,0.248,56.5
892,0.249,56.4
893,0.249,56.4
894,0.249,56.4
895,0.248,56.5
896,0.248,56.5
897,0.248,56.5
898,0.248,56.5
899,0.248,56.5
900,0.247,56.6
901,0.248,56.5
902,0.247,56.7
903,0.247,56.7
904,0.246,56.7
905,0.245,56.9
906,0.245,56.9
907,0.242,57.3
908,0.242,57.3
909,0.242,57.3
910,0.243,57.2
911,0.243,57.2
912,0.243,57.1
913,0.244,57
914,0.244,57
915,0.244,57
916,0.243,57.2
917,0.243,57.2
918,0.24,57.5
919,0.24,57.6
920,0.24,57.6
921,0.24,57.6
922,0.24,57.6
923,0.24,57.6
924,0.24,57.6
925,0.24,57.6
926,0.24,57.5
927,0.242,57.3
928,0.241,57.3
929,0.241,57.4
930,0.241,57.4
931,0.242,57.3
932,0.242,57.3
933,0.242,57.3
934,0.242,57.3
935,0.241,57.4
936,0.241,57.4
937,0.241,57.4
938,0.241,57.5
939,0.24,57.5
940,0.24,57.5
941,0.24,57.5
942,0.239,57.6
943,0.239,57.7
944,0.239,57.7
945,0.237,57.9
946,0.236,58.1
947,0.235,58.2
948,0.235,58.2
949,0.235,58.2
950,0.242,57.2
951,0.253,55.9
952,0.256,55.4
953,0.256,55.4
954,0.257,55.3
955,0.258,55.2
956,0.262,54.7
957,0.264,54.5
958,0.266,54.2
959,0.27,53.8
960,0.271,53.6
961,0.271,53.5
962,0.272,53.4
963,0.272,53.4
964,0.273,53.4
965,0.274,53.2
966,0.276,53
967,0.278,52.8
968,0.28,52.5
969,0.282,52.3
970,0.286,51.7
971,0.288,51.5
972,0.288,51.5
973,0.287,51.6
974,0.284,52
975,0.284,52
976,0.282,52.2
977,0.282,52.3
978,0.282,52.3
979,0.279,52.6
980,0.274,53.2
981,0.266,54.2
982,0.252,56
983,0.24,57.6
984,0.24,57.6
985,0.243,57.2
986,0.259,55.1
987,0.27,53.8
988,0.273,53.3
989,0.276,53
990,0.275,53
991,0.274,53.2
992,0.273,53.3
993,0.271,53.6
994,0.265,54.3
995,0.246,56.8
996,0.239,57.7
997,0.238,57.9
998,0.239,57.7
999,0.241,57.4
"1,000.00",0.245,56.9
"1,001.00",0.253,55.8
"1,002.00",0.257,55.3
"1,003.00",0.26,54.9
"1,004.00",0.261,54.8
"1,005.00",0.261,54.8
"1,006.00",0.261,54.8
"1,007.00",0.261,54.8
"1,008.00",0.262,54.7
"1,009.00",0.262,54.7
"1,010.00",0.263,54.6
"1,011.00",0.263,54.6
"1,012.00",0.263,54.6
"1,013.00",0.261,54.8
"1,014.00",0.258,55.2
"1,015.00",0.258,55.2
"1,016.00",0.252,55.9
"1,017.00",0.252,56
"1,018.00",0.254,55.8
"1,019.00",0.256,55.5
"1,020.00",0.26,54.9
"1,021.00",0.262,54.8
"1,022.00",0.265,54.4
"1,023.00",0.267,54.1
"1,024.00",0.269,53.8
"1,025.00",0.271,53.5
"1,026.00",0.274,53.2
"1,027.00",0.274,53.2
"1,028.00",0.276,53
"1,029.00",0.278,52.7
"1,030.00",0.279,52.6
"1,031.00",0.279,52.6
"1,032.00",0.279,52.6
"1,033.00",0.281,52.4
"1,034.00",0.283,52.1
"1,035.00",0.282,52.3
"1,036.00",0.282,52.3
"1,037.00",0.283,52.1
"1,038.00",0.284,52
"1,039.00",0.285,51.9
"1,040.00",0.29,51.3
"1,041.00",0.292,51.1
"1,042.00",0.294,50.8
"1,043.00",0.294,50.8
"1,044.00",0.294,50.8
"1,045.00",0.294,50.8
"1,046.00",0.297,50.4
"1,047.00",0.297,50.4
"1,048.00",0.297,50.4
"1,049.00",0.3,50.2
"1,050.00",0.299,50.3
"1,051.00",0.299,50.3
"1,052.00",0.299,50.3
"1,053.00",0.299,50.2
"1,054.00",0.299,50.3
"1,055.00",0.299,50.2
"1,056.00",0.3,50.1
"1,057.00",0.303,49.8
