S8 Irrad 1,,
S8 Irrad 1 1,"Date : 22/07/2021, 12:14:01",
Wavelength (nm),ABS,%T
423.00,0.579,26.4
424.00,0.577,26.5
425.00,0.577,26.5
426.00,0.575,26.6
427.00,0.574,26.7
428.00,0.571,26.8
429.00,0.57,26.9
430.00,0.57,26.9
431.00,0.568,27.1
432.00,0.565,27.2
433.00,0.564,27.3
434.00,0.563,27.4
435.00,0.562,27.4
436.00,0.559,27.6
437.00,0.557,27.7
438.00,0.555,27.8
439.00,0.554,27.9
440.00,0.552,28
441.00,0.551,28.1
442.00,0.549,28.3
443.00,0.547,28.4
444.00,0.545,28.5
445.00,0.543,28.6
446.00,0.541,28.8
447.00,0.54,28.8
448.00,0.539,28.9
449.00,0.538,29
450.00,0.536,29.1
451.00,0.536,29.1
452.00,0.534,29.2
453.00,0.532,29.4
454.00,0.531,29.5
455.00,0.53,29.5
456.00,0.528,29.6
457.00,0.526,29.8
458.00,0.523,30
459.00,0.521,30.1
460.00,0.52,30.2
461.00,0.52,30.2
462.00,0.518,30.3
463.00,0.517,30.4
464.00,0.515,30.5
465.00,0.514,30.6
466.00,0.513,30.7
467.00,0.511,30.8
468.00,0.511,30.9
469.00,0.509,31
470.00,0.508,31
471.00,0.507,31.1
472.00,0.504,31.4
473.00,0.501,31.5
474.00,0.501,31.6
475.00,0.499,31.7
476.00,0.496,31.9
477.00,0.494,32.1
478.00,0.493,32.1
479.00,0.491,32.3
480.00,0.488,32.5
481.00,0.485,32.7
482.00,0.481,33.1
483.00,0.478,33.2
484.00,0.481,33.1
485.00,0.482,33
486.00,0.481,33
487.00,0.479,33.2
488.00,0.479,33.2
489.00,0.478,33.2
490.00,0.475,33.5
491.00,0.473,33.6
492.00,0.473,33.7
493.00,0.473,33.7
494.00,0.47,33.9
495.00,0.466,34.2
496.00,0.464,34.4
497.00,0.464,34.4
498.00,0.464,34.4
499.00,0.461,34.6
500.00,0.459,34.7
501.00,0.459,34.8
502.00,0.456,35
503.00,0.455,35.1
504.00,0.455,35.1
505.00,0.454,35.2
506.00,0.451,35.4
507.00,0.45,35.5
508.00,0.448,35.6
509.00,0.447,35.8
510.00,0.446,35.8
511.00,0.446,35.8
512.00,0.445,35.9
513.00,0.445,35.9
514.00,0.443,36
515.00,0.44,36.3
516.00,0.438,36.4
517.00,0.438,36.4
518.00,0.438,36.4
519.00,0.439,36.4
520.00,0.439,36.4
521.00,0.437,36.6
522.00,0.434,36.8
523.00,0.432,37
524.00,0.429,37.2
525.00,0.428,37.4
526.00,0.425,37.6
527.00,0.425,37.6
528.00,0.428,37.3
529.00,0.43,37.2
530.00,0.43,37.2
531.00,0.425,37.6
532.00,0.424,37.6
533.00,0.424,37.6
534.00,0.423,37.7
535.00,0.423,37.8
536.00,0.423,37.8
537.00,0.422,37.9
538.00,0.419,38.1
539.00,0.415,38.5
540.00,0.414,38.5
541.00,0.416,38.4
542.00,0.418,38.2
543.00,0.418,38.2
544.00,0.417,38.3
545.00,0.415,38.5
546.00,0.414,38.6
547.00,0.414,38.6
548.00,0.413,38.6
549.00,0.413,38.7
550.00,0.411,38.8
551.00,0.409,39
552.00,0.409,39
553.00,0.409,39
554.00,0.409,39
555.00,0.408,39.1
556.00,0.408,39.1
557.00,0.406,39.2
558.00,0.405,39.3
559.00,0.404,39.4
560.00,0.401,39.7
561.00,0.4,39.8
562.00,0.399,39.9
563.00,0.398,40
564.00,0.397,40.1
565.00,0.396,40.2
566.00,0.396,40.1
567.00,0.396,40.1
568.00,0.396,40.2
569.00,0.395,40.2
570.00,0.395,40.3
571.00,0.394,40.3
572.00,0.394,40.3
573.00,0.394,40.3
574.00,0.394,40.3
575.00,0.395,40.3
576.00,0.396,40.2
577.00,0.395,40.2
578.00,0.395,40.3
579.00,0.395,40.3
580.00,0.394,40.3
581.00,0.394,40.3
582.00,0.393,40.4
583.00,0.392,40.5
584.00,0.393,40.5
585.00,0.393,40.5
586.00,0.393,40.5
587.00,0.393,40.5
588.00,0.392,40.5
589.00,0.392,40.5
590.00,0.392,40.5
591.00,0.392,40.5
592.00,0.392,40.6
593.00,0.391,40.6
594.00,0.391,40.7
595.00,0.391,40.7
596.00,0.391,40.7
597.00,0.391,40.6
598.00,0.392,40.5
599.00,0.392,40.5
600.00,0.393,40.5
601.00,0.391,40.6
602.00,0.391,40.7
603.00,0.39,40.7
604.00,0.391,40.6
605.00,0.391,40.6
606.00,0.392,40.6
607.00,0.392,40.6
608.00,0.391,40.6
609.00,0.392,40.6
610.00,0.394,40.4
611.00,0.394,40.4
612.00,0.394,40.4
613.00,0.394,40.4
614.00,0.394,40.4
615.00,0.394,40.4
616.00,0.394,40.4
617.00,0.393,40.4
618.00,0.393,40.4
619.00,0.393,40.4
620.00,0.393,40.4
621.00,0.393,40.4
622.00,0.393,40.5
623.00,0.393,40.5
624.00,0.392,40.5
625.00,0.392,40.6
626.00,0.392,40.6
627.00,0.392,40.5
628.00,0.393,40.5
629.00,0.393,40.4
630.00,0.394,40.4
631.00,0.394,40.4
632.00,0.394,40.4
633.00,0.393,40.4
634.00,0.393,40.4
635.00,0.394,40.4
636.00,0.394,40.4
637.00,0.394,40.4
638.00,0.394,40.4
639.00,0.394,40.4
640.00,0.394,40.4
641.00,0.394,40.4
642.00,0.394,40.4
643.00,0.394,40.4
644.00,0.394,40.4
645.00,0.393,40.4
646.00,0.393,40.5
647.00,0.393,40.5
648.00,0.393,40.5
649.00,0.393,40.5
650.00,0.392,40.5
651.00,0.392,40.5
652.00,0.392,40.5
653.00,0.392,40.5
654.00,0.392,40.5
655.00,0.392,40.6
656.00,0.391,40.6
657.00,0.391,40.7
658.00,0.39,40.7
659.00,0.39,40.7
660.00,0.391,40.7
661.00,0.392,40.6
662.00,0.392,40.6
663.00,0.392,40.6
664.00,0.392,40.6
665.00,0.391,40.6
666.00,0.391,40.6
667.00,0.391,40.7
668.00,0.39,40.7
669.00,0.39,40.8
670.00,0.39,40.8
671.00,0.389,40.8
672.00,0.389,40.8
673.00,0.389,40.9
674.00,0.389,40.9
675.00,0.388,40.9
676.00,0.388,40.9
677.00,0.387,41
678.00,0.386,41.1
679.00,0.386,41.1
680.00,0.386,41.2
681.00,0.385,41.2
682.00,0.385,41.2
683.00,0.385,41.2
684.00,0.385,41.2
685.00,0.384,41.3
686.00,0.384,41.3
687.00,0.383,41.4
688.00,0.383,41.4
689.00,0.383,41.4
690.00,0.382,41.5
691.00,0.381,41.6
692.00,0.381,41.6
693.00,0.38,41.6
694.00,0.379,41.8
695.00,0.379,41.8
696.00,0.378,41.9
697.00,0.376,42.1
698.00,0.375,42.2
699.00,0.376,42.1
700.00,0.376,42.1
701.00,0.376,42.1
702.00,0.376,42.1
703.00,0.375,42.1
704.00,0.374,42.2
705.00,0.374,42.3
706.00,0.373,42.4
707.00,0.372,42.4
708.00,0.372,42.5
709.00,0.372,42.5
710.00,0.371,42.6
711.00,0.371,42.6
712.00,0.37,42.7
713.00,0.369,42.7
714.00,0.368,42.8
715.00,0.368,42.9
716.00,0.367,43
717.00,0.366,43
718.00,0.366,43.1
719.00,0.366,43.1
720.00,0.365,43.1
721.00,0.364,43.2
722.00,0.363,43.3
723.00,0.363,43.4
724.00,0.362,43.4
725.00,0.361,43.5
726.00,0.361,43.6
727.00,0.36,43.7
728.00,0.359,43.8
729.00,0.358,43.8
730.00,0.357,43.9
731.00,0.357,44
732.00,0.356,44
733.00,0.356,44.1
734.00,0.356,44.1
735.00,0.356,44.1
736.00,0.354,44.3
737.00,0.354,44.3
738.00,0.352,44.4
739.00,0.35,44.6
740.00,0.35,44.7
741.00,0.35,44.7
742.00,0.35,44.7
743.00,0.35,44.7
744.00,0.348,44.8
745.00,0.348,44.9
746.00,0.347,45
747.00,0.347,45
748.00,0.346,45.1
749.00,0.345,45.2
750.00,0.344,45.3
751.00,0.344,45.3
752.00,0.342,45.5
753.00,0.341,45.6
754.00,0.341,45.6
755.00,0.341,45.6
756.00,0.341,45.6
757.00,0.339,45.8
758.00,0.339,45.8
759.00,0.339,45.9
760.00,0.338,45.9
761.00,0.338,45.9
762.00,0.337,46
763.00,0.334,46.3
764.00,0.333,46.5
765.00,0.333,46.5
766.00,0.333,46.4
767.00,0.333,46.5
768.00,0.331,46.6
769.00,0.331,46.6
770.00,0.331,46.6
771.00,0.331,46.7
772.00,0.331,46.7
773.00,0.331,46.7
774.00,0.33,46.7
775.00,0.33,46.7
776.00,0.329,46.8
777.00,0.328,47
778.00,0.327,47.1
779.00,0.327,47.1
780.00,0.327,47.1
781.00,0.324,47.4
782.00,0.324,47.4
783.00,0.324,47.5
784.00,0.324,47.4
785.00,0.324,47.5
786.00,0.323,47.5
787.00,0.32,47.9
788.00,0.319,48
789.00,0.317,48.2
790.00,0.317,48.2
791.00,0.313,48.6
792.00,0.313,48.7
