wavelength,S8 Irrad 1,S8 Irrad 10,S8 Irrad 11,S8 Irrad 12,S8 Irrad 13,S8 Irrad 14,S8 Irrad 15,S8 Irrad 2,S8 Irrad 3,S8 Irrad 4,S8 Irrad 5,S8 Irrad 6,S8 Irrad 7,S8 Irrad 8,S8 Irrad 9,S8 Postheat,S8 Preheat
423,0.5774,0.58975,0.60875,0.65225,0.66275,0.66325,0.65175,0.57125,0.56625,0.55575,0.57775,0.56525,0.568,0.60825,0.5905,0.3744,0.47175
424,0.576,0.58825,0.6065,0.6505,0.66075,0.66175,0.65,0.5695,0.565,0.5535,0.576,0.5635,0.5668,0.6065,0.589,0.3746,0.47175
425,0.5756,0.58675,0.60575,0.64975,0.6605,0.66025,0.64825,0.56875,0.56425,0.55275,0.5755,0.56225,0.5662,0.60525,0.58825,0.3744,0.4715
426,0.574,0.58625,0.605,0.64825,0.6595,0.65975,0.64725,0.56825,0.56125,0.55225,0.57475,0.56125,0.565,0.604,0.586,0.375,0.4715
427,0.5736,0.5845,0.604,0.6475,0.65725,0.6585,0.6455,0.56675,0.5605,0.55125,0.5735,0.5605,0.564,0.60275,0.58575,0.3746,0.47125
428,0.5716,0.58375,0.60225,0.64575,0.65625,0.6565,0.6445,0.56475,0.55925,0.5495,0.573,0.5585,0.5622,0.6015,0.58475,0.3744,0.47125
429,0.5702,0.58225,0.60125,0.6435,0.6535,0.65575,0.64325,0.56325,0.558,0.5485,0.57075,0.5575,0.5604,0.60025,0.5825,0.3744,0.47125
430,0.5696,0.58125,0.6005,0.643,0.65225,0.654,0.6405,0.56175,0.55675,0.54675,0.5695,0.5565,0.5592,0.599,0.5805,0.3744,0.47075
431,0.5678,0.5795,0.5985,0.6405,0.65175,0.6525,0.639,0.56075,0.55575,0.54525,0.56775,0.5545,0.5578,0.59675,0.57925,0.3742,0.4705
432,0.5652,0.577,0.59675,0.63725,0.65025,0.65075,0.638,0.56,0.55325,0.54325,0.5645,0.55175,0.5566,0.59525,0.57825,0.3734,0.47
433,0.5642,0.57525,0.5945,0.63525,0.648,0.6485,0.6355,0.55825,0.55175,0.54075,0.56275,0.55025,0.5546,0.5935,0.5765,0.373,0.47
434,0.5628,0.57275,0.5935,0.63425,0.64625,0.64675,0.634,0.55675,0.55025,0.539,0.56175,0.54875,0.5526,0.59125,0.5745,0.373,0.46925
435,0.5616,0.571,0.59125,0.63275,0.6425,0.6455,0.6325,0.55375,0.54875,0.538,0.5605,0.54775,0.5504,0.5905,0.573,0.3726,0.46925
436,0.5596,0.5695,0.58925,0.6315,0.6425,0.6445,0.62975,0.55325,0.548,0.53675,0.559,0.54575,0.5492,0.5885,0.5715,0.372,0.46825
437,0.558,0.56825,0.58725,0.6295,0.64075,0.64175,0.629,0.5515,0.54575,0.5345,0.5575,0.544,0.5474,0.5865,0.569,0.3718,0.46775
438,0.556,0.567,0.5855,0.628,0.639,0.63975,0.62775,0.54975,0.5445,0.53275,0.556,0.54175,0.5464,0.58525,0.56675,0.371,0.46725
439,0.554,0.56425,0.58325,0.6275,0.638,0.63775,0.626,0.548,0.5425,0.531,0.5545,0.54025,0.5442,0.5835,0.5655,0.3704,0.46675
440,0.5524,0.56275,0.58075,0.625,0.63675,0.6355,0.6235,0.546,0.54025,0.529,0.5515,0.539,0.5422,0.582,0.56325,0.3698,0.46575
441,0.5512,0.561,0.57925,0.62275,0.63475,0.6345,0.622,0.5445,0.539,0.5275,0.5505,0.53725,0.5412,0.58075,0.5615,0.3694,0.46525
442,0.5496,0.5605,0.579,0.62225,0.63375,0.63425,0.62125,0.54425,0.5375,0.52675,0.55,0.5365,0.54,0.579,0.561,0.3696,0.46525
