wavelength,S8 Irrad 1,S8 Irrad 10,S8 Irrad 11,S8 Irrad 12,S8 Irrad 13,S8 Irrad 14,S8 Irrad 15,S8 Irrad 2,S8 Irrad 3,S8 Irrad 4,S8 Irrad 5,S8 Irrad 6,S8 Irrad 7,S8 Irrad 8,S8 Irrad 9,S8 Postheat,S8 Preheat
190,2.1132,2.318,2.36025,2.37425,2.416,2.4385,2.3765,2.175,2.1655,2.169,2.222,2.291,2.2736,2.3365,2.33575,1.357,1.7135
191,2.173,2.405,2.45075,2.47525,2.483,2.51925,2.453,2.25825,2.24775,2.23175,2.315,2.36475,2.3842,2.37075,2.4175,1.3862,1.7515
192,2.2274,2.493,2.49525,2.52925,2.5225,2.56525,2.55875,2.312,2.34325,2.3115,2.37125,2.42225,2.4352,2.4215,2.46125,1.3986,1.77375
193,2.2802,2.535,2.5515,2.584,2.60525,2.6285,2.61875,2.35825,2.4045,2.36875,2.42525,2.49475,2.4966,2.498,2.5245,1.416,1.79075
194,2.3108,2.58275,2.59575,2.64375,2.65375,2.67775,2.6635,2.40175,2.432,2.42075,2.46525,2.5355,2.535,2.5665,2.592,1.4246,1.80325
195,2.3416,2.6025,2.646,2.65375,2.73425,2.7115,2.673,2.438,2.4715,2.47575,2.4865,2.583,2.5758,2.58675,2.61975,1.426,1.808
196,2.3738,2.629,2.69725,2.71025,2.77175,2.755,2.74525,2.48525,2.49,2.52125,2.51875,2.62325,2.62,2.63075,2.6745,1.4302,1.81525
197,2.4014,2.66275,2.74025,2.74125,2.782,2.8045,2.7755,2.534,2.544,2.54625,2.57125,2.6475,2.6468,2.68675,2.69925,1.4346,1.82025
198,2.4312,2.69125,2.75275,2.7615,2.81025,2.821,2.7895,2.563,2.57025,2.57625,2.6035,2.6645,2.6838,2.72375,2.74275,1.4358,1.82475
199,2.4586,2.71825,2.763,2.7835,2.85525,2.8545,2.79725,2.60625,2.587,2.612,2.62075,2.69375,2.7138,2.73425,2.766,1.4366,1.8255
200,2.4636,2.72625,2.7785,2.794,2.85925,2.86375,2.7995,2.617,2.61175,2.612,2.64225,2.6975,2.7216,2.751,2.78025,1.435,1.82075
201,2.4706,2.74925,2.78725,2.7985,2.86075,2.9055,2.80225,2.62275,2.6145,2.6295,2.65425,2.71725,2.7508,2.74775,2.78075,1.4292,1.8085
202,2.4916,2.779,2.79275,2.8165,2.8655,2.91575,2.8315,2.6495,2.62875,2.63975,2.687,2.735,2.7592,2.77325,2.807,1.4258,1.80025
203,2.5286,2.80625,2.80575,2.8415,2.8945,2.94175,2.8535,2.6845,2.66275,2.664,2.72425,2.76,2.76,2.78675,2.8305,1.418,1.78925
204,2.5408,2.853,2.84225,2.8575,2.92,2.96625,2.87775,2.704,2.674,2.68975,2.74825,2.7895,2.7894,2.802,2.846,1.4048,1.77
205,2.5692,2.863,2.87975,2.87425,2.955,2.97,2.89425,2.72575,2.7,2.7245,2.76725,2.81575,2.8002,2.82825,2.875,1.3882,1.7455
206,2.5792,2.87475,2.90075,2.9065,2.94975,2.982,2.923,2.75725,2.72675,2.755,2.78175,2.8365,2.8398,2.8365,2.90525,1.3644,1.71525
207,2.5874,2.88475,2.90225,2.91075,2.96825,2.983,2.9405,2.7625,2.74225,2.767,2.79375,2.8485,2.8436,2.85725,2.91375,1.3368,1.678
208,2.594,2.89975,2.92525,2.92875,2.9715,2.9855,2.936,2.7735,2.75725,2.77475,2.7985,2.853,2.8556,2.86925,2.92425,1.3042,1.6355
209,2.5952,2.9015,2.93075,2.93225,2.97275,2.9875,2.9385,2.77875,2.7595,2.7905,2.80075,2.857,2.8652,2.88225,2.92875,1.2672,1.5865
210,2.5984,2.91025,2.93375,2.9405,2.98375,2.9965,2.949,2.78925,2.76325,2.78875,2.81575,2.865,2.872,2.89425,2.94525,1.2286,1.5355
211,2.5976,2.91125,2.9375,2.94775,2.99075,3,2.95775,2.79625,2.76625,2.7975,2.836,2.8725,2.8772,2.89575,2.9475,1.1886,1.483
212,2.5968,2.92375,2.9445,2.96225,2.9895,3,2.96675,2.7985,2.78475,2.79975,2.84225,2.889,2.8904,2.9035,2.95,1.1464,1.43325
213,2.5904,2.93725,2.94725,2.962,3,3,2.97125,2.8135,2.80125,2.80475,2.84975,2.89075,2.9074,2.91125,2.959,1.1068,1.38175
214,2.58,2.948,2.95125,2.97775,3,3,2.9765,2.8205,2.81725,2.81525,2.85875,2.9,2.9194,2.94025,2.96875,1.0674,1.33225
215,2.7594,3,3,3,3,3,3,2.99875,3,3,3,3,3,3,3,1.0576,1.3185
216,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1.033,1.289
217,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.996,1.2425
218,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.9594,1.1975
219,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.9268,1.15575
220,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.8946,1.116
221,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.8652,1.07975
222,2.9916,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.8402,1.04775
223,2.4046,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.8086,1.007
224,2.1844,3,3,3,3,3,3,2.76725,2.96225,3,3,3,3,3,3,0.787,0.98075
225,2.0662,3,3,3,3,3,3,2.626,2.8385,2.98425,3,3,3,3,3,0.7716,0.9615
226,1.9778,3,3,3,3,3,3,2.5255,2.753,2.923,3,3,3,3,3,0.7604,0.94725
227,1.9032,3,3,3,3,3,3,2.4325,2.68225,2.87475,3,3,3,3,3,0.752,0.93675
228,1.8448,3,3,3,3,3,3,2.35575,2.614,2.82075,3,3,3,3,3,0.749,0.934
229,1.8028,3,3,3,3,3,3,2.295,2.5555,2.769,2.974,3,3,3,3,0.751,0.93675
230,1.7658,3,3,3,3,3,3,2.24075,2.494,2.7105,2.93075,3,3,3,3,0.7564,0.943
231,1.7304,3,3,3,3,3,3,2.184,2.4295,2.64325,2.8695,3,3,3,3,0.763,0.94925
232,1.6916,3,3,3,3,3,3,2.1155,2.35075,2.557,2.78575,3,3,3,3,0.77,0.95875
233,1.654,3,3,3,3,3,3,2.04975,2.2695,2.46975,2.69975,3,3,3,3,0.7774,0.96825
234,1.6218,3,3,3,3,3,3,1.99,2.196,2.38875,2.615,3,3,3,3,0.7848,0.9785
235,1.5902,3,3,3,3,3,3,1.93175,2.12475,2.3065,2.52825,3,3,3,3,0.7944,0.9905
236,1.566,3,3,3,3,3,3,1.88175,2.0625,2.235,2.45125,3,3,3,3,0.804,1.002
237,1.5446,3,3,3,3,3,3,1.83775,2.00475,2.16775,2.3765,2.99225,3,3,3,0.8136,1.01325
238,1.5256,3,3,3,3,3,3,1.7965,1.94975,2.10425,2.30375,2.95275,3,3,3,0.8228,1.0245
239,1.5052,3,3,3,3,3,3,1.75525,1.897,2.04125,2.232,2.8955,3,3,3,0.8298,1.033
240,1.483,3,3,3,3,3,3,1.7135,1.8415,1.975,2.156,2.8285,3,3,3,0.8334,1.03925
241,1.4614,3,3,3,3,3,3,1.67275,1.79125,1.91425,2.0855,2.758,2.9832,3,3,0.834,1.0405
242,1.4418,3,3,3,3,3,3,1.63725,1.746,1.86175,2.02475,2.696,2.9466,3,3,0.8346,1.0415
243,1.4272,3,3,3,3,3,3,1.6095,1.711,1.81975,1.97875,2.635,2.904,3,3,0.8378,1.04325
244,1.4106,3,3,3,3,3,3,1.58525,1.678,1.78225,1.93625,2.574,2.8532,3,3,0.8384,1.04425
245,1.3888,3,3,3,3,3,3,1.55425,1.6395,1.739,1.88475,2.4965,2.776,2.949,3,0.8344,1.038
246,1.3604,2.9745,3,3,3,3,3,1.512,1.5925,1.68475,1.82225,2.4,2.6848,2.87425,3,0.8198,1.0205
247,1.3324,2.9395,3,3,3,3,3,1.47725,1.5515,1.6345,1.76925,2.31925,2.603,2.812,2.9505,0.8032,1.003
248,1.3132,2.92,3,3,3,3,3,1.45275,1.521,1.60075,1.73125,2.256,2.541,2.76175,2.90625,0.7928,0.99075
249,1.2938,2.87075,3,3,3,3,3,1.4315,1.494,1.5735,1.69825,2.204,2.48,2.70125,2.84875,0.785,0.97825
250,1.272,2.8015,2.95925,3,3,3,3,1.40775,1.4655,1.54575,1.665,2.1475,2.4114,2.62675,2.77725,0.772,0.96275
251,1.2468,2.72225,2.8955,2.9485,2.99775,3,2.99075,1.37825,1.43275,1.50925,1.62575,2.08025,2.3338,2.54225,2.6905,0.7544,0.9395
252,1.2192,2.635,2.82425,2.8835,2.94225,2.991,2.942,1.347,1.3985,1.472,1.583,2.01075,2.2514,2.45575,2.59675,0.734,0.91325
253,1.1926,2.55675,2.752,2.8215,2.88175,2.93625,2.8945,1.31825,1.36825,1.43725,1.5465,1.948,2.1768,2.37525,2.5105,0.713,0.89075
254,1.1698,2.482,2.68,2.75475,2.82675,2.87775,2.846,1.295,1.343,1.40925,1.517,1.897,2.1142,2.30625,2.435,0.6962,0.86875
255,1.149,2.40525,2.60075,2.67975,2.7515,2.80425,2.7755,1.2705,1.31725,1.381,1.48575,1.84525,2.0518,2.237,2.35925,0.6808,0.849
256,1.1282,2.32875,2.51625,2.5965,2.6665,2.7225,2.69425,1.24625,1.2925,1.355,1.45675,1.79675,1.9908,2.1685,2.28375,0.6638,0.8285
257,1.107,2.249,2.4275,2.50675,2.5785,2.6305,2.605,1.222,1.26775,1.327,1.427,1.74675,1.9308,2.0985,2.2075,0.6442,0.80575
258,1.0852,2.17325,2.344,2.424,2.4935,2.542,2.519,1.199,1.24225,1.30075,1.39875,1.70025,1.8732,2.03375,2.13425,0.627,0.785
259,1.0632,2.0985,2.26075,2.33475,2.402,2.447,2.427,1.1765,1.22,1.27475,1.37075,1.65475,1.8184,1.9725,2.06475,0.6092,0.7635
260,1.0446,2.03475,2.18575,2.259,2.3225,2.36425,2.345,1.157,1.199,1.252,1.34575,1.61525,1.7716,1.91775,2.00325,0.5934,0.74425
261,1.035,1.984,2.128,2.20425,2.26175,2.29825,2.27875,1.1455,1.187,1.23825,1.3325,1.58775,1.736,1.87675,1.9585,0.5846,0.733
262,1.0278,1.9445,2.0795,2.157,2.206,2.242,2.222,1.14175,1.175,1.23,1.32075,1.566,1.708,1.842,1.921,0.5816,0.72825
263,1.0186,1.9065,2.0325,2.1085,2.153,2.186,2.16325,1.13325,1.16475,1.222,1.31275,1.5465,1.6806,1.80925,1.88575,0.5792,0.722
264,1.0096,1.86725,1.9825,2.057,2.0945,2.12875,2.10075,1.122,1.15375,1.21075,1.3,1.5255,1.6532,1.77625,1.84925,0.5708,0.71275
265,1.0016,1.82575,1.92975,2.001,2.0355,2.06475,2.036,1.11275,1.145,1.20075,1.28775,1.503,1.625,1.742,1.81125,0.5626,0.70375
266,0.9928,1.785,1.8785,1.94575,1.97675,2.0035,1.974,1.1035,1.1355,1.18975,1.2755,1.4815,1.5966,1.70825,1.773,0.555,0.696
267,0.9854,1.7485,1.83375,1.8965,1.92725,1.94775,1.91875,1.09525,1.127,1.17975,1.26475,1.4625,1.5724,1.68,1.73925,0.547,0.68675
268,0.9812,1.719,1.79725,1.858,1.88475,1.90275,1.873,1.09075,1.121,1.17275,1.258,1.44725,1.5532,1.65875,1.712,0.5424,0.681
269,0.978,1.69425,1.7655,1.82625,1.848,1.8645,1.8335,1.088,1.117,1.169,1.253,1.4355,1.5374,1.63925,1.69075,0.5384,0.67675
270,0.9742,1.672,1.73775,1.79625,1.81525,1.83,1.797,1.08375,1.11325,1.16525,1.2485,1.42575,1.523,1.62175,1.6705,0.5352,0.67275
271,0.97,1.65075,1.71025,1.76625,1.78375,1.7955,1.7635,1.07875,1.1075,1.1595,1.24275,1.41575,1.5094,1.60475,1.65125,0.531,0.66675
272,0.9672,1.63125,1.68575,1.74,1.756,1.764,1.7305,1.075,1.10475,1.15575,1.23875,1.40575,1.4972,1.59075,1.63375,0.5266,0.6625
273,0.9682,1.61925,1.66925,1.72225,1.73575,1.74275,1.70775,1.077,1.10525,1.1555,1.23975,1.40225,1.4914,1.58375,1.62375,0.526,0.66225
274,0.9694,1.61025,1.656,1.7085,1.7185,1.725,1.6895,1.07925,1.1065,1.158,1.2415,1.40175,1.4872,1.57675,1.6165,0.526,0.6645
275,0.9686,1.59975,1.64075,1.69275,1.7005,1.7065,1.66975,1.079,1.10575,1.15875,1.2415,1.4005,1.4818,1.56825,1.609,0.526,0.6635
276,0.968,1.58875,1.62575,1.67525,1.682,1.6865,1.64875,1.078,1.10475,1.15825,1.241,1.39575,1.4762,1.5605,1.59925,0.525,0.6615
277,0.9672,1.57875,1.61125,1.659,1.66625,1.6685,1.63075,1.07725,1.1045,1.15775,1.24025,1.39225,1.4716,1.554,1.58975,0.5224,0.659
278,0.9672,1.57075,1.6015,1.64725,1.654,1.65475,1.61625,1.07775,1.1045,1.15775,1.24125,1.3915,1.4672,1.5505,1.58325,0.52,0.658
279,0.9674,1.565,1.59175,1.638,1.6415,1.6425,1.60325,1.07875,1.106,1.16,1.24325,1.3905,1.4654,1.5465,1.58125,0.5194,0.65775
280,0.9664,1.5605,1.58275,1.63,1.631,1.63,1.58975,1.0785,1.10625,1.16,1.2435,1.3905,1.4638,1.54075,1.5745,0.5184,0.65675
281,0.9666,1.5555,1.57375,1.6205,1.62025,1.61675,1.57825,1.078,1.106,1.16075,1.24375,1.38975,1.4618,1.5375,1.56875,0.516,0.6555
282,0.9668,1.54925,1.56675,1.6105,1.61225,1.60425,1.5655,1.07825,1.10575,1.161,1.2435,1.38875,1.46,1.53525,1.56575,0.5134,0.6515
283,0.9676,1.54725,1.5635,1.607,1.60675,1.5995,1.56075,1.0795,1.107,1.1625,1.245,1.389,1.46,1.535,1.5625,0.5134,0.65075
284,0.968,1.546,1.56275,1.6065,1.6045,1.59775,1.55625,1.081,1.109,1.16625,1.2495,1.38875,1.4592,1.53525,1.56275,0.5132,0.65075
285,0.9692,1.54325,1.56075,1.60175,1.598,1.593,1.5495,1.081,1.11025,1.16925,1.24975,1.38925,1.459,1.5335,1.56225,0.5122,0.6495
286,0.9694,1.541,1.55275,1.59425,1.59125,1.585,1.5435,1.081,1.1105,1.17,1.25025,1.3895,1.4588,1.53125,1.55975,0.5096,0.64675
287,0.9696,1.53825,1.54925,1.592,1.58925,1.5805,1.5385,1.08275,1.1115,1.1705,1.25325,1.39025,1.458,1.531,1.559,0.5084,0.64525
288,0.9718,1.53725,1.54875,1.5915,1.588,1.5795,1.53625,1.086,1.11375,1.17375,1.25725,1.39225,1.4588,1.5315,1.5595,0.5088,0.64475
289,0.9726,1.5365,1.547,1.59,1.58525,1.57475,1.531,1.08675,1.1155,1.175,1.26,1.39325,1.4594,1.53175,1.55875,0.5082,0.6435
290,0.9724,1.5335,1.5425,1.58475,1.57725,1.56875,1.52575,1.08675,1.11575,1.1755,1.2605,1.39275,1.4588,1.53,1.55625,0.5058,0.6405
291,0.9722,1.531,1.53925,1.58025,1.5735,1.564,1.5225,1.08675,1.1165,1.1755,1.26075,1.393,1.4582,1.5295,1.55525,0.504,0.63725
292,0.9732,1.531,1.53825,1.58,1.57325,1.5635,1.5185,1.0895,1.11825,1.178,1.26475,1.394,1.4592,1.53,1.555,0.5038,0.637
293,0.9746,1.5305,1.5375,1.57875,1.572,1.56175,1.517,1.09025,1.12,1.17975,1.26625,1.3945,1.4592,1.52925,1.55425,0.5036,0.6365
294,0.975,1.52875,1.53275,1.57475,1.567,1.559,1.51375,1.089,1.12025,1.1795,1.26625,1.39425,1.458,1.52825,1.55225,0.5008,0.6355
295,0.9734,1.5265,1.52925,1.5715,1.56425,1.5545,1.50775,1.089,1.1195,1.17975,1.26575,1.394,1.4566,1.5265,1.54925,0.4992,0.631
296,0.9736,1.52325,1.527,1.5705,1.5625,1.5525,1.505,1.0895,1.11925,1.17975,1.266,1.3935,1.4558,1.52375,1.54825,0.4976,0.6305
297,0.9726,1.5195,1.52475,1.568,1.5595,1.54775,1.50375,1.09025,1.12025,1.18,1.2655,1.39325,1.4516,1.52175,1.54675,0.4958,0.62825
298,0.9738,1.5185,1.52325,1.5655,1.5575,1.544,1.5015,1.09025,1.121,1.18,1.268,1.393,1.4502,1.521,1.54575,0.4958,0.62725
299,0.9746,1.5175,1.5195,1.564,1.55625,1.543,1.4995,1.09075,1.1225,1.1805,1.26975,1.39275,1.4498,1.52075,1.54425,0.4962,0.6275
300,0.9748,1.514,1.5175,1.56175,1.552,1.5405,1.496,1.09075,1.12225,1.1825,1.27025,1.3925,1.4494,1.51875,1.54175,0.497,0.62775
301,0.9748,1.508,1.512,1.55575,1.547,1.5355,1.49175,1.09075,1.121,1.182,1.26775,1.39075,1.4462,1.5125,1.537,0.4962,0.62725
302,0.9742,1.50225,1.507,1.54825,1.54175,1.528,1.48425,1.0895,1.11875,1.18125,1.2655,1.38525,1.4392,1.5085,1.5345,0.4946,0.62675
303,0.9738,1.497,1.499,1.54475,1.538,1.52425,1.47925,1.089,1.11775,1.17975,1.264,1.382,1.4362,1.50325,1.52625,0.4922,0.624
304,0.9736,1.49275,1.49275,1.5395,1.53075,1.51875,1.47325,1.0875,1.1155,1.177,1.26075,1.379,1.4316,1.49825,1.521,0.491,0.62225
305,0.9708,1.484,1.48475,1.52925,1.5195,1.51025,1.465,1.0825,1.112,1.174,1.2555,1.37175,1.4218,1.4895,1.5105,0.4902,0.61925
306,0.9672,1.47425,1.476,1.521,1.51075,1.5,1.457,1.0775,1.1075,1.16725,1.24925,1.363,1.4144,1.48025,1.50075,0.4876,0.61525
307,0.9642,1.46375,1.46675,1.51125,1.50375,1.4905,1.448,1.07225,1.1005,1.1615,1.243,1.3535,1.4044,1.47025,1.49,0.4828,0.61075
308,0.9596,1.452,1.45525,1.501,1.49325,1.47925,1.43875,1.06625,1.0955,1.154,1.23475,1.34425,1.3936,1.45975,1.47875,0.4796,0.6055
309,0.9568,1.4425,1.4455,1.49125,1.48425,1.47,1.4295,1.062,1.08975,1.1465,1.22775,1.3345,1.3838,1.45025,1.468,0.4778,0.60225
310,0.9562,1.4345,1.438,1.48475,1.47825,1.46275,1.4225,1.061,1.0865,1.142,1.22375,1.32775,1.3768,1.44275,1.4595,0.4762,0.602
311,0.955,1.4245,1.42975,1.47625,1.4695,1.4545,1.41475,1.05725,1.083,1.1395,1.218,1.32075,1.3688,1.4335,1.45025,0.4758,0.60125
312,0.9528,1.415,1.42,1.467,1.46075,1.44625,1.40625,1.053,1.07775,1.1335,1.21175,1.31225,1.3588,1.4235,1.4395,0.4752,0.59925
313,0.9484,1.4025,1.4075,1.455,1.44925,1.43525,1.3955,1.048,1.07125,1.1265,1.2045,1.302,1.3468,1.41075,1.427,0.473,0.5955
314,0.944,1.38725,1.393,1.4415,1.435,1.42125,1.382,1.04,1.06375,1.11675,1.1945,1.289,1.3332,1.39725,1.4115,0.4692,0.591
315,0.9428,1.3765,1.38325,1.43275,1.427,1.41275,1.37425,1.0385,1.05975,1.1115,1.1885,1.28025,1.3236,1.387,1.40125,0.469,0.59125
316,0.9428,1.3685,1.3755,1.426,1.42075,1.407,1.36675,1.038,1.0585,1.109,1.18425,1.273,1.3148,1.37825,1.393,0.4712,0.59275
317,0.9386,1.35575,1.36325,1.412,1.409,1.3955,1.35475,1.03225,1.05075,1.101,1.17525,1.2615,1.3012,1.36375,1.3805,0.47,0.592
318,0.9338,1.33975,1.34625,1.397,1.3935,1.38,1.34075,1.02275,1.0415,1.089,1.1635,1.24675,1.286,1.348,1.3635,0.467,0.5875
319,0.93,1.32525,1.33225,1.38325,1.3805,1.3665,1.32775,1.0165,1.03425,1.081,1.154,1.234,1.2718,1.33425,1.34875,0.4648,0.58475
320,0.9272,1.312,1.31925,1.371,1.369,1.35525,1.31775,1.012,1.02825,1.07275,1.14675,1.22225,1.2596,1.32125,1.33525,0.4648,0.58425
321,0.9204,1.29675,1.30375,1.35625,1.3535,1.34225,1.3035,1.004,1.019,1.063,1.134,1.209,1.2428,1.3045,1.3175,0.4622,0.5795
322,0.9116,1.27525,1.28275,1.336,1.33475,1.32175,1.2855,0.99125,1.00675,1.0485,1.11775,1.18925,1.2226,1.28475,1.296,0.456,0.57075
323,0.906,1.257,1.26625,1.31975,1.319,1.30525,1.2705,0.983,0.9975,1.037,1.1055,1.17425,1.2056,1.26875,1.279,0.4518,0.566
324,0.9046,1.24575,1.255,1.30825,1.3095,1.296,1.26125,0.9805,0.993,1.03125,1.1,1.1635,1.1946,1.25775,1.26725,0.4518,0.56675
325,0.9042,1.23575,1.24425,1.29925,1.29975,1.287,1.2525,0.979,0.98825,1.02575,1.0935,1.155,1.1862,1.24675,1.2555,0.4534,0.56775
326,0.9022,1.2235,1.23275,1.288,1.28825,1.27675,1.2415,0.97475,0.9825,1.01975,1.0865,1.14325,1.174,1.2345,1.24375,0.4538,0.5685
327,0.8976,1.209,1.21875,1.27525,1.2755,1.26425,1.22925,0.96725,0.9755,1.0105,1.07625,1.13075,1.1592,1.219,1.22875,0.454,0.56825
