wavelength,S8 Clean,S8 Unclean
190,2.05,1.9400000000000002
191,1.9500000000000002,1.78
192,1.8499999999999999,1.7
193,1.8,1.6800000000000002
194,1.7,1.6
195,1.7,1.6
196,1.7,1.58
197,1.675,1.54
198,1.625,1.52
199,1.625,1.52
200,1.7,1.56
201,1.7,1.6
202,1.7750000000000001,1.6199999999999999
203,1.8,1.7
204,1.9,1.8
205,2.0,1.9
206,2.2,2.08
207,2.4,2.3
208,2.65,2.5
209,2.975,2.8
210,3.325,3.16
211,3.7249999999999996,3.6
212,4.225,4.06
213,4.725,4.56
214,5.2749999999999995,5.140000000000001
215,5.449999999999999,5.42
216,5.875,5.84
217,6.5,6.38
218,7.225,7.12
219,7.925000000000001,7.8
220,8.7,8.56
221,9.399999999999999,9.280000000000001
222,10.1,9.98
223,11.0,10.84
224,11.6,11.44
225,12.15,11.94
226,12.575,12.280000000000001
227,12.825,12.540000000000001
228,12.850000000000001,12.540000000000001
229,12.75,12.4
230,12.525,12.24
231,12.3,12.02
232,12.075,11.780000000000001
233,11.775000000000002,11.559999999999999
234,11.475,11.260000000000002
235,11.175,10.94
236,10.875,10.620000000000001
237,10.675,10.36
238,10.375,10.1
239,10.175,9.919999999999998
240,10.1,9.820000000000002
241,10.1,9.780000000000001
242,10.1,9.780000000000001
243,10.075,9.780000000000001
244,10.075,9.76
245,10.3,10.0
246,10.8,10.48
247,11.25,10.8
248,11.575,11.08
249,11.9,11.360000000000001
250,12.375,11.94
251,13.05,12.64
252,13.875,13.419999999999998
253,14.625,14.080000000000002
254,15.350000000000001,14.780000000000001
255,16.1,15.48
256,16.9,16.3
257,17.8,17.1
258,18.725,18.0
259,19.65,18.86
260,20.375,19.54
261,20.875,19.96
262,21.075,20.26
263,21.375,20.660000000000004
264,21.825,21.02
265,22.25,21.4
266,22.75,21.82
267,23.175,22.2
268,23.45,22.419999999999998
269,23.675,22.619999999999997
270,23.925,22.82
271,24.225,23.119999999999997
272,24.45,23.240000000000002
273,24.45,23.2
274,24.400000000000002,23.22
275,24.400000000000002,23.22
276,24.55,23.32
277,24.725,23.439999999999998
278,24.775,23.479999999999997
279,24.824999999999996,23.499999999999996
280,24.975,23.58
281,25.15,23.7
282,25.275,23.82
283,25.299999999999997,23.880000000000003
284,25.299999999999997,23.839999999999996
285,25.475,23.919999999999998
286,25.599999999999998,24.04
287,25.65,24.080000000000002
288,25.674999999999997,24.060000000000002
289,25.725,24.1
290,26.0,24.32
291,26.124999999999996,24.380000000000003
292,26.124999999999996,24.4
293,26.124999999999996,24.46
294,26.25,24.54
295,26.525000000000002,24.64
296,26.599999999999998,24.72
297,26.65,24.82
298,26.674999999999997,24.84
299,26.674999999999997,24.839999999999996
300,26.725,24.859999999999996
301,26.799999999999997,24.92
302,26.9,25.1
303,27.025,25.160000000000004
304,27.224999999999998,25.2
305,27.4,25.44
306,27.65,25.659999999999997
307,27.875,25.880000000000003
308,28.174999999999997,26.1
309,28.225,26.2
310,28.3,26.26
311,28.3,26.28
312,28.424999999999997,26.48
313,28.725,26.7
314,28.95,26.839999999999996
315,28.925,26.8
316,28.825000000000003,26.74
317,28.85,26.8
318,29.175000000000004,27.080000000000002
319,29.35,27.139999999999997
320,29.4,27.18
321,29.775,27.5
322,30.275,28.0
323,30.45,28.119999999999997
324,30.3,28.04
325,30.275,27.919999999999998
326,30.224999999999998,27.919999999999998
327,30.275,27.959999999999997
328,30.475,28.24
329,30.725,28.500000000000007
330,31.099999999999998,28.759999999999998
331,31.375,29.000000000000007
332,31.424999999999997,29.080000000000002
333,31.4,29.080000000000002
334,31.4,29.080000000000002
335,31.45,29.2
336,31.725,29.4
337,31.849999999999994,29.520000000000003
338,31.975,29.619999999999997
339,32.1,29.8
340,32.324999999999996,30.000000000000007
341,32.625,30.32
342,32.875,30.540000000000003
343,32.875,30.520000000000003
344,32.75,30.4
345,32.525,30.28
346,32.65,30.3
347,32.875,30.560000000000002
348,33.05,30.78
349,33.2,30.9
350,33.425000000000004,31.060000000000002
351,33.650000000000006,31.26
352,33.7,31.4
353,33.75,31.48
354,33.825,31.560000000000002
355,33.875,31.74
356,33.825,31.660000000000004
357,33.8,31.660000000000004
358,33.925,31.7
359,34.175,31.840000000000003
360,34.050000000000004,31.7
361,33.85,31.4
362,33.675,30.939999999999998
363,33.45,31.020000000000003
364,33.5,31.2
365,33.575,31.380000000000003
366,33.625,31.500000000000007
367,33.725,31.74
368,33.925,31.9
369,34.150000000000006,32.02
370,34.150000000000006,32.08
371,34.175,32.12
372,34.225,32.2
373,34.375,32.32
