wavelength,blank,S6 Preheat,S6 Post Heat,S6 Irrad 1 1,S6 Irrad 1 10,S6 Irrad 1 2,S6 Irrad 1 3,S6 Irrad 1 4,S6 Irrad 1 5,S6 Irrad 1 6,S6 Irrad 1 7,S6 Irrad 1 8,S6 Irrad 1 9,S6 Irrad 2,S6 Irrad 3,S6 Irrad 4,S6 Irrad 5,S6 Irrad 6,S6 Irrad 7,S6 Irrad 8,S6 Irrad 9
227,98.7,12.83333333,9.475,1.225,0.1,0.45,0.225,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.1,0.1,0,0.1
228,98.8,12.86666667,9.5,1.4,0.1,0.5,0.275,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.025,0.1,0.1,0,0.1
229,98.8,12.73333333,9.3,1.5,0.1,0.575,0.3,0.2,0.175,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0,0.1
230,98.9,12.5,9.125,1.6,0.1,0.65,0.35,0.25,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0,0.1
231,99,12.26666667,8.925,1.725,0.1,0.75,0.4,0.3,0.2,0.15,0.1,0.1,0.1,0.1,0.1,0.1,0.025,0.1,0.1,0,0.1
232,99,12.06666667,8.775,1.9,0.1,0.85,0.475,0.375,0.25,0.2,0.125,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1
233,98.9,11.76666667,8.625,2.025,0.1,0.975,0.575,0.425,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1
234,98.8,11.46666667,8.425,2.15,0.1,1.1,0.675,0.5,0.375,0.3,0.2,0.2,0.175,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1
235,98.8,11.2,8.2,2.3,0.1,1.225,0.775,0.6,0.4,0.3,0.275,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0,0.175
236,98.8,10.93333333,7.95,2.4,0.2,1.35,0.875,0.675,0.5,0.4,0.3,0.225,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0,0.2
