wavelength,S6 Irrad 1 1,S6 Irrad 1 10,S6 Irrad 1 2,S6 Irrad 1 3,S6 Irrad 1 4,S6 Irrad 1 5,S6 Irrad 1 6,S6 Irrad 1 7,S6 Irrad 1 8,S6 Irrad 1 9,S6 Irrad 2,S6 Irrad 3,S6 Irrad 4,S6 Irrad 5,S6 Irrad 6,S6 Irrad 7,S6 Irrad 8,S6 Irrad 9,S6 Post Heat,S6 Preheat
955,0.28225,0.29525,0.294,0.287,0.2575,0.24825,0.26375000000000004,0.29524999999999996,0.3015,0.30075,0.314,0.30125,0.316,0.34775,0.3225,0.30474999999999997,0.30124999999999996,0.3035,0.26075000000000004,0.1885
956,0.284,0.29825,0.29724999999999996,0.29074999999999995,0.2595,0.25275000000000003,0.26775000000000004,0.29824999999999996,0.30475,0.30475,0.31825000000000003,0.30425,0.31975,0.35124999999999995,0.326,0.308,0.3035,0.30674999999999997,0.26175000000000004,0.18975
957,0.2875,0.3005,0.30025,0.29424999999999996,0.26175000000000004,0.2555,0.2695,0.30075,0.30824999999999997,0.307,0.32075,0.3065,0.3215,0.35474999999999995,0.32875000000000004,0.31125,0.3065,0.31,0.265,0.19025
958,0.29,0.30325,0.30224999999999996,0.296,0.264,0.25725,0.2725,0.30324999999999996,0.31074999999999997,0.30925,0.323,0.30925,0.3245,0.35724999999999996,0.33175,0.314,0.309,0.31325,0.26625,0.19175
959,0.29074999999999995,0.3055,0.3035,0.29675,0.26575000000000004,0.25975000000000004,0.27425,0.30525,0.3115,0.3105,0.324,0.3115,0.32675,0.35949999999999993,0.3335,0.3155,0.31174999999999997,0.3155,0.268,0.19325
960,0.29224999999999995,0.30724999999999997,0.30424999999999996,0.29824999999999996,0.2665,0.26025,0.27525,0.307,0.3135,0.312,0.325,0.3135,0.328,0.36124999999999996,0.3355,0.3165,0.31325,0.31775,0.2685,0.19425
961,0.29275,0.30774999999999997,0.3055,0.29975,0.267,0.26125,0.27575000000000005,0.3075,0.31425000000000003,0.31275000000000003,0.32625,0.31375000000000003,0.32925,0.36175,0.33725000000000005,0.3175,0.3145,0.3185,0.26925,0.19525
962,0.29325,0.308,0.30675,0.30124999999999996,0.26825,0.262,0.276,0.30824999999999997,0.3155,0.31325000000000003,0.3275,0.315,0.33025000000000004,0.3625,0.33775000000000005,0.31925000000000003,0.31625000000000003,0.32025000000000003,0.27025,0.19575
963,0.29574999999999996,0.30825,0.30775,0.30224999999999996,0.26925,0.2625,0.27675000000000005,0.30975,0.31675000000000003,0.31475,0.3285,0.31625,0.332,0.36450000000000005,0.3385,0.32025000000000003,0.31675000000000003,0.32125,0.271,0.196
964,0.2965,0.30974999999999997,0.3095,0.3035,0.27175000000000005,0.2635,0.2795,0.31125,0.31725000000000003,0.316,0.32925000000000004,0.318,0.33275,0.36624999999999996,0.3395,0.32275,0.31825,0.32325000000000004,0.27275000000000005,0.197
965,0.2975,0.311,0.3105,0.305,0.27275000000000005,0.264,0.28049999999999997,0.31224999999999997,0.3185,0.31675000000000003,0.331,0.3195,0.33425,0.368,0.3415,0.32275,0.3195,0.32475,0.274,0.1975
966,0.2985,0.31325000000000003,0.31174999999999997,0.3065,0.27375000000000005,0.2665,0.28075,0.31375000000000003,0.3195,0.31825,0.3325,0.32125000000000004,0.33675,0.36975,0.34275,0.32525000000000004,0.322,0.32575,0.275,0.1985
967,0.30025,0.31525,0.31325,0.30824999999999997,0.276,0.26825,0.2825,0.316,0.32225,0.32075000000000004,0.3345,0.32375,0.33925,0.373,0.34575,0.32775,0.325,0.32875000000000004,0.277,0.2
968,0.3025,0.3175,0.31575,0.311,0.27825,0.271,0.28575,0.31975,0.3255,0.32325000000000004,0.33675,0.3265,0.341,0.375,0.34975,0.33125000000000004,0.3285,0.33175000000000004,0.27875000000000005,0.20125
969,0.30724999999999997,0.322,0.32025,0.31525,0.2815,0.27425,0.289,0.3235,0.32925000000000004,0.3275,0.34025000000000005,0.33125,0.34650000000000003,0.37925,0.35550000000000004,0.33525,0.333,0.336,0.28250000000000003,0.20375000000000001
970,0.30925,0.32525,0.32375000000000004,0.31875000000000003,0.284,0.27825,0.292,0.327,0.33375000000000005,0.33125,0.34424999999999994,0.3355,0.34875,0.382,0.35849999999999993,0.33875000000000005,0.337,0.341,0.28525,0.20550000000000002
971,0.3095,0.3255,0.32425,0.319,0.28525,0.27875000000000005,0.29274999999999995,0.3275,0.334,0.33175000000000004,0.34475,0.336,0.34924999999999995,0.382,0.35925,0.33975,0.337,0.34125,0.286,0.20600000000000002
972,0.309,0.325,0.3225,0.3185,0.28525,0.27825,0.29274999999999995,0.32725000000000004,0.3335,0.3315,0.34375,0.33475,0.34824999999999995,0.38175000000000003,0.35849999999999993,0.3395,0.337,0.34075000000000005,0.2855,0.20600000000000002
973,0.307,0.324,0.321,0.316,0.2835,0.2765,0.29025,0.3255,0.333,0.33,0.34225000000000005,0.33175000000000004,0.346,0.37975000000000003,0.35525,0.3385,0.33475000000000005,0.339,0.28525,0.20500000000000002
974,0.305,0.3225,0.319,0.31575,0.28,0.2735,0.289,0.3225,0.329,0.32725,0.34125000000000005,0.331,0.34475,0.37825000000000003,0.3515,0.335,0.33,0.33425000000000005,0.28375,0.20425000000000001
975,0.30425,0.32075,0.31825,0.315,0.279,0.2725,0.2865,0.32025,0.326,0.325,0.339,0.32875,0.34225,0.376,0.351,0.3325,0.3285,0.33275000000000005,0.2815,0.2025
976,0.30325,0.31975,0.31825,0.315,0.278,0.2715,0.28624999999999995,0.3205,0.3255,0.3255,0.33875000000000005,0.327,0.34175000000000005,0.376,0.35,0.331,0.32825,0.33275,0.28099999999999997,0.202
977,0.3025,0.31875000000000003,0.31625000000000003,0.31275000000000003,0.2775,0.2705,0.28574999999999995,0.31975,0.32425000000000004,0.325,0.33775000000000005,0.32725000000000004,0.34125000000000005,0.3755,0.35,0.33025000000000004,0.32725000000000004,0.33225,0.28075,0.20225
978,0.29925,0.31675000000000003,0.31425000000000003,0.31024999999999997,0.27675000000000005,0.26825,0.28274999999999995,0.3185,0.3235,0.32275,0.33675,0.32625,0.34,0.37324999999999997,0.349,0.32775000000000004,0.32525000000000004,0.33125,0.2775,0.1985
