wavelength,S6 Irrad 1 1,S6 Irrad 1 10,S6 Irrad 1 2,S6 Irrad 1 3,S6 Irrad 1 4,S6 Irrad 1 5,S6 Irrad 1 6,S6 Irrad 1 7,S6 Irrad 1 8,S6 Irrad 1 9,S6 Irrad 2,S6 Irrad 3,S6 Irrad 4,S6 Irrad 5,S6 Irrad 6,S6 Irrad 7,S6 Irrad 8,S6 Irrad 9,S6 Post Heat,S6 Preheat
190,2.14675,2.285,2.25275,2.2755,2.2030000000000003,2.227,2.22525,2.2582500000000003,2.3027499999999996,2.2835,2.4065,2.40175,2.404,2.425,2.3885,2.3957499999999996,2.52525,2.48125,1.7904999999999998,1.30725
191,2.1915,2.351,2.3205,2.3339999999999996,2.282,2.31775,2.3085,2.32775,2.3810000000000002,2.367,2.47925,2.45975,2.45925,2.48325,2.4675,2.474,2.629,2.5380000000000003,1.82525,1.32975
192,2.254,2.425,2.3637499999999996,2.39375,2.33425,2.3735,2.3907499999999997,2.39725,2.4485,2.42325,2.52975,2.5135,2.5415,2.57,2.52775,2.5365,2.67025,2.587,1.84475,1.34825
193,2.3057499999999997,2.50075,2.4442500000000003,2.4455,2.3800000000000003,2.414,2.4465,2.4530000000000003,2.5029999999999997,2.499,2.56475,2.541,2.58225,2.62425,2.6069999999999998,2.56825,2.72825,2.6405000000000003,1.858,1.36125
194,2.34025,2.5535,2.47125,2.49775,2.44125,2.46475,2.48375,2.499,2.5340000000000003,2.5447499999999996,2.6327499999999997,2.614,2.599,2.6675,2.651,2.6187500000000004,2.7445000000000004,2.716,1.8625,1.36575
195,2.37275,2.59525,2.507,2.53825,2.4745000000000004,2.50725,2.5515,2.543,2.5645,2.57775,2.6854999999999998,2.653,2.6414999999999997,2.70075,2.6769999999999996,2.672,2.785,2.75625,1.86875,1.3679999999999999
196,2.40525,2.62775,2.54425,2.59025,2.504,2.559,2.5774999999999997,2.5875,2.60825,2.59125,2.72625,2.7065,2.684,2.7259999999999995,2.70575,2.7114999999999996,2.84525,2.80675,1.877,1.37075
197,2.44125,2.6342499999999998,2.57675,2.61925,2.56425,2.5845000000000002,2.5962500000000004,2.6215,2.649,2.6217499999999996,2.73975,2.74475,2.7385,2.7752499999999998,2.7285000000000004,2.7535,2.9137500000000003,2.8665,1.8872499999999999,1.3735
198,2.4505,2.689,2.596,2.6500000000000004,2.5805000000000002,2.59625,2.615,2.657,2.68425,2.6527499999999997,2.76475,2.76375,2.77875,2.79975,2.7405,2.7835,2.92425,2.889,1.8917499999999998,1.375
199,2.4665,2.69425,2.61,2.65975,2.5995000000000004,2.601,2.6220000000000003,2.67775,2.69375,2.68675,2.774,2.77075,2.783,2.82075,2.7567500000000003,2.81075,2.93775,2.90175,1.8915,1.375
200,2.4792500000000004,2.70075,2.6214999999999997,2.66925,2.60625,2.6094999999999997,2.6407499999999997,2.68825,2.6885000000000003,2.6910000000000003,2.7809999999999997,2.79325,2.7937499999999997,2.8345000000000002,2.76825,2.81925,2.9675000000000002,2.90025,1.887,1.3675000000000002
201,2.4895,2.70925,2.6487499999999997,2.6865000000000006,2.6115,2.62575,2.6475,2.69725,2.701,2.7020000000000004,2.8062500000000004,2.8,2.80325,2.85225,2.782,2.8375,2.9690000000000003,2.903,1.879,1.35325
202,2.51475,2.72525,2.6665,2.70425,2.646,2.64325,2.6605,2.726,2.718,2.72175,2.8235,2.81325,2.818,2.883,2.8145000000000002,2.849,2.9867500000000002,2.9217500000000003,1.8735,1.3452499999999998
203,2.54125,2.7935,2.7017499999999997,2.7277500000000003,2.66875,2.6674999999999995,2.6952499999999997,2.7655,2.7575000000000003,2.76,2.8535,2.8475,2.84625,2.904,2.85175,2.86475,3.0,2.94375,1.85725,1.3327499999999999
204,2.55675,2.8310000000000004,2.7465,2.75725,2.6849999999999996,2.71075,2.7175000000000002,2.793,2.781,2.79175,2.8615,2.8737500000000002,2.88125,2.9262500000000005,2.8805,2.886,3.0,2.9585,1.8367499999999999,1.31625
205,2.5825,2.863,2.7505,2.7725,2.72025,2.7355,2.7344999999999997,2.80825,2.8209999999999997,2.8259999999999996,2.867,2.907,2.89525,2.95725,2.9,2.8922499999999998,3.0,2.98175,1.81275,1.2950000000000002
206,2.58925,2.87275,2.781,2.7935,2.73775,2.7495,2.7704999999999997,2.825,2.8289999999999997,2.8457500000000002,2.8845,2.9167499999999995,2.917,2.9685,2.9185000000000003,2.9065,3.0,2.98925,1.78125,1.2685
207,2.59525,2.88625,2.78475,2.796,2.75775,2.7584999999999997,2.79075,2.84675,2.85425,2.84975,2.90275,2.93,2.94625,2.9810000000000003,2.92575,2.93225,3.0,2.99225,1.742,1.23725
208,2.5995,2.8897499999999994,2.7929999999999997,2.8030000000000004,2.7609999999999997,2.7674999999999996,2.8047500000000003,2.85175,2.8672500000000003,2.851,2.914,2.9490000000000003,2.9477499999999996,2.98675,2.92275,2.94,3.0,2.99575,1.7005,1.203
209,2.6092500000000003,2.8987499999999997,2.79725,2.8099999999999996,2.7657499999999997,2.78675,2.8155,2.853,2.8735000000000004,2.85725,2.9345,2.9545000000000003,2.96,2.9895,2.9257500000000003,2.944,3.0,2.99775,1.6509999999999998,1.1644999999999999
210,2.6094999999999997,2.9140000000000006,2.8074999999999997,2.8237500000000004,2.7765,2.7942500000000003,2.8265,2.85475,2.87275,2.86375,2.9552500000000004,2.9585000000000004,2.97075,2.99625,2.9315,2.95475,3.0,3.0,1.6030000000000002,1.12575
211,2.60575,2.9232500000000003,2.8125,2.84525,2.7800000000000002,2.8115,2.8289999999999997,2.86325,2.8785,2.86375,2.95425,2.972,2.9735,2.998,2.95375,2.96375,3.0,3.0,1.55325,1.08625
212,2.6005,2.9205,2.8242499999999997,2.8447500000000003,2.7914999999999996,2.8149999999999995,2.8394999999999997,2.8720000000000003,2.8935000000000004,2.86975,2.95975,2.977,2.979,3.0,2.967,2.97525,3.0,2.9995000000000003,1.50075,1.0454999999999999
213,2.5932500000000003,2.9357500000000005,2.8305,2.8497500000000002,2.80175,2.822,2.8545000000000003,2.8925,2.89925,2.87725,2.96575,2.981,2.97875,3.0,2.9725,2.9827500000000002,3.0,3.0,1.452,1.0070000000000001
214,2.58425,2.93725,2.8382500000000004,2.8565,2.80875,2.8235,2.87275,2.90075,2.909,2.87875,2.9727500000000004,2.98025,2.9865000000000004,3.0,2.97425,2.9864999999999995,3.0,2.99975,1.405,0.96825
215,2.742,3.0,3.0,2.99925,3.0,2.9775,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.393,0.95025
216,2.98,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.35975,0.9235
217,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.319,0.89275
218,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.27525,0.86025
219,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.2352500000000002,0.8287500000000001
220,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.1985000000000001,0.8007500000000001
221,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.1629999999999998,0.7722499999999999
222,2.8805,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.13225,0.7484999999999999
223,2.36375,3.0,2.993,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0935000000000001,0.721
224,2.16975,3.0,2.69575,2.9265000000000003,2.99475,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0667499999999999,0.70225
225,2.0575,3.0,2.5525,2.7947500000000005,2.896,2.9762500000000003,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.048,0.6885
226,1.976,3.0,2.4472500000000004,2.70225,2.8219999999999996,2.9342499999999996,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.972,1.0335,0.67725
227,1.91,3.0,2.36075,2.62675,2.7640000000000002,2.89575,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9447499999999995,1.0232499999999998,0.6707500000000001
228,1.8619999999999999,3.0,2.2962499999999997,2.5655,2.7085000000000004,2.8577500000000002,2.9915000000000003,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.92675,1.02275,0.66925
229,1.82575,3.0,2.2424999999999997,2.51175,2.65825,2.81325,2.95225,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9065,1.0304999999999997,0.6725
230,1.79625,3.0,2.18925,2.4555000000000002,2.5997500000000002,2.7590000000000003,2.895,2.98375,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.90425,1.0395,0.6785000000000001
231,1.7642499999999999,3.0,2.13225,2.3905000000000003,2.529,2.69025,2.82325,2.9189999999999996,2.9785,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.90025,1.0485,0.684
232,1.728,3.0,2.0695,2.31475,2.44625,2.60875,2.7367500000000002,2.83225,2.91025,2.9502500000000005,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.887,1.057,0.69025
233,1.6957499999999999,2.98525,2.0097500000000004,2.2394999999999996,2.3665,2.52475,2.65375,2.748,2.835,2.8795,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.8667499999999997,1.06425,0.6980000000000001
234,1.6675,2.9165,1.95675,2.1745,2.29475,2.4472499999999995,2.57175,2.6665,2.7595,2.8150000000000004,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.8440000000000003,1.0742500000000001,0.706
235,1.6404999999999998,2.8525,1.911,2.113,2.228,2.3765,2.49475,2.586,2.68575,2.74425,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.824,1.0870000000000002,0.714
236,1.61925,2.775,1.86925,2.05975,2.1645,2.3075,2.42075,2.51375,2.609,2.6727499999999997,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.8049999999999997,1.099,0.72275
237,1.5997500000000002,2.6965,1.8304999999999998,2.01,2.10725,2.24275,2.34975,2.44125,2.533,2.5995,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.7817499999999997,1.1092499999999998,0.73175
238,1.582,2.6165000000000003,1.793,1.9609999999999999,2.0507500000000003,2.1805,2.2805,2.3685,2.4589999999999996,2.526,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.7692500000000004,1.11925,0.7397499999999999
239,1.561,2.52925,1.7552499999999998,1.9089999999999998,1.99275,2.1140000000000003,2.209,2.2915,2.38075,2.4442500000000003,2.9995000000000003,3.0,3.0,3.0,3.0,3.0,3.0,2.7482499999999996,1.12625,0.74475
240,1.5387499999999998,2.4387499999999998,1.71625,1.8570000000000002,1.932,2.048,2.13575,2.213,2.2992500000000002,2.36175,2.95575,3.0,3.0,3.0,3.0,3.0,3.0,2.725,1.12875,0.74625
