Heat Sweep RT,,
Heat Sweep RT 2,"Date : 20/07/2021, 10:44:07",
Wavelength (nm),ABS,%T
710.00,0.269,53.8
711.00,0.269,53.8
712.00,0.269,53.8
713.00,0.268,54
714.00,0.268,54
715.00,0.268,54
716.00,0.268,54
717.00,0.267,54
718.00,0.267,54.1
719.00,0.267,54.1
720.00,0.267,54.1
721.00,0.267,54.1
722.00,0.267,54.1
723.00,0.265,54.3
724.00,0.265,54.3
725.00,0.265,54.3
726.00,0.265,54.3
727.00,0.265,54.3
728.00,0.264,54.4
729.00,0.264,54.4
730.00,0.264,54.4
731.00,0.264,54.4
732.00,0.264,54.5
733.00,0.264,54.5
734.00,0.263,54.5
735.00,0.263,54.6
736.00,0.262,54.7
737.00,0.262,54.7
738.00,0.261,54.8
739.00,0.261,54.9
740.00,0.26,54.9
741.00,0.259,55
742.00,0.259,55
743.00,0.259,55.1
744.00,0.259,55.1
745.00,0.258,55.2
746.00,0.258,55.3
747.00,0.257,55.3
748.00,0.257,55.4
749.00,0.257,55.4
750.00,0.257,55.4
751.00,0.257,55.4
752.00,0.257,55.4
753.00,0.256,55.4
754.00,0.256,55.4
755.00,0.256,55.4
756.00,0.256,55.4
757.00,0.256,55.5
758.00,0.255,55.5
759.00,0.256,55.5
760.00,0.256,55.5
761.00,0.255,55.6
762.00,0.255,55.6
763.00,0.253,55.8
764.00,0.252,56
765.00,0.253,55.9
766.00,0.253,55.8
767.00,0.254,55.7
768.00,0.254,55.8
769.00,0.254,55.7
770.00,0.254,55.7
771.00,0.254,55.8
772.00,0.254,55.8
773.00,0.252,55.9
774.00,0.252,56
775.00,0.252,55.9
776.00,0.25,56.2
777.00,0.25,56.2
778.00,0.25,56.2
779.00,0.249,56.3
780.00,0.25,56.2
781.00,0.25,56.3
782.00,0.25,56.3
783.00,0.251,56.1
784.00,0.251,56.1
785.00,0.251,56.2
786.00,0.249,56.4
787.00,0.248,56.5
788.00,0.246,56.7
789.00,0.246,56.7
790.00,0.246,56.7
791.00,0.246,56.7
792.00,0.246,56.7
793.00,0.246,56.7
794.00,0.246,56.7
795.00,0.247,56.7
796.00,0.247,56.6
797.00,0.247,56.6
798.00,0.247,56.6
799.00,0.246,56.7
800.00,0.246,56.8
801.00,0.245,56.8
802.00,0.244,57
803.00,0.243,57.1
804.00,0.242,57.2
805.00,0.242,57.3
806.00,0.241,57.4
807.00,0.241,57.4
808.00,0.241,57.5
809.00,0.24,57.5
810.00,0.24,57.6
811.00,0.24,57.6
812.00,0.239,57.6
813.00,0.238,57.8
814.00,0.238,57.8
815.00,0.238,57.8
816.00,0.238,57.8
817.00,0.237,57.9
818.00,0.236,58.1
819.00,0.236,58.1
820.00,0.235,58.2
821.00,0.232,58.6
822.00,0.226,59.4
823.00,0.226,59.4
824.00,0.227,59.3
825.00,0.228,59.1
826.00,0.23,58.9
827.00,0.231,58.8
828.00,0.23,58.9
829.00,0.232,58.6
830.00,0.234,58.3
831.00,0.234,58.3
832.00,0.234,58.3
833.00,0.232,58.6
834.00,0.229,59.1
835.00,0.229,59
836.00,0.231,58.7
837.00,0.232,58.6
838.00,0.232,58.6
839.00,0.233,58.5
840.00,0.232,58.6
841.00,0.231,58.8
842.00,0.231,58.8
843.00,0.231,58.8
844.00,0.233,58.4
845.00,0.234,58.4
846.00,0.235,58.3
847.00,0.235,58.2
848.00,0.233,58.5
849.00,0.232,58.6
850.00,0.232,58.6
851.00,0.234,58.3
852.00,0.232,58.6
853.00,0.232,58.6
854.00,0.228,59.1
855.00,0.228,59.1
856.00,0.229,59
857.00,0.229,59
858.00,0.229,59
859.00,0.229,59
860.00,0.229,59
861.00,0.23,58.8
862.00,0.23,58.9
863.00,0.23,58.9
864.00,0.229,59.1
865.00,0.228,59.1
866.00,0.228,59.2
867.00,0.228,59.2
868.00,0.228,59.2
869.00,0.228,59.2
870.00,0.226,59.4
871.00,0.227,59.3
872.00,0.227,59.3
873.00,0.227,59.3
874.00,0.227,59.3
875.00,0.226,59.4
876.00,0.226,59.4
877.00,0.226,59.5
878.00,0.224,59.7
879.00,0.223,59.8
880.00,0.222,60
881.00,0.219,60.4
882.00,0.219,60.4
883.00,0.219,60.5
884.00,0.219,60.4
885.00,0.222,60
886.00,0.222,60
887.00,0.222,60
888.00,0.221,60.2
889.00,0.22,60.2
890.00,0.22,60.2
891.00,0.22,60.2
892.00,0.22,60.3
893.00,0.22,60.3
894.00,0.22,60.3
895.00,0.219,60.4
896.00,0.219,60.4
897.00,0.22,60.3
898.00,0.221,60.1
899.00,0.221,60.1
900.00,0.221,60.1
901.00,0.22,60.2
902.00,0.22,60.2
903.00,0.22,60.3
904.00,0.218,60.5
905.00,0.218,60.6
906.00,0.218,60.6
907.00,0.219,60.4
908.00,0.219,60.4
909.00,0.218,60.5
910.00,0.218,60.6
911.00,0.216,60.8
912.00,0.216,60.8
913.00,0.216,60.8
914.00,0.216,60.8
915.00,0.215,60.9
916.00,0.215,61
917.00,0.215,61
918.00,0.216,60.9
919.00,0.217,60.7
920.00,0.217,60.7
921.00,0.215,60.9
922.00,0.214,61.1
923.00,0.214,61.1
924.00,0.214,61.1
925.00,0.214,61
926.00,0.214,61.1
927.00,0.214,61.1
928.00,0.214,61.1
929.00,0.214,61.1
930.00,0.214,61
931.00,0.214,61.1
932.00,0.214,61.1
933.00,0.213,61.2
934.00,0.213,61.2
935.00,0.213,61.2
936.00,0.213,61.2
937.00,0.213,61.2
938.00,0.213,61.2
939.00,0.214,61.1
940.00,0.213,61.2
941.00,0.213,61.2
942.00,0.213,61.2
943.00,0.212,61.3
944.00,0.212,61.4
945.00,0.211,61.5
946.00,0.21,61.6
947.00,0.211,61.6
948.00,0.211,61.6
949.00,0.211,61.6
950.00,0.219,60.4
951.00,0.225,59.5
952.00,0.229,59.1
953.00,0.23,58.9
954.00,0.23,58.9
955.00,0.232,58.7
956.00,0.233,58.5
957.00,0.234,58.4
958.00,0.235,58.2
959.00,0.236,58.1
960.00,0.236,58
961.00,0.238,57.8
962.00,0.239,57.7
963.00,0.24,57.6
964.00,0.24,57.6
965.00,0.241,57.4
966.00,0.242,57.3
967.00,0.243,57.2
968.00,0.244,57
969.00,0.246,56.7
970.00,0.251,56.1
971.00,0.253,55.8
972.00,0.253,55.9
973.00,0.251,56.1
974.00,0.25,56.2
975.00,0.248,56.5
976.00,0.248,56.5
977.00,0.248,56.5
978.00,0.247,56.6
979.00,0.244,57.1
980.00,0.233,58.5
981.00,0.226,59.4
982.00,0.219,60.4
983.00,0.221,60.1
984.00,0.221,60.1
985.00,0.225,59.6
986.00,0.229,59.1
987.00,0.233,58.5
988.00,0.238,57.8
989.00,0.242,57.3
990.00,0.242,57.3
991.00,0.241,57.4
992.00,0.236,58
993.00,0.227,59.3
994.00,0.224,59.8
995.00,0.223,59.8
996.00,0.223,59.9
997.00,0.223,59.9
998.00,0.223,59.9
999.00,0.222,59.9
"1,000.00",0.224,59.8
"1,001.00",0.226,59.4
"1,002.00",0.227,59.2
"1,003.00",0.228,59.1
"1,004.00",0.229,59
"1,005.00",0.23,58.9
"1,006.00",0.23,58.9
"1,007.00",0.23,58.9
"1,008.00",0.23,58.9
"1,009.00",0.23,58.9
"1,010.00",0.232,58.7
"1,011.00",0.232,58.7
"1,012.00",0.23,58.9
"1,013.00",0.229,59.1
"1,014.00",0.228,59.1
"1,015.00",0.228,59.2
"1,016.00",0.226,59.4
"1,017.00",0.228,59.2
"1,018.00",0.228,59.2
"1,019.00",0.228,59.2
"1,020.00",0.228,59.1
"1,021.00",0.229,59
"1,022.00",0.229,59
"1,023.00",0.234,58.3
"1,024.00",0.235,58.2
"1,025.00",0.236,58.1
"1,026.00",0.236,58
"1,027.00",0.237,58
"1,028.00",0.237,57.9
"1,029.00",0.238,57.8
"1,030.00",0.239,57.7
"1,031.00",0.239,57.7
"1,032.00",0.239,57.7
"1,033.00",0.242,57.3
"1,034.00",0.242,57.3
"1,035.00",0.242,57.3
"1,036.00",0.244,57
"1,037.00",0.244,57
"1,038.00",0.245,56.9
"1,039.00",0.246,56.8
"1,040.00",0.248,56.4
"1,041.00",0.249,56.4
"1,042.00",0.249,56.3
"1,043.00",0.25,56.3
"1,044.00",0.25,56.2
"1,045.00",0.25,56.2
"1,046.00",0.254,55.8
"1,047.00",0.256,55.4
"1,048.00",0.257,55.3
"1,049.00",0.253,55.8
"1,050.00",0.254,55.8
"1,051.00",0.254,55.8
"1,052.00",0.254,55.7
"1,053.00",0.254,55.7
"1,054.00",0.254,55.7
"1,055.00",0.254,55.7
"1,056.00",0.255,55.6
"1,057.00",0.255,55.5
"1,058.00",0.263,54.6
"1,059.00",0.267,54.1
"1,060.00",0.271,53.6
"1,061.00",0.273,53.3
"1,062.00",0.276,52.9
"1,063.00",0.277,52.8
"1,064.00",0.275,53.1
"1,065.00",0.275,53.1
"1,066.00",0.275,53.1
"1,067.00",0.277,52.8
"1,068.00",0.277,52.8
"1,069.00",0.281,52.3
"1,070.00",0.282,52.3
"1,071.00",0.282,52.2
"1,072.00",0.283,52.2
"1,073.00",0.283,52.1
"1,074.00",0.284,52
"1,075.00",0.287,51.7
"1,076.00",0.284,52
"1,077.00",0.283,52.1
"1,078.00",0.282,52.2
"1,079.00",0.282,52.2
"1,080.00",0.282,52.2
"1,081.00",0.283,52.1
"1,082.00",0.284,52
"1,083.00",0.285,51.8
"1,084.00",0.288,51.5
"1,085.00",0.286,51.7
"1,086.00",0.286,51.7
"1,087.00",0.286,51.7
"1,088.00",0.29,51.3
"1,089.00",0.289,51.4
"1,090.00",0.285,51.9
"1,091.00",0.286,51.7
"1,092.00",0.286,51.7
"1,093.00",0.287,51.6
"1,094.00",0.287,51.6
"1,095.00",0.288,51.5
"1,096.00",0.29,51.3
"1,097.00",0.29,51.3
"1,098.00",0.291,51.2
"1,099.00",0.294,50.8
"1,100.00",0.16,69.2
,,
,,
Heat Sweep 50C,,
Heat Sweep 50C 3,"Date : 20/07/2021, 16:02:19",
Wavelength (nm),ABS,%T
190.00,1.698,2
191.00,1.722,1.9
192.00,1.758,1.7
193.00,1.777,1.7
194.00,1.778,1.7
195.00,1.785,1.6
196.00,1.793,1.6
197.00,1.797,1.6
198.00,1.8,1.6
199.00,1.803,1.6
200.00,1.795,1.6
201.00,1.786,1.6
202.00,1.772,1.7
203.00,1.757,1.8
204.00,1.742,1.8
205.00,1.714,1.9
206.00,1.681,2.1
207.00,1.641,2.3
208.00,1.597,2.5
209.00,1.547,2.8
210.00,1.497,3.2
211.00,1.446,3.6
212.00,1.396,4
213.00,1.344,4.5
214.00,1.295,5.1
215.00,1.274,5.3
216.00,1.247,5.7
217.00,1.201,6.3
218.00,1.153,7
219.00,1.111,7.7
220.00,1.073,8.4
221.00,1.041,9.1
222.00,1.009,9.8
223.00,0.972,10.7
224.00,0.948,11.3
225.00,0.929,11.8
226.00,0.915,12.2
227.00,0.905,12.4
228.00,0.904,12.5
229.00,0.912,12.2
230.00,0.915,12.2
231.00,0.923,11.9
232.00,0.931,11.7
233.00,0.942,11.4
234.00,0.952,11.2
235.00,0.964,10.9
236.00,0.974,10.6
237.00,0.987,10.3
238.00,0.998,10
239.00,1.004,9.9
240.00,1.007,9.8
241.00,1.008,9.8
242.00,1.009,9.8
243.00,1.012,9.7
244.00,1.012,9.7
245.00,1,10
246.00,0.981,10.5
247.00,0.963,10.9
248.00,0.952,11.2
249.00,0.942,11.4
250.00,0.919,12
251.00,0.896,12.7
252.00,0.869,13.5
253.00,0.846,14.2
254.00,0.826,14.9
255.00,0.804,15.7
256.00,0.784,16.5
257.00,0.761,17.3
258.00,0.739,18.2
259.00,0.719,19.1
260.00,0.703,19.8
261.00,0.694,20.2
262.00,0.69,20.4
263.00,0.682,20.8
264.00,0.673,21.2
265.00,0.664,21.7
266.00,0.654,22.2
267.00,0.646,22.6
268.00,0.641,22.8
269.00,0.636,23.1
270.00,0.632,23.3
271.00,0.626,23.7
272.00,0.622,23.9
273.00,0.622,23.9
274.00,0.625,23.7
275.00,0.623,23.8
276.00,0.622,23.9
277.00,0.618,24.1
278.00,0.617,24.1
279.00,0.617,24.1
280.00,0.617,24.2
281.00,0.611,24.5
282.00,0.608,24.6
283.00,0.608,24.7
284.00,0.608,24.7
285.00,0.608,24.7
286.00,0.606,24.8
287.00,0.606,24.8
288.00,0.605,24.8
289.00,0.603,24.9
290.00,0.597,25.3
291.00,0.595,25.4
292.00,0.595,25.4
293.00,0.595,25.4
294.00,0.593,25.5
295.00,0.589,25.7
296.00,0.589,25.8
297.00,0.59,25.7
298.00,0.589,25.8
299.00,0.589,25.8
300.00,0.589,25.7
301.00,0.589,25.8
302.00,0.587,25.9
303.00,0.587,25.9
304.00,0.584,26.1
305.00,0.58,26.3
306.00,0.577,26.5
307.00,0.573,26.8
308.00,0.568,27
309.00,0.567,27.1
310.00,0.567,27.1
311.00,0.566,27.1
312.00,0.566,27.2
313.00,0.562,27.4
314.00,0.559,27.6
315.00,0.561,27.5
316.00,0.562,27.4
317.00,0.561,27.5
318.00,0.556,27.8
319.00,0.555,27.8
320.00,0.555,27.8
321.00,0.55,28.2
322.00,0.542,28.7
323.00,0.541,28.8
324.00,0.544,28.6
325.00,0.545,28.5
326.00,0.546,28.4
327.00,0.545,28.5
328.00,0.542,28.7
329.00,0.539,28.9
330.00,0.536,29.1
331.00,0.533,29.3
332.00,0.531,29.4
333.00,0.532,29.4
334.00,0.532,29.4
335.00,0.53,29.5
336.00,0.528,29.6
337.00,0.526,29.8
338.00,0.525,29.8
339.00,0.524,29.9
340.00,0.521,30.2
341.00,0.517,30.4
342.00,0.515,30.6
343.00,0.515,30.6
344.00,0.517,30.4
345.00,0.518,30.3
346.00,0.518,30.4
347.00,0.516,30.5
348.00,0.513,30.7
349.00,0.51,30.9
350.00,0.508,31
351.00,0.507,31.1
352.00,0.506,31.2
353.00,0.505,31.2
354.00,0.504,31.3
355.00,0.503,31.4
356.00,0.505,31.3
357.00,0.505,31.3
358.00,0.504,31.3
359.00,0.504,31.4
360.00,0.505,31.3
361.00,0.509,30.9
362.00,0.514,30.6
363.00,0.513,30.7
364.00,0.508,31
365.00,0.508,31
366.00,0.507,31.1
367.00,0.506,31.2
368.00,0.504,31.3
369.00,0.501,31.6
370.00,0.5,31.6
371.00,0.499,31.7
372.00,0.498,31.7
373.00,0.496,31.9
374.00,0.494,32.1
375.00,0.494,32.1
376.00,0.494,32
377.00,0.501,31.5
378.00,0.504,31.3
379.00,0.504,31.3
380.00,0.504,31.3
381.00,0.501,31.6
382.00,0.5,31.6
383.00,0.5,31.6
384.00,0.501,31.6
385.00,0.501,31.5
386.00,0.502,31.5
387.00,0.502,31.4
388.00,0.503,31.4
389.00,0.502,31.5
390.00,0.49,32.4
391.00,0.487,32.6
392.00,0.485,32.8
393.00,0.484,32.8
394.00,0.484,32.8
395.00,0.484,32.8
396.00,0.483,32.9
397.00,0.483,32.9
398.00,0.482,33
399.00,0.481,33.1
400.00,0.479,33.2
401.00,0.478,33.3
402.00,0.477,33.3
403.00,0.476,33.4
404.00,0.477,33.4
405.00,0.478,33.3
406.00,0.477,33.3
407.00,0.477,33.3
408.00,0.476,33.4
409.00,0.476,33.4
410.00,0.476,33.4
411.00,0.476,33.4
412.00,0.476,33.4
413.00,0.475,33.5
414.00,0.473,33.6
415.00,0.473,33.7
416.00,0.472,33.7
417.00,0.471,33.8
418.00,0.471,33.8
419.00,0.47,33.9
420.00,0.469,34
421.00,0.469,34
422.00,0.468,34
423.00,0.468,34
424.00,0.468,34
425.00,0.468,34
426.00,0.468,34
427.00,0.469,34
428.00,0.469,34
429.00,0.469,34
430.00,0.469,34
431.00,0.469,34
432.00,0.469,34
433.00,0.468,34
434.00,0.467,34.1
435.00,0.466,34.2
436.00,0.466,34.2
437.00,0.466,34.2
438.00,0.464,34.3
439.00,0.464,34.4
440.00,0.464,34.4
441.00,0.464,34.4
442.00,0.464,34.4
443.00,0.464,34.4
444.00,0.464,34.4
445.00,0.462,34.5
446.00,0.462,34.5
447.00,0.462,34.5
448.00,0.462,34.6
449.00,0.461,34.6
450.00,0.461,34.6
451.00,0.461,34.6
452.00,0.46,34.7
453.00,0.459,34.7
454.00,0.459,34.8
455.00,0.458,34.8
456.00,0.457,34.9
457.00,0.456,35
458.00,0.454,35.1
459.00,0.453,35.3
460.00,0.453,35.3
461.00,0.453,35.3
462.00,0.453,35.2
463.00,0.452,35.3
464.00,0.452,35.3
465.00,0.45,35.5
466.00,0.45,35.5
467.00,0.45,35.5
468.00,0.449,35.6
469.00,0.449,35.6
470.00,0.449,35.6
471.00,0.447,35.8
472.00,0.445,35.9
473.00,0.444,36
474.00,0.441,36.2
475.00,0.44,36.3
476.00,0.44,36.3
477.00,0.439,36.4
478.00,0.438,36.5
479.00,0.437,36.6
480.00,0.432,37
481.00,0.427,37.4
482.00,0.423,37.8
483.00,0.422,37.8
484.00,0.425,37.6
485.00,0.429,37.3
486.00,0.428,37.3
487.00,0.427,37.4
488.00,0.427,37.4
489.00,0.427,37.4
490.00,0.423,37.7
491.00,0.422,37.9
492.00,0.423,37.8
493.00,0.424,37.7
494.00,0.421,37.9
495.00,0.418,38.2
496.00,0.417,38.3
497.00,0.416,38.3
498.00,0.416,38.3
499.00,0.415,38.4
500.00,0.415,38.5
501.00,0.412,38.7
502.00,0.41,38.9
503.00,0.409,39
504.00,0.408,39.1
505.00,0.407,39.1
506.00,0.406,39.2
507.00,0.404,39.5
508.00,0.402,39.6
509.00,0.4,39.8
510.00,0.399,39.9
511.00,0.399,39.9
512.00,0.399,39.9
513.00,0.398,40
514.00,0.397,40.1
515.00,0.395,40.2
516.00,0.393,40.4
517.00,0.393,40.5
518.00,0.393,40.5
519.00,0.393,40.5
520.00,0.393,40.5
521.00,0.389,40.8
522.00,0.387,41
523.00,0.384,41.3
524.00,0.382,41.5
525.00,0.379,41.8
526.00,0.376,42
527.00,0.377,42
528.00,0.381,41.6
529.00,0.385,41.2
530.00,0.384,41.3
531.00,0.379,41.7
532.00,0.379,41.8
533.00,0.38,41.7
534.00,0.379,41.7
535.00,0.377,41.9
536.00,0.375,42.1
537.00,0.373,42.4
538.00,0.368,42.8
539.00,0.366,43
540.00,0.366,43.1
541.00,0.37,42.7
542.00,0.371,42.6
543.00,0.371,42.6
544.00,0.369,42.7
545.00,0.368,42.8
546.00,0.368,42.9
547.00,0.368,42.9
548.00,0.368,42.8
549.00,0.364,43.2
550.00,0.363,43.4
551.00,0.361,43.6
552.00,0.361,43.6
553.00,0.361,43.5
554.00,0.36,43.6
555.00,0.359,43.8
556.00,0.358,43.8
557.00,0.357,44
558.00,0.355,44.2
559.00,0.354,44.3
560.00,0.348,44.9
561.00,0.345,45.2
562.00,0.343,45.4
563.00,0.341,45.6
564.00,0.339,45.8
565.00,0.339,45.8
566.00,0.339,45.8
567.00,0.339,45.8
568.00,0.337,46
569.00,0.337,46
570.00,0.335,46.2
571.00,0.334,46.3
572.00,0.335,46.3
573.00,0.335,46.3
574.00,0.335,46.3
575.00,0.334,46.3
576.00,0.335,46.2
577.00,0.335,46.2
578.00,0.335,46.3
579.00,0.333,46.5
580.00,0.331,46.7
581.00,0.33,46.7
582.00,0.33,46.8
583.00,0.329,46.9
584.00,0.328,47
585.00,0.327,47.1
586.00,0.326,47.2
587.00,0.325,47.3
588.00,0.324,47.4
589.00,0.324,47.5
590.00,0.324,47.5
591.00,0.323,47.5
592.00,0.322,47.6
593.00,0.321,47.8
594.00,0.32,47.9
595.00,0.319,48
596.00,0.319,48
597.00,0.32,47.9
598.00,0.32,47.8
599.00,0.32,47.8
600.00,0.319,48
601.00,0.317,48.2
602.00,0.315,48.4
603.00,0.314,48.5
604.00,0.314,48.6
605.00,0.314,48.5
606.00,0.315,48.4
607.00,0.315,48.4
608.00,0.314,48.5
609.00,0.314,48.5
610.00,0.314,48.5
611.00,0.314,48.5
612.00,0.314,48.5
613.00,0.313,48.6
614.00,0.313,48.7
615.00,0.311,48.9
616.00,0.311,48.9
617.00,0.31,49
618.00,0.31,49
619.00,0.309,49.1
620.00,0.308,49.2
621.00,0.307,49.3
622.00,0.307,49.3
623.00,0.305,49.5
624.00,0.304,49.7
625.00,0.304,49.7
626.00,0.304,49.7
627.00,0.304,49.6
628.00,0.304,49.6
629.00,0.304,49.6
630.00,0.303,49.7
631.00,0.303,49.8
632.00,0.302,49.9
633.00,0.301,50
634.00,0.301,50
635.00,0.301,50
636.00,0.301,50
637.00,0.3,50.1
638.00,0.3,50.1
639.00,0.299,50.2
640.00,0.299,50.3
641.00,0.298,50.3
642.00,0.297,50.5
643.00,0.296,50.5
644.00,0.296,50.6
645.00,0.295,50.7
646.00,0.294,50.8
647.00,0.294,50.8
648.00,0.294,50.8
649.00,0.294,50.8
650.00,0.293,50.9
651.00,0.292,51
652.00,0.292,51
653.00,0.292,51
654.00,0.292,51.1
655.00,0.291,51.1
656.00,0.29,51.3
657.00,0.288,51.5
658.00,0.288,51.5
659.00,0.288,51.5
660.00,0.288,51.5
661.00,0.289,51.4
662.00,0.29,51.3
663.00,0.29,51.3
664.00,0.289,51.4
665.00,0.289,51.4
666.00,0.288,51.5
667.00,0.287,51.7
668.00,0.286,51.8
669.00,0.286,51.8
670.00,0.285,51.8
671.00,0.285,51.8
672.00,0.285,51.9
673.00,0.285,51.9
674.00,0.284,52
675.00,0.284,52.1
676.00,0.282,52.2
677.00,0.282,52.3
678.00,0.281,52.4
679.00,0.28,52.5
680.00,0.28,52.5
681.00,0.28,52.4
682.00,0.28,52.4
683.00,0.281,52.4
684.00,0.281,52.4
685.00,0.281,52.4
686.00,0.28,52.4
687.00,0.28,52.5
688.00,0.28,52.5
689.00,0.279,52.6
690.00,0.279,52.7
691.00,0.278,52.7
692.00,0.277,52.8
693.00,0.277,52.9
694.00,0.276,52.9
695.00,0.275,53.1
696.00,0.273,53.3
697.00,0.272,53.5
698.00,0.272,53.5
699.00,0.272,53.5
700.00,0.272,53.4
701.00,0.275,53.1
702.00,0.275,53.1
703.00,0.276,53
704.00,0.275,53.1
705.00,0.274,53.2
706.00,0.273,53.3
707.00,0.272,53.5
708.00,0.271,53.5
709.00,0.271,53.6
710.00,0.271,53.6
711.00,0.271,53.6
712.00,0.271,53.6
713.00,0.27,53.7
714.00,0.269,53.8
715.00,0.269,53.9
716.00,0.269,53.8
717.00,0.269,53.8
718.00,0.269,53.8
719.00,0.269,53.8
720.00,0.269,53.9
721.00,0.268,53.9
722.00,0.268,53.9
723.00,0.267,54.1
724.00,0.267,54.1
725.00,0.267,54.1
726.00,0.267,54.1
727.00,0.266,54.1
728.00,0.265,54.3
729.00,0.265,54.3
730.00,0.265,54.3
731.00,0.265,54.4
732.00,0.264,54.5
733.00,0.264,54.5
734.00,0.264,54.5
735.00,0.264,54.5
736.00,0.264,54.5
737.00,0.263,54.5
738.00,0.262,54.7
739.00,0.262,54.7
740.00,0.262,54.7
741.00,0.262,54.8
742.00,0.261,54.8
743.00,0.261,54.8
744.00,0.261,54.8
745.00,0.261,54.8
746.00,0.261,54.9
747.00,0.259,55
748.00,0.259,55
749.00,0.259,55.1
750.00,0.259,55.1
751.00,0.259,55.1
752.00,0.259,55.1
753.00,0.259,55.1
754.00,0.259,55.1
755.00,0.259,55.1
756.00,0.259,55.1
757.00,0.258,55.2
758.00,0.258,55.2
759.00,0.258,55.2
760.00,0.258,55.2
761.00,0.258,55.2
762.00,0.258,55.2
763.00,0.256,55.5
764.00,0.255,55.6
765.00,0.255,55.6
766.00,0.255,55.6
767.00,0.255,55.5
768.00,0.256,55.5
769.00,0.256,55.5
770.00,0.256,55.5
771.00,0.255,55.5
772.00,0.256,55.5
773.00,0.256,55.5
774.00,0.255,55.6
775.00,0.254,55.7
776.00,0.254,55.7
777.00,0.254,55.7
778.00,0.254,55.7
779.00,0.254,55.7
780.00,0.254,55.7
781.00,0.254,55.7
782.00,0.254,55.8
783.00,0.254,55.8
784.00,0.253,55.8
785.00,0.253,55.8
786.00,0.252,56
787.00,0.251,56.1
788.00,0.251,56.1
789.00,0.25,56.2
790.00,0.249,56.4
791.00,0.249,56.4
792.00,0.249,56.4
793.00,0.249,56.4
794.00,0.249,56.3
795.00,0.249,56.4
796.00,0.249,56.4
797.00,0.249,56.4
798.00,0.249,56.4
799.00,0.248,56.5
800.00,0.248,56.5
801.00,0.247,56.7
802.00,0.245,56.9
803.00,0.245,56.9
804.00,0.244,57
805.00,0.244,57
806.00,0.243,57.1
807.00,0.242,57.2
808.00,0.242,57.3
809.00,0.242,57.3
810.00,0.241,57.4
811.00,0.241,57.4
812.00,0.241,57.4
813.00,0.241,57.4
814.00,0.241,57.5
815.00,0.241,57.5
816.00,0.24,57.5
817.00,0.241,57.4
818.00,0.239,57.7
819.00,0.238,57.8
820.00,0.236,58.1
821.00,0.233,58.4
822.00,0.228,59.2
823.00,0.227,59.3
824.00,0.228,59.1
825.00,0.23,58.9
826.00,0.231,58.8
827.00,0.231,58.7
828.00,0.231,58.7
829.00,0.233,58.5
830.00,0.236,58.1
831.00,0.237,58
832.00,0.237,58
833.00,0.236,58.1
834.00,0.231,58.7
835.00,0.231,58.8
836.00,0.234,58.4
837.00,0.234,58.3
838.00,0.234,58.3
839.00,0.236,58.1
840.00,0.236,58.1
841.00,0.234,58.4
842.00,0.234,58.4
843.00,0.234,58.4
844.00,0.236,58.1
845.00,0.236,58.1
846.00,0.237,57.9
847.00,0.237,57.9
848.00,0.237,58
849.00,0.237,58
850.00,0.236,58.1
851.00,0.235,58.3
852.00,0.234,58.4
853.00,0.234,58.3
854.00,0.232,58.6
855.00,0.232,58.7
856.00,0.232,58.6
857.00,0.231,58.8
858.00,0.231,58.7
859.00,0.233,58.5
860.00,0.233,58.5
861.00,0.233,58.5
862.00,0.233,58.5
863.00,0.233,58.5
864.00,0.233,58.5
865.00,0.23,58.9
866.00,0.23,59
867.00,0.23,58.9
868.00,0.23,58.9
869.00,0.23,58.9
870.00,0.227,59.3
871.00,0.229,59
872.00,0.229,59
873.00,0.229,59
874.00,0.228,59.1
875.00,0.226,59.4
876.00,0.226,59.4
877.00,0.226,59.4
878.00,0.225,59.5
879.00,0.224,59.7
880.00,0.222,60
881.00,0.22,60.2
882.00,0.22,60.2
883.00,0.224,59.8
884.00,0.228,59.2
885.00,0.228,59.2
886.00,0.227,59.3
887.00,0.226,59.4
888.00,0.223,59.8
889.00,0.223,59.9
890.00,0.223,59.9
891.00,0.222,59.9
892.00,0.222,59.9
893.00,0.222,59.9
894.00,0.222,59.9
895.00,0.221,60.1
896.00,0.221,60.1
897.00,0.222,60
898.00,0.221,60.1
899.00,0.221,60.1
900.00,0.221,60.1
901.00,0.221,60.2
902.00,0.221,60.2
903.00,0.22,60.2
904.00,0.218,60.5
905.00,0.218,60.5
906.00,0.22,60.3
907.00,0.219,60.3
908.00,0.22,60.3
909.00,0.22,60.3
910.00,0.219,60.4
911.00,0.219,60.4
912.00,0.219,60.5
913.00,0.219,60.4
914.00,0.219,60.4
915.00,0.218,60.6
916.00,0.217,60.7
917.00,0.217,60.6
918.00,0.217,60.6
919.00,0.218,60.6
920.00,0.219,60.3
921.00,0.219,60.3
922.00,0.218,60.5
923.00,0.217,60.6
924.00,0.217,60.7
925.00,0.217,60.7
926.00,0.217,60.7
927.00,0.217,60.7
928.00,0.217,60.7
929.00,0.216,60.8
930.00,0.216,60.8
931.00,0.216,60.8
932.00,0.216,60.8
933.00,0.216,60.8
934.00,0.216,60.8
935.00,0.216,60.9
936.00,0.216,60.9
937.00,0.216,60.9
938.00,0.216,60.9
939.00,0.216,60.8
940.00,0.216,60.8
941.00,0.216,60.8
942.00,0.215,60.9
943.00,0.215,61
944.00,0.214,61
945.00,0.214,61.1
946.00,0.214,61.1
