wavelength,blank,S6 Preheat,S6 Irrad 9,S6 Post irrad Day 1,S6 Post Irrad Day 3,S6 Post Irrad Day 5
305,98,26.33333333,2.825,3.242857143,4.2,4.7
306,98,26.53333333,2.9,3.328571429,4.2,4.8
307,98,26.6,2.95,3.428571429,4.3,5
308,98,26.93333333,3,3.514285714,4.4,5.1
309,98.1,27,3.075,3.557142857,4.6,5.2
310,98.1,27,3.1,3.642857143,4.6,5.3
311,98.2,27.03333333,3.15,3.728571429,4.7,5.4
312,98.2,27.06666667,3.225,3.785714286,4.8,5.5
313,98.1,27.23333333,3.325,3.942857143,4.9,5.6
314,98.1,27.33333333,3.375,4.042857143,5.1,5.8
315,98,27.23333333,3.45,4.128571429,5.2,5.9
316,98,27.16666667,3.525,4.214285714,5.3,6
317,97.9,27.23333333,3.625,4.357142857,5.4,6.2
318,97.9,27.5,3.75,4.528571429,5.6,6.4
319,97.9,27.6,3.85,4.657142857,5.8,6.6
320,97.9,27.6,3.95,4.814285714,5.9,6.8
321,97.9,27.93333333,4.15,5.028571429,6.1,7
322,98,28.33333333,4.325,5.257142857,6.4,7.3
323,98,28.43333333,4.45,5.442857143,6.7,7.6
324,98,28.3,4.55,5.542857143,6.9,7.8
325,98,28.2,4.65,5.685714286,7,7.9
326,98.1,28.1,4.75,5.828571429,7.1,8.1
327,98.1,28.1,4.925,6.028571429,7.3,8.3
328,98,28.2,5.1,6.228571429,7.5,8.6
329,98,28.4,5.3,6.485714286,7.8,8.8
330,98,28.7,5.5,6.728571429,8.1,9.2
331,98,28.9,5.7,6.985714286,8.4,9.5
332,98,28.93333333,5.9,7.185714286,8.6,9.8
333,98,28.83333333,6,7.342857143,8.8,10
334,97.9,28.83333333,6.15,7.542857143,9,10.2
335,98,28.86666667,6.375,7.771428571,9.2,10.4
336,98,29.03333333,6.6,8.014285714,9.4,10.7
337,98.1,29.1,6.8,8.228571429,9.7,11
338,98.1,29.13333333,6.975,8.471428571,10,11.3
339,98.1,29.26666667,7.2,8.7,10.2,11.6
340,98.1,29.5,7.45,9,10.5,11.9
341,98.1,29.73333333,7.725,9.3,10.8,12.2
342,98.1,29.86666667,7.95,9.6,11.1,12.6
343,98,29.86666667,8.15,9.8,11.5,13
344,98,29.6,8.225,9.914285714,11.6,13.1
345,97.9,29.4,8.375,10.07142857,11.7,13.2
346,97.9,29.43333333,8.6,10.31428571,11.9,13.3
347,97.9,29.7,8.825,10.6,12.1,13.6
348,97.9,29.83333333,9.1,10.88571429,12.4,14
349,97.9,29.9,9.325,11.18571429,12.7,14.3
350,97.8,30.03333333,9.6,11.45714286,13,14.6
351,97.9,30.36666667,9.9,11.75714286,13.3,14.9
352,97.9,30.4,10.1,12,13.6,15.3
353,97.9,30.46666667,10.3,12.28571429,13.9,15.6
354,97.9,30.53333333,10.525,12.55714286,14.1,15.8
355,97.4,30.5,10.7,12.74285714,14.4,16
356,97.4,30.43333333,10.725,12.8,14.5,16.2
357,97.4,30.43333333,10.875,12.95714286,14.5,16.3
358,97.4,30.53333333,11.125,13.28571429,14.8,16.4
359,97.5,30.6,11.375,13.5,15.1,16.9
360,97.4,30.3,11.375,13.5,15.2,17.1
361,97.4,29.83333333,11.375,13.44285714,15.2,16.9
362,97.4,29.63333333,11.375,13.45714286,15.1,16.7
363,97.4,29.63333333,11.5,13.61428571,15.1,16.7
364,97.3,29.7,11.775,13.91428571,15.3,16.9
365,97.3,29.76666667,12.075,14.18571429,15.5,17.3
366,97.3,29.9,12.275,14.37142857,15.8,17.5
367,97.5,30,12.475,14.57142857,15.9,17.7
368,97.5,30.16666667,12.7,14.81428571,16.2,17.9
369,97.4,30.23333333,12.95,15.07142857,16.4,18.2
370,97.4,30.33333333,13.1,15.21428571,16.7,18.4
371,97.5,30.33333333,13.3,15.35714286,16.8,18.6
372,97.6,30.43333333,13.45,15.6,17,18.7
373,97.6,30.6,13.7,15.84285714,17.2,19
374,97.6,30.63333333,13.925,16.11428571,17.5,19.3
375,97.5,30.63333333,14.025,16.12857143,17.8,19.4
376,97.2,30.3,13.975,16.12857143,17.8,19.5
377,97.2,29.93333333,13.925,16.07142857,17.7,19.3
378,97.2,29.66666667,13.925,16.11428571,17.6,19.1
379,97.2,29.66666667,14.15,16.21428571,17.6,19.1
380,97.2,29.76666667,14.375,16.47142857,17.7,19.3
381,97.1,29.86666667,14.6,16.7,17.8,19.6
382,97.1,29.86666667,14.75,16.82857143,18,19.9
383,97.1,29.86666667,14.825,16.84285714,18.1,19.9
384,97.1,29.83333333,14.925,16.91428571,18.2,19.9
385,97.1,29.83333333,14.95,17.04285714,18.3,20.1
386,97.1,29.8,15.05,17.12857143,18.4,20
387,97.2,29.8,15.2,17.2,18.4,20.1
388,97.2,29.8,15.4,17.44285714,18.6,20.2
389,97.2,29.76666667,15.6,17.64285714,18.7,20.5
390,97.1,30.3,16.1,18.11428571,19.4,21.3
391,97.1,30.56666667,16.2,18.38571429,19.8,21.4
392,96.8,30.7,16.375,18.54285714,19.9,21.6
393,96.9,30.76666667,16.525,18.67142857,19.9,21.7
394,97.4,30.76666667,16.575,18.75714286,19.9,21.8
395,97.5,30.8,16.7,18.81428571,19.9,21.8
396,97.6,30.93333333,16.9,18.97142857,20,21.9
397,97.6,30.93333333,17.075,19.12857143,20.2,22
398,97.5,30.96666667,17.225,19.25714286,20.4,22.1
399,97.5,31.03333333,17.35,19.37142857,20.4,22.3
400,97.5,31.13333333,17.525,19.54285714,20.6,22.4
401,97.4,31.2,17.7,19.74285714,20.8,22.5
402,97.3,31.33333333,17.8,19.92857143,21,22.7
403,97.3,31.33333333,17.875,19.97142857,21.1,22.8
404,97.3,31.33333333,17.9,19.95714286,21.1,22.8
405,97.4,31.26666667,17.925,19.97142857,21.1,22.8
406,97.4,31.23333333,18,20.01428571,21.1,22.8
407,97.7,31.23333333,18.1,20.17142857,21.1,22.8
408,97.7,31.23333333,18.3,20.34285714,21.2,23
409,97.7,31.23333333,18.4,20.44285714,21.4,23.2
410,97.7,31.23333333,18.475,20.45714286,21.4,23.2
411,97.7,31.23333333,18.5,20.45714286,21.4,23.2
412,97.7,31.23333333,18.625,20.61428571,21.5,23.3
413,97.7,31.26666667,18.75,20.72857143,21.6,23.4
414,97.7,31.26666667,18.85,20.81428571,21.8,23.5
415,97.7,31.3,19.025,20.9,21.8,23.6
416,97.7,31.3,19.125,21,21.9,23.7
417,97.8,31.43333333,19.25,21.17142857,22,23.8
418,97.8,31.46666667,19.45,21.28571429,22.1,23.9
419,97.8,31.56666667,19.575,21.4,22.3,24.1
420,98,31.6,19.625,21.44285714,22.4,24.2
421,98,31.56666667,19.625,21.44285714,22.4,24.2
422,98,31.5,19.65,21.47142857,22.4,24.2
423,98,31.5,19.7,21.54285714,22.4,24.2
424,97.9,31.46666667,19.75,21.6,22.4,24.2
425,98,31.43333333,19.8,21.61428571,22.5,24.2
426,97.9,31.36666667,19.875,21.64285714,22.5,24.3
427,98,31.33333333,19.9,21.68571429,22.5,24.3
428,97.9,31.33333333,19.975,21.81428571,22.6,24.3
429,98,31.33333333,20.05,21.84285714,22.6,24.3
430,97.9,31.3,20.15,21.94285714,22.7,24.4
431,97.9,31.3,20.175,22,22.8,24.4
432,97.9,31.33333333,20.3,22.08571429,22.9,24.5
433,97.7,31.33333333,20.375,22.22857143,23,24.6
434,97.8,31.4,20.525,22.3,23.1,24.7
435,98,31.43333333,20.575,22.34285714,23.1,24.7
436,98,31.43333333,20.675,22.41428571,23.2,24.8
437,97.9,31.46666667,20.75,22.51428571,23.3,24.9
438,97.9,31.56666667,20.875,22.62857143,23.4,25
439,98.1,31.6,20.975,22.72857143,23.5,25.1
440,98.1,31.63333333,21.075,22.82857143,23.6,25.2
441,98.1,31.66666667,21.1,22.87142857,23.7,25.2
442,98,31.6,21.125,22.88571429,23.7,25.2
443,98,31.6,21.225,22.92857143,23.7,25.2
444,98,31.66666667,21.3,23.07142857,23.8,25.3
445,97.9,31.7,21.425,23.17142857,23.9,25.4
446,98,31.8,21.5,23.24285714,23.9,25.5
447,98,31.8,21.575,23.28571429,24,25.6
448,98,31.8,21.6,23.32857143,24.1,25.6
449,98,31.8,21.625,23.35714286,24.1,25.6
450,98,31.8,21.725,23.45714286,24.1,25.6
451,98,31.9,21.8,23.54285714,24.2,25.7
452,98,31.9,21.85,23.57142857,24.2,25.8
453,98,31.9,21.875,23.62857143,24.3,25.9
454,98,31.9,21.95,23.68571429,24.3,25.9
455,98,31.9,22.025,23.78571429,24.4,25.9
456,98,32.03333333,22.175,23.88571429,24.5,26
457,98,32.13333333,22.325,24.05714286,24.6,26.2
458,98,32.36666667,22.525,24.21428571,24.8,26.3
459,98,32.43333333,22.6,24.28571429,24.9,26.5
460,98.1,32.4,22.575,24.27142857,25,26.5
461,98,32.3,22.525,24.24285714,24.9,26.5
462,98,32.33333333,22.525,24.25714286,24.9,26.5
463,97.9,32.36666667,22.625,24.34285714,24.9,26.5
464,97.9,32.4,22.725,24.47142857,25,26.6
465,97.9,32.5,22.8,24.55714286,25.1,26.7
466,97.8,32.56666667,22.85,24.61428571,25.1,26.7
467,97.8,32.6,22.95,24.67142857,25.2,26.8
468,97.8,32.66666667,22.95,24.77142857,25.3,26.8
469,97.8,32.7,23.075,24.82857143,25.3,26.9
470,97.8,32.76666667,23.1,24.92857143,25.4,26.9
471,97.8,32.86666667,23.175,24.92857143,25.5,27
472,97.8,33.06666667,23.325,25.07142857,25.6,27.1
473,97.9,33.2,23.425,25.15714286,25.7,27.2
474,97.9,33.2,23.5,25.24285714,25.7,27.3
475,97.9,33.33333333,23.675,25.31428571,25.8,27.4
476,97.9,33.46666667,23.725,25.42857143,26,27.5
477,97.9,33.56666667,23.875,25.51428571,26.1,27.6
478,97.9,33.63333333,23.975,25.62857143,26.1,27.7
479,97.9,33.83333333,24.1,25.75714286,26.2,27.9
480,97.9,34.1,24.325,25.95714286,26.4,28.1
481,98,34.53333333,24.725,26.28571429,26.6,28.3
482,97.9,34.86666667,25,26.61428571,26.9,28.7
483,98,34.9,25.075,26.64285714,27.2,29
484,98.1,34.63333333,24.725,26.37142857,27.2,29
485,98.1,34.4,24.575,26.2,26.9,28.5
486,98,34.46666667,24.7,26.3,26.8,28.4
487,98,34.56666667,24.775,26.41428571,26.9,28.6
488,98,34.56666667,24.75,26.41428571,26.9,28.7
489,98,34.63333333,24.825,26.45714286,26.9,28.6
490,97.9,34.9,25.025,26.71428571,27,28.7
491,97.9,34.96666667,25.075,26.75714286,27.3,29
492,97.9,34.86666667,24.975,26.65714286,27.3,29
493,97.9,34.8,24.975,26.67142857,27.2,28.8
494,97.9,35.03333333,25.225,26.87142857,27.2,28.9
495,97.8,35.26666667,25.425,27.05714286,27.4,29.1
496,97.8,35.4,25.55,27.2,27.7,29.3
497,97.8,35.46666667,25.55,27.21428571,27.7,29.3
498,97.8,35.53333333,25.55,27.22857143,27.8,29.4
499,97.8,35.6,25.625,27.3,27.8,29.4
500,97.8,35.7,25.75,27.45714286,27.9,29.5
501,97.8,35.86666667,25.9,27.6,28,29.6
502,97.8,36.03333333,26,27.7,28.2,29.8
503,97.8,36.13333333,26.075,27.8,28.2,29.9
504,97.8,36.2,26.125,27.87142857,28.3,30
