wavelength,S10 Irrad 1,S10 Irrad 2,S10 Irrad 3,S10 Irrad 4,S10 Irrad 5,S10 Irrad 6,S10 Irrad 7,S10 Irrad 8,S10 Postheat,S10 Preheat,blank
233,1.56975,1.94675,2.23025,2.4486,2.38625,2.3762499999999998,2.3975,2.375,0.9714999999999999,0.9299999999999999,0.005
234,1.5382500000000001,1.88625,2.15,2.3606000000000003,2.29825,2.291,2.31225,2.285,0.9815,0.93925,0.005
235,1.50775,1.83,2.07475,2.275,2.21475,2.20875,2.22675,2.199,0.993,0.9514999999999999,0.005
236,1.483,1.7805,2.009,2.1986000000000003,2.1414999999999997,2.13375,2.151,2.127,1.005,0.9635,0.005
237,1.4612500000000002,1.736,1.9485000000000001,2.128,2.074,2.0677499999999998,2.08225,2.056,1.01675,0.97525,0.005
238,1.4420000000000002,1.6955,1.8905,2.0604000000000005,2.01025,2.0045,2.0155,1.991,1.02725,0.9857499999999999,0.005
239,1.42125,1.6549999999999998,1.83425,1.9942,1.9475,1.9405,1.9505,1.924,1.036,0.9942500000000001,0.005
240,1.3994999999999997,1.61225,1.778,1.9280000000000002,1.8815,1.8744999999999998,1.88325,1.857,1.0422500000000001,0.99975,0.006
241,1.37825,1.5724999999999998,1.7262499999999998,1.8674,1.821,1.81375,1.8212499999999998,1.797,1.044,1.001,0.006
242,1.35975,1.5385,1.681,1.8146,1.7715,1.7645,1.7702499999999999,1.746,1.0442500000000001,1.00275,0.006
243,1.34475,1.51425,1.64675,1.7722000000000002,1.7327500000000002,1.7252500000000002,1.7305000000000001,1.705,1.04575,1.004,0.005
244,1.33075,1.491,1.6165,1.7361999999999997,1.6985000000000001,1.6920000000000002,1.6980000000000002,1.667,1.046,1.0045,0.005
245,1.31175,1.46,1.57825,1.6924,1.6557499999999998,1.6487500000000002,1.6540000000000001,1.626,1.0414999999999999,0.9989999999999999,0.005
246,1.28375,1.4209999999999998,1.53075,1.6398,1.60575,1.5965,1.6012500000000003,1.575,1.0230000000000001,0.982,0.005
247,1.259,1.388,1.4895,1.5942,1.5617500000000002,1.5519999999999998,1.55575,1.531,1.0065,0.9632499999999999,0.004
248,1.24075,1.365,1.4620000000000002,1.5636,1.5317499999999997,1.5214999999999999,1.5292500000000002,1.501,0.9924999999999999,0.949,0.003
249,1.2235,1.34325,1.4405000000000001,1.5366,1.5074999999999998,1.4977500000000001,1.5042499999999999,1.475,0.97875,0.9404999999999999,0.003
250,1.20425,1.3217500000000002,1.414,1.5073999999999999,1.4820000000000002,1.4705,1.4762499999999998,1.445,0.9634999999999999,0.9245000000000001,0.003
251,1.17975,1.2947499999999998,1.3855,1.475,1.44875,1.4405,1.44275,1.413,0.943,0.9025000000000001,0.003
252,1.1545,1.266,1.3519999999999999,1.4378000000000002,1.414,1.4092500000000001,1.408,1.376,0.9175000000000001,0.87575,0.003
253,1.12925,1.24075,1.3245,1.4065999999999999,1.3837499999999998,1.3784999999999998,1.3772499999999999,1.346,0.89275,0.85075,0.004
254,1.10975,1.219,1.3007499999999999,1.3818,1.36,1.355,1.35225,1.321,0.8714999999999999,0.8302499999999999,0.004
255,1.09,1.1977499999999999,1.2774999999999999,1.3578000000000001,1.3367499999999999,1.3305,1.328,1.296,0.85075,0.81025,0.004
256,1.0702500000000001,1.1764999999999999,1.2550000000000001,1.3324000000000003,1.3125,1.30675,1.3045,1.273,0.8307499999999999,0.78925,0.004
257,1.04825,1.1544999999999999,1.2315,1.3077999999999999,1.2882500000000001,1.2827499999999998,1.28075,1.249,0.809,0.76675,0.005
258,1.03,1.135,1.2085000000000001,1.286,1.26525,1.2605,1.2570000000000001,1.228,0.7872500000000001,0.74525,0.005
259,1.0099999999999998,1.11525,1.18675,1.265,1.242,1.237,1.23475,1.208,0.766,0.7242500000000001,0.006
260,0.99275,1.098,1.17025,1.2444000000000002,1.2235,1.2180000000000002,1.21625,1.189,0.7475,0.70575,0.005
261,0.98,1.08725,1.15675,1.2338,1.2102499999999998,1.2080000000000002,1.205,1.176,0.73525,0.696,0.003
262,0.9754999999999999,1.0812499999999998,1.14975,1.2247999999999999,1.20675,1.20225,1.2015,1.173,0.7304999999999999,0.68975,0.003
