wavelength,Ud Qb Fibers
592,72.52499999999999
593,72.9
594,73.025
595,73.5
596,73.89999999999999
597,74.05
598,74.125
599,74.19999999999999
600,74.275
601,74.325
602,74.30000000000001
603,74.30000000000001
604,74.30000000000001
605,74.125
606,73.95
607,73.525
608,73.175
609,72.55
610,71.6
611,68.55
612,65.125
613,66.32499999999999
614,70.0
615,72.75
616,75.275
617,75.85
618,76.075
619,76.64999999999999
620,76.675
621,76.9
622,77.825
623,76.625
624,72.75
625,71.75
626,72.89999999999999
627,74.0
628,75.02499999999999
629,76.375
630,77.0
631,76.39999999999999
632,75.3
633,75.17500000000001
634,75.10000000000001
635,74.95
636,74.97500000000001
637,74.95
638,74.67500000000001
639,74.475
640,74.30000000000001
641,74.2
642,74.175
643,74.0
644,73.57499999999999
645,73.425
646,73.44999999999999
647,73.42499999999998
648,73.275
649,73.15
650,72.875
651,72.64999999999999
652,72.64999999999999
653,72.6
654,72.42500000000001
655,72.375
656,72.275
657,72.225
658,72.225
659,72.29999999999998
660,72.29999999999998
661,72.32499999999999
662,72.30000000000001
663,72.32499999999999
664,72.32499999999999
665,72.375
666,72.3
667,72.3
668,72.25
669,72.4
670,72.35
671,72.375
672,72.35
673,72.225
674,72.05
675,71.725
676,70.7
677,68.60000000000001
678,64.9
679,63.35
680,67.275
681,71.85000000000001
682,73.65
683,74.75
684,77.22500000000001
685,79.625
686,79.625
687,78.15
688,76.525
689,75.425
690,74.89999999999999
691,74.07499999999999
692,73.07499999999999
693,71.42500000000001
694,68.375
695,68.825
696,72.025
697,73.325
698,74.32499999999999
699,75.7
700,76.675
701,76.725
702,75.69999999999999
703,74.02499999999999
704,70.3
705,67.025
706,69.925
707,73.825
708,74.525
709,75.575
710,77.52499999999999
711,77.97500000000001
712,76.5
713,74.95
714,73.7
715,72.6
716,70.95
717,66.65
718,64.55000000000001
719,68.7
720,72.125
721,73.95
722,75.35000000000001
723,78.025
724,78.925
725,77.82499999999999
726,76.6
727,75.67500000000001
728,75.42500000000001
729,74.875
730,74.5
731,73.875
732,73.675
733,73.125
734,73.025
735,72.875
736,72.75
737,72.44999999999999
738,72.1
739,71.825
740,71.0
741,69.6
742,68.925
743,69.27499999999999
744,70.225
745,70.7
746,71.475
747,72.19999999999999
748,72.42500000000001
749,72.325
750,71.95
751,72.025
752,72.05000000000001
753,72.025
754,71.8
755,71.575
756,71.1
757,71.05
758,71.55
759,72.25
760,72.55
761,72.8
762,73.225
763,73.42500000000001
764,73.32499999999999
765,73.225
766,72.9
767,72.82499999999999
768,72.65
769,72.6
770,72.55000000000001
771,72.425
772,71.92500000000001
773,71.75
774,71.7
775,71.075
776,70.8
777,70.625
778,70.625
779,70.675
780,70.75
781,70.925
782,71.5
783,71.575
784,71.57499999999999
785,71.32499999999999
786,70.75
787,68.975
788,65.575
789,62.35
790,65.275
791,71.425
792,72.67500000000001
793,75.325
794,76.825
795,79.25
796,78.9
797,76.525
798,74.275
799,72.225
800,71.5
801,71.30000000000001
802,69.75
803,64.65
804,61.075
805,65.55
806,71.55
807,73.22500000000001
808,74.15
809,76.4
810,78.625
811,78.94999999999999
812,78.15
813,76.44999999999999
814,75.125
815,74.075
816,73.075
817,72.625
818,72.05
819,72.05000000000001
820,72.20000000000002
821,72.20000000000002
822,72.125
823,71.85000000000001
824,71.30000000000001
825,70.525
826,69.85
827,69.925
828,70.32499999999999
829,71.075
830,71.425
831,71.75
832,72.325
833,72.475
834,72.60000000000001
835,72.625
836,72.7
837,72.67500000000001
838,72.55
839,72.45
840,72.45
841,72.45
842,72.25
843,72.225
844,71.80000000000001
845,71.7
846,71.75
847,71.625
848,71.525
849,71.55000000000001
850,71.65
851,71.525
852,71.25
853,71.275
854,71.25
855,71.25
856,71.225
857,71.2
858,71.07499999999999
859,71.025
860,71.05000000000001
861,71.22500000000001
862,71.175
863,71.35
864,71.375
865,71.4
866,71.17500000000001
867,71.05
868,71.025
869,70.67500000000001
870,70.6
871,70.625
872,70.5
873,70.225
874,70.2
875,70.15
876,70.77499999999999
877,70.975
878,71.0
879,71.32499999999999
880,71.025
881,70.95
882,70.95
883,70.75
884,70.4
885,70.55000000000001
886,70.5
887,70.075
888,69.725
889,69.65
890,69.7
891,69.6
892,69.2
893,69.175
894,69.1
