wavelength,S10 Irrad 1,S10 Irrad 2,S10 Irrad 3,S10 Irrad 4,S10 Irrad 5,S10 Irrad 6,S10 Irrad 7,S10 Irrad 8,S10 Postheat,S10 Preheat,blank
248,5.7250000000000005,4.324999999999999,3.45,2.72,2.9,3.0,3.0,3.2,10.2,11.25,99.3
249,6.0,4.55,3.6500000000000004,2.9,3.1,3.2,3.1,3.3,10.475,11.45,99.3
250,6.2250000000000005,4.775,3.85,3.1,3.3,3.4,3.3,3.6,10.875,11.9,99.3
251,6.6,5.074999999999999,4.125,3.34,3.6,3.6,3.6,3.9,11.424999999999999,12.5,99.3
252,7.0,5.4,4.45,3.6399999999999997,3.85,3.9,3.9,4.2,12.125,13.3,99.2
253,7.425000000000001,5.7250000000000005,4.7250000000000005,3.9200000000000004,4.125,4.2,4.2,4.5,12.825,14.075,99.1
254,7.775,6.025,5.0,4.14,4.375,4.4,4.425000000000001,4.8,13.45,14.8,99.1
255,8.125,6.324999999999999,5.3,4.4,4.6,4.7,4.7,5.1,14.075,15.475000000000001,99.1
256,8.525,6.675,5.574999999999999,4.64,4.9,4.925000000000001,4.95,5.3,14.775000000000002,16.25,99.0
257,8.95,7.0,5.9,4.92,5.15,5.2,5.225,5.6,15.55,17.125,98.9
258,9.325000000000001,7.3,6.2,5.2,5.425000000000001,5.5,5.525,5.9,16.3,17.95,98.9
259,9.775,7.7,6.5,5.42,5.725,5.8,5.825,6.2,17.125,18.85,98.7
260,10.15,8.0,6.775,5.7,6.0,6.05,6.074999999999999,6.5,17.875,19.674999999999997,98.8
261,10.45,8.2,6.975,5.839999999999999,6.15,6.2,6.225,6.7,18.375,20.125,99.3
262,10.575,8.3,7.074999999999999,5.9799999999999995,6.225,6.3,6.3,6.7,18.6,20.45,99.3
263,10.7,8.424999999999999,7.2,6.04,6.3,6.4,6.4,6.9,18.924999999999997,20.625,99.3
264,10.875,8.6,7.3,6.2,6.425000000000001,6.5,6.525,7.1,19.25,21.075000000000003,99.1
265,11.075,8.75,7.425000000000001,6.3,6.55,6.625,6.625,7.2,19.725,21.55,99.1
266,11.3,8.9,7.6,6.42,6.725,6.75,6.825,7.4,20.125,22.05,98.9
267,11.525,9.05,7.75,6.540000000000001,6.825,6.9,6.925000000000001,7.5,20.525,22.45,98.7
268,11.675,9.15,7.825,6.6,6.925000000000001,6.949999999999999,7.025,7.6,20.775,22.75,98.7
269,11.75,9.2,7.9,6.68,6.925000000000001,7.0,7.025,7.6,20.95,22.95,98.6
270,11.8,9.275,7.925000000000001,6.7,6.949999999999999,7.05,7.125,7.7,21.174999999999997,23.15,98.6
271,11.924999999999999,9.325000000000001,8.025,6.8,7.05,7.125,7.15,7.7,21.45,23.45,98.6
272,12.0,9.424999999999999,8.075,6.8,7.1,7.15,7.199999999999999,7.8,21.65,23.75,98.6
273,12.0,9.375,8.05,6.8,7.1,7.125,7.15,7.7,21.674999999999997,23.700000000000003,98.5
274,12.0,9.325000000000001,8.0,6.720000000000001,7.025,7.05,7.1,7.7,21.625,23.6,98.5
275,12.0,9.325000000000001,7.975,6.720000000000001,7.0,7.025,7.1,7.7,21.625,23.6,98.5
276,12.0,9.350000000000001,7.975,6.720000000000001,7.0,7.025,7.1,7.7,21.725,23.725,98.5
277,12.0,9.375,7.975,6.720000000000001,6.975,7.025,7.075,7.7,21.95,23.85,98.4
278,12.0,9.325000000000001,7.949999999999999,6.7,6.975,7.0,7.05,7.6,22.050000000000004,24.000000000000004,98.4
279,12.0,9.325000000000001,7.8500000000000005,6.62,6.925000000000001,6.949999999999999,7.0,7.6,22.049999999999997,24.025000000000002,98.2
280,12.0,9.3,7.8500000000000005,6.62,6.875,6.925000000000001,6.975,7.6,22.075000000000003,24.025000000000002,98.2
281,12.0,9.3,7.8500000000000005,6.6,6.9,6.9,6.975,7.6,22.1,24.175000000000004,98.1
282,12.025,9.275,7.8500000000000005,6.540000000000001,6.875,6.9,6.949999999999999,7.5,22.325000000000003,24.375,97.9
283,12.025,9.25,7.8500000000000005,6.5200000000000005,6.8500000000000005,6.8500000000000005,6.875,7.4,22.375,24.4,97.8
284,11.975000000000001,9.200000000000001,7.8,6.42,6.725,6.7749999999999995,6.825,7.4,22.375,24.375,97.8
285,11.975000000000001,9.15,7.725,6.4,6.699999999999999,6.725,6.7749999999999995,7.3,22.45,24.4,97.8
286,11.975000000000001,9.15,7.7,6.380000000000001,6.675000000000001,6.725,6.75,7.3,22.575,24.525,97.8
287,11.975000000000001,9.075,7.625,6.3,6.625,6.65,6.699999999999999,7.2,22.675000000000004,24.575,97.8
288,11.95,9.025,7.525,6.24,6.55,6.55,6.625,7.1,22.700000000000003,24.575,98.0
289,11.899999999999999,8.975,7.525,6.2,6.5,6.5,6.55,7.1,22.725,24.625,98.0
290,11.899999999999999,8.975,7.5,6.2,6.5,6.5,6.55,7.1,22.825000000000003,24.725,98.0
