wavelength,blank,S9 Preheat,S9 Postheat,S9 Postheat Day 1,S9 Irrad 1,S9 Irrad 2,S9 Irrad 3,S9 Irrad 4,S9 Irrad 5,S9 Irrad 6,S9 Irrad 6 Redo,S9 Irrad 7,S9 Irrad 8,S9 Irrad 9,S9 Irrad 10,S9 Irrad 11,S9 Irrad 12,S9 Irrad 13,S9 Irrad 14,S9 Irrad 15
225,1.006,0.90925,0.9766,1.015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
226,0.992,0.89575,0.9624,1.001333333,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
227,0.982,0.886,0.9516,0.991333333,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
228,0.98,0.8835,0.948,0.989,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
229,0.984,0.88425,0.9486,0.991666667,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
230,0.989,0.888,0.9562,0.997333333,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
231,0.994,0.89275,0.9624,1.000333333,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
232,1.001,0.90075,0.9704,1.008333333,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
233,1.012,0.9095,0.9788,1.020333333,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
234,1.021,0.92,0.9898,1.029666667,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
235,1.033,0.93,1.0016,1.042,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
236,1.045,0.9425,1.012,1.054,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
237,1.056,0.95325,1.0246,1.066,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
238,1.068,0.964,1.0364,1.078333333,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
239,1.078,0.97325,1.0458,1.087333333,2.9485,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
240,1.083,0.9805,1.0512,1.093,2.88125,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
241,1.085,0.98325,1.0532,1.095333333,2.80175,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
242,1.087,0.984,1.0534,1.096,2.7335,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
243,1.089,0.98525,1.0556,1.097333333,2.6715,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
244,1.09,0.98525,1.056,1.097333333,2.60775,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
245,1.085,0.9775,1.049,1.092666667,2.52675,2.95425,3,3,3,3,3,3,3,3,3,3,3,3,3,3
246,1.066,0.962,1.032,1.074,2.4265,2.875,2.9926,3,3,3,3,3,3,3,3,3,3,3,3,3
247,1.049,0.94325,1.0124,1.056666667,2.341,2.802,2.9356,2.99875,3,3,3,3,3,3,3,3,3,3,3,3
248,1.036,0.929,0.999,1.044333333,2.27825,2.74175,2.893,2.97525,3,3,3,3,3,3,3,3,3,3,3,3
249,1.022,0.915,0.9878,1.030333333,2.224,2.683,2.8462,2.944,2.9995,3,3,3,3,3,3,3,3,3,3,3
250,1.005,0.89775,0.9704,1.012666667,2.16925,2.6075,2.7738,2.8765,2.94275,2.9515,2.9725,3,3,3,3,3,3,3,3,3
251,0.983,0.8745,0.949,0.991666667,2.10075,2.5195,2.6798,2.78625,2.8635,2.8775,2.90225,2.99825,3,3,3,3,3,3,3,3
252,0.957,0.84925,0.924,0.966666667,2.028,2.42775,2.582,2.69125,2.77725,2.79025,2.83825,2.9335,2.98475,2.97975,2.976,2.96725,2.99375,3,3,2.948
253,0.933,0.8245,0.903,0.942666667,1.96425,2.34875,2.4942,2.6025,2.702,2.71375,2.76425,2.861,2.92225,2.9195,2.92525,2.9095,2.94,2.98875,2.95775,2.88975
254,0.909,0.8035,0.881,0.919333333,1.9105,2.2795,2.4218,2.5275,2.63175,2.643,2.6985,2.789,2.86025,2.85475,2.86775,2.858,2.892,2.92675,2.88725,2.82725
255,0.888,0.78425,0.8582,0.898666667,1.86175,2.2105,2.3474,2.451,2.553,2.5655,2.62425,2.711,2.778,2.775,2.7865,2.7785,2.81425,2.85425,2.80875,2.74275
