wavelength,blank,S8 Postheat,S8 Preheat
420,98.1,47,33.8
421,98.1,47,33.775
422,98.1,46.98,33.75
423,98.3,47.02,33.725
424,98.3,47.02,33.725
425,98.3,47,33.75
426,98.3,46.96,33.75
427,98.3,46.96,33.8
428,98.3,47.02,33.8
429,98.2,46.98,33.825
430,98.2,47,33.8
431,98.2,47,33.85
432,98.2,47.06,33.9
433,98.2,47.08,33.925
434,98.2,47.12,33.925
435,98.2,47.16,33.95
436,98.4,47.22,34.025
437,98.3,47.2,34.05
438,98.3,47.26,34.1
439,98.3,47.34,34.15
440,98.3,47.34,34.225
441,98.2,47.4,34.275
442,98.2,47.38,34.275
443,98.2,47.38,34.275
444,98.2,47.44,34.3
445,98.2,47.46,34.4
446,98.2,47.54,34.525
447,98.2,47.56,34.575
448,98.3,47.6,34.6
449,98.2,47.58,34.65
450,98.2,47.58,34.675
451,98.2,47.62,34.75
452,98.3,47.7,34.775
453,98.2,47.68,34.85
454,98.2,47.7,34.875
455,98.2,47.72,34.95
456,98.2,47.78,35.025
457,98.2,47.9,35.15
458,98.2,48.08,35.25
459,98.3,48.18,35.35
460,98.4,48.24,35.35
461,98.3,48.12,35.35
462,98.3,48.1,35.35
463,98.3,48.12,35.4
464,98.2,48.1,35.5
465,98.1,48.18,35.6
466,98.2,48.32,35.65
467,98.3,48.36,35.65
468,98.3,48.36,35.725
469,98.3,48.36,35.75
470,98.3,48.48,35.75
471,98.3,48.52,35.95
472,98.2,48.54,36.05
473,98.2,48.64,36.075
474,98.2,48.72,36.25
475,98.3,48.82,36.35
476,98.2,48.84,36.45
477,98.2,48.96,36.5
478,98.2,49.04,36.625
479,98.2,49.06,36.825
480,98.2,49.24,37
481,98.2,49.48,37.35
482,98.2,49.84,37.725
483,98.3,50.02,37.875
484,98.4,49.96,37.725
485,98.3,49.62,37.45
486,98.2,49.52,37.45
487,98.2,49.62,37.575
488,98.2,49.66,37.575
489,98.2,49.66,37.575
490,97.9,49.66,37.8
491,98,49.9,37.975
492,98.1,49.88,37.875
493,98,49.76,37.8
494,97.8,49.74,37.825
495,98,50,38.025
496,98,50.2,38.25
497,98,50.22,38.375
498,98,50.24,38.425
499,97.9,50.22,38.475
500,98,50.36,38.6
501,97.9,50.36,38.725
502,98,50.52,38.875
503,98,50.66,39.075
504,98,50.74,39.2
505,98,50.8,39.25
506,98,50.88,39.375
