wavelength,blank,S8 Preheat,S8 Postheat,S8 Irrad 1,S8 Irrad 2,S8 Irrad 3,S8 Irrad 4,S8 Irrad 5,S8 Irrad 6,S8 Irrad 7,S8 Irrad 8,S8 Irrad 9,S8 Irrad 10,S8 Irrad 11,S8 Irrad 12,S8 Irrad 13,S8 Irrad 14,S8 Irrad 15,S8 PostIrrad Day 1,S8 PostIrrad Day 2,S8 PostIrrad Day 3,S8 PostIrrad Day 4,S8 PostIrrad Day 5
224,98.5,10.45,28.04,0.66,0.175,0.1,0.1,0.1,0.1,0.1,0.1,0.075,0.075,0.1,0.1,0.075,0.025,0.1,0.1,0.1,0.1,0.096,0.1
225,98.6,10.925,28.42,0.86,0.225,0.125,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.075,0.1,0.1,0.1,0.1,0.1,0.1
226,98.6,11.3,28.72,1.06,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.075,0.1,0.1,0.1,0.1,0.1,0.1
227,98.7,11.55,28.96,1.26,0.375,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.075,0.1,0.1,0.1,0.1,0.1,0.1
228,98.9,11.625,29.06,1.44,0.45,0.25,0.15,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
229,98.9,11.55,29.02,1.58,0.5,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
230,99.5,11.4,28.98,1.7,0.575,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
231,99.5,11.225,28.8,1.88,0.65,0.375,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
232,99.5,11,28.64,2.06,0.775,0.45,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
233,99.4,10.775,28.44,2.2,0.9,0.55,0.325,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
